Program Name,Acronym,Agency Owner,Program Type,Budget,Contract Vehicle Used,Prime Contractor,Key Subcontractors,Period of Performance,Recompete Date,Incumbent Score,Related Jobs,COR/COTR,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle/Type,Key Locations,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance (Original),PoP End,PoP Start,Prime Contractor 1,Priority Level,Program Manager,Security Requirements,Source Evidence,Technical Stack,Typical Roles
AF TENCAP IT/EW Mission Support (EPASS A&AS),AF TENCAP A&AS,Air Force,,,,,,,,,,,"Secret, TS/SCI",Medium,,Services,,“AF TENCAP Program Office”; “EPASS A&AS”; “Odyssey Systems team”; rapid exploitation of intel/space capabilities for warfighters; experimentation and prototyping advisory services,,,,,,,,,Medium,,,,,Systems engineers; experiment planners; program/project managers; schedulers; financial analysts and budgeteers; intel/space liaisons bridging NRO/NGA/IC feeds into AF TENCAP projects; configuration managers; test & evaluation support staff
AFCENT Enterprise IT & Cyber Support,AFCENT IT,Air Force,Cyber,,,,,,,,,,"Secret, TS/SCI",Medium,,Services,USCENTCOM AOR (multiple bases in SWA); Shaw AFB SC and other CONUS reach-back sites,“AFCENT IT”; “USAF (CENTCOM)”; “AOR & Shaw”; network/cyber operations; theater IT O&M,,,,,Ongoing (sustained AFCENT mission IT support; exact PoP not captured),Ongoing,,,Medium,,,,,Cybersecurity engineers; EW engineers and spectrum operations staff supporting mission systems; software test engineers; range IT/mission support technicians; data analysts; systems engineers for EW/cyber test; network engineers and administrators for AFCENT networks
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,Cyber,,,,,,,,,,"Secret, TS/SCI",Medium,,,,“ISSO/ISSM – SCORPION… interviews (10/23–10/24)”; AFCENT cyber task; RMF/ISSO/ISSM focus; SCORPION program codename,,,,,,,,CACI,Medium,,,,,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff
AICCS C5ISR System Support (indicative),AICCS,Other,,,,,,,,,,,"Secret, TS/SCI",Medium,,,,“AICCS”; “Systems”; C5ISR; joint AF/Navy context,,,,,,,,,Medium,,,,,Systems engineers; integration and test engineers; C5ISR architects; requirements and interface control staff
Air & Space Cyber Conference Programs,Various (e.g. AFA Events,Air Force,Weapon Systems,,,,,,,,,,,Medium,,INDUSTRY EVENTS,"National Harbor, MD",Aegis,,,,,2025,,2025,"Multiple (Leidos, SAIC, Northrop)",Medium,,,Lockheed Martin,,Aegis Ballistic Missile Defense / Aegis Program
Air & Space Force Cyber Conference (Event Target),,Air Force,Event,,,,,,,,,,Top Secret,High,,INDUSTRY EVENT,National Harbor MD,“Air & Space Cyber Conference”; “BD attendance target”,,,,,Q3–Q4 2025,,2025,Industry-wide (multiple primes),High,,,DoD Events Calendar (L140–L150),,BD reps; Program Managers
Air Force Advanced Battle Management System,ABMS,Air Force,Space,,,,,,,,,,"Secret, Top Secret",Medium,,IDIQ,"Eglin AFB, FL; Hanscom AFB, MA","Various (e.g., AFA Events)","CACI, Raytheon",,,,Ongoing,Ongoing,,"Multiple: SAIC, Leidos, Booz Allen Hamilton",Medium,,,"Multiple (Leidos, SAIC, Northrop, etc. as exhibitors/sponsors)",,Air & Space Cyber Conference Programs
Air Force Cloud & Cyber Support Program,,Air Force,Cyber,,,,,,,,,,"Public Trust, Top Secret",High,,Task Order,Pentagon; All USAF Bases,supporting a $10B contract… manage multiple teams… cloud infrastructure across all Air Force bases,,,,,Oct 2021 – Apr 2025,Apr 2025,Oct 2021,Five Star Tech Solutions,High,,,serving DoD clients as Cybersecurity Technical Operations Manager… Cloud & Cyber Security Programs… at Pentagon,,"Cloud Engineers, Network Engineers, Cybersecurity SMEs, Admins"
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,Cyber,,,,,,,,,,"Secret, TS/SCI",Medium,$1B,Services,San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,"“Platform One,” “Cloud One,” “Zero Trust,” “DevSecOps,” “Agile Software Factory”",,,,,2021–2028,2028,2021,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Medium,,,Prime TS BD Intelligence Automation doc (L140–L160),,DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,Intel,,,,,,,,,,Secret,Medium,,Services,AFLCMC (multiple program offices),“Geospatial systems”; “AFGIS (LM)”,,,,,Ongoing,Ongoing,,Lockheed Martin,Medium,,,Appears in BD automation sources,,GIS engineers; geospatial analysts; systems integrators
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,Cyber,,,,,,,,,,"Secret, Top Secret",Medium,,AGILE SOFTWARE / CLOUD / DEVSECOPS,San Antonio TX; Colorado Springs CO,"“Platform One,” “Zero Trust,” “DevSecOps”",Kessel Run; SAIC; Deloitte,,,,Ongoing,Ongoing,,USAF (Internal),Medium,,,Included heavily in BD automation datasets,,DevSecOps engineers; cloud engineers; CI/CD architects
Air Force SAP Security Support Services,“Justified”,Air Force,Professional Services,,,,,,,,,,Secret,Medium,,MULTI-YEAR,TS/SCI (SAP),Intel / Security,,,,,Hanscom AFB MA; Kirtland AFB NM; JBAB DC; Pentagon VA; Schriever CO; San Antonio TX,,,GDIT,Medium,,,High,,"“We placed ASR II/III, PSR III, ISSO at multiple AF sites under ‘Justified’”"
Alamo ACE Conference / TechNet,—,Army,Event,,,,,,,,,,,Medium,,EVENT,San Antonio TX,"“AFCEA,” “DISA,” “Networking”",,,,,2025,,2025,Multiple,Medium,,,Event decision list,,BD reps; PMs; capture leads; cyber SMEs
AOC Falcon Integration Services,AOC Falcon V,Air Force,,,,,,,,,,,"Secret, TS/SCI",Medium,,Services,,“AOC Falcon Integration”; “AOC Falcon V”; “AOC engineers”; C2/IT; AOC mission systems,,,,,,,,,Medium,,,,,AOC engineers; C2 systems integrators; mission systems admins; network engineers supporting AOC infrastructure; software integrators for Falcon V and related tools; help-desk and floor support techs
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Cyber,,,,,,,,,,"Secret, TS/SCI w/ Poly, Top Secret",High,$889M,Services,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,,,,,,,,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),High,,,,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers
Army “Project Convergence”,,Army,Professional Services,,,,,,,,,,Top Secret,Medium,,MULTI-YEAR DEMOS,Secret,R&D,,,,,Yuma AZ; labs,,,SAIC,Medium,,,Medium,,“AI/automation experimentation”; “JADC2 exercises”
Army AESD Enterprise Service Desk,AESD,Army,,,,,,,,,,,Secret,High,$757M,,Fort Liberty NC; Fort Sam Houston TX,“SAIC’s AESD hiring lead”; “PTS leveraged mutual contacts”,PTS (warm contact),,,,Multi-year,,,SAIC,High,,,“Army AESD – $757M global helpdesk contract (Prime: SAIC)”,,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support
Army ALTESS Cloud Hosting,ALTESS,Army,,,,,,,,,,,Secret,Medium,,Services,Radford VA; Fort Belvoir VA,“Army ERP hosting”; “ALTESS Cloud”,,,,,Ongoing,Ongoing,,Leidos,Medium,,,Repeated ALTESS references in staffing history,,Cloud/ERP admins; system administrators; cybersecurity staff
Army AvMC Enterprise IT Support,EITSS,Army,,,,,,,,,,,Secret,High,$404M,Single Award,Redstone Arsenal AL,"“Help desk, sys admins, net ops”; “IPTA scaling up 100+ positions at Redstone”","Larger firms as needed (SAIC, Leidos, etc., for surge)",,,,2023–2028,2028,2023,IPTA (SDVOSB),High,,,IPTA AvMC EITSS description,,Help desk; sysadmins; network operations; user support; IT ops
Army AvMC Enterprise IT Support Services,EITSS,Army,,,,,,,,,,,Secret,High,$404M,GWAC,Redstone Arsenal / Huntsville AL,“IPTA AvMC EITSS… hiring… Huntsville”; “Insight Global posting IT Support Tech”,SAIC / Leidos (minor); local SBs,,,,2022–2027,2027,2022,IPTA (SDVOSB),High,,,IPTA award reference,,Help desk; systems & network admin; cyber analyst; asset management
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,Professional Services,,,,,,,,,,Secret,Medium,$3M,,Secret → TS/SCI,C5ISR / IT Ops,,,,,OCONUS (Korea/Japan); Buckley SFB CO,,,CACI,Medium,,,Medium,,“CACI BIM TO2 Wireless Network Engineer – OCONUS”
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,Professional Services,,,,,,,,,,Secret,Medium,$3M,,TS/SCI,C5ISR / IT Ops,,,,,Buckley SFB CO; CONUS sites,,,CACI,Medium,,,Medium,,“CACI BIM TO3 – Network Operations Engineer TS/SCI”
Army Enterprise Service Desk,AESD,Army,,,,,,,,,,,"Public Trust, Secret",High,$757M,Single Award,24×7 CONUS call centers; virtual & global remote support,“Global service desk 24×7”; “hundreds of Tier 1–2 agents”,"Large recruiting firms (Insight Global, TEKsystems, etc.)",,,,~2022–2027+,2027,2022,SAIC,High,,,SAIC AESD references (Top 20 Programs),,Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support
Army Enterprise Service Management Framework,AESMF,Army,Professional Services,,,,,,,,,,Secret,Medium,,,Secret / TS,IT Ops,,,,,Overlaps with AESD site footprint (CONUS),,,SAIC,Medium,,,Medium,,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”"
Army Futures Command – Project Convergence,,Army,Data,,,,,,,,,,Top Secret,Medium,,RECURRING ANNUAL CYCLES,Secret,R&D / C5ISR,,,,,Yuma Proving Ground AZ; Austin TX labs,,,SAIC (major integrator; autonomy & AI work),Medium,,,Medium,,“AI/autonomy experiments”; “Project Convergence”
Army Integrated Battle Command System,IBCS,Army,,,,,,,,,,,"Secret, Top Secret",High,$2.7B,Production,Huntsville AL; Fort Sill OK; distributed test ranges,"“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",Lockheed Martin; Raytheon (sensors/missiles); others,,,,2019–2030,2030,2019,Northrop Grumman,High,,,Top 20 DoD Programs,,Systems engineers; radar engineers; C2 software developers; missile integration engineers
Army Integrated Battle Command System Support,IBCS,Army,,,,,,,,,,,"Secret, Top Secret",Medium,Multi-$B,DEV/INTEGRATION,Huntsville AL; White Sands NM; Fort Bliss TX,“Army IBCS… CACI hiring Systems Integration Engineers in Huntsville”,SAIC; Raytheon; Torch; Dynetics,,,,2010–present,Ongoing,2010,Northrop Grumman (prime); CACI (support),Medium,,,,,Systems Integration; Test; SW Eng
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,Cyber,,,,,,,,,,"Public Trust, Secret",High,$880M,GWAC,Arlington VA; Springfield VA; National Guard sites nationwide,"“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",MetroStar; Octo; other Agile Dev partners,,,,2019–2026,2026,2019,CACI,High,,,ITEMSS award and capability description,,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support
Army IT Enterprise Solutions – 3 Services,ITES-3S,Army,Cyber,,,,,,,,,,Secret,High,$12.1B,IDIQ,Army / DoD enterprise-wide,“ITES-3S… $12.1B… 135 awardees… sub-heavy work”,Numerous (large & small),,,,2018–2027,2027,2018,135 awardees,High,,,IDIQ listing in program universe,,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services
Army ITES-3S,ITES-3S,Army,,,,,,,,,,,Secret,High,$12.1B,IDIQ,Army-wide,“Army ITES-3S… primary Army IT services vehicle”,Extensive teaming (large & small),,,,2018–2027,2027,2018,135 primes,High,,,Same as above (expanded row),,Help desk; network ops; cyber analysts; field IT technicians
Army Missile & Space R&D Support (Huntsville),,Army,,,,,,,,,,,Secret,Medium,,Services,Huntsville AL,“Army Missile & Space R&D… multiple postings (Secret)”,,,,,Ongoing,Ongoing,,Dynetics; Northrop teams,Medium,,,Multiple Huntsville postings referencing Army missile & space roles,,SW engineers; electrical engineers; full-stack developers; test engineers
Army Next-Gen C2 Prototype,NGC2,Army,,,,,,,,,,,Secret,Medium,$100M,OTA,Fort Irwin test sites,“C2 prototype”; data mesh; edge compute,Palantir; Striveworks; Govini; Microsoft; RII,,,,2025,,2025,Anduril,Medium,,,Prototype description in user sheet,,Data mesh engineers; edge app developers; AI/ML integration engineers
Army Reprogramming Analysis Team,ARAT,Army,Professional Services,,,,,,,,,,Top Secret,Medium,,,Secret,C5ISR,,,,,APG / CONUS,,,,Medium,,,Medium,,“EW reprogramming”; ARAT mission
Army Research Lab / Adelphi Labs,ARL,Army,Professional Services,,,,,,,,,,Secret,Medium,,,Secret,IT Ops / R&D,TEKsystems; Insight Global,,,,Adelphi MD,,,SAIC,Medium,,,High,,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”
Army Responsive Strategic Sourcing for Services,RS3,Army,Professional Services,,,,,,,,,,Secret,High,$37.4B,IDIQ,CONUS/OCONUS,“RS3… 37.4B… 261 primes”,Many subs,,,,2017–2027,2027,2017,261 primes,High,,,RS3 reference repeats,,C4ISR engineering; IT; logistics
Army RS3 (Expanded PEO EIS Listing),RS3,Army,,,,,,,,,,,Secret,Medium,$37B,IDIQ,U.S. Army CONUS/OCONUS,“RS3 Army Contract Vehicle”; “Belcan contract in Blueprint”,Prime Technical Services (sub),,,,2018–2028,2028,2018,"Multiple (Belcan, SAIC, many)",Medium,,,Vehicle entry in RS3 listing,,Engineering services; IT; logistics; training; program support
Army RS3 (Primary Listing),RS3,Army,Professional Services,,,,,,,,,,Secret,High,$37.4B,IDIQ,Army & DoD (CONUS/OCONUS),“RS3… $37.4B… 261 primes… broad C4ISR support… teaming heavy”,Broad teaming across primes/subs,,,,2017–2027,2027,2017,"261 primes (65 large, 196 small)",High,,,RS3 entry in Top 20 Programs,,C4ISR engineers; analysts; IT support; program staff
Army Test & Evaluation Command,ATEC,Army,R&D,,,,,,,,,,Secret,Medium,,RECOMPETE,APG / Yuma / other ranges,“ATEC test”; T&E mission,Multiple,,,,Upcoming,,,Multiple,Medium,,,listed in sheet,,Test engineers; instrumentation support; analysts
ARNG G-2 Intelligence IT Support,,Army,Cyber,,,,,,,,,,TS/SCI,Medium,,Services,"Guard intel sites (e.g., Fort Belvoir)",IAE,,,,,~2010s (ongoing),Ongoing,,SAIC,Medium,,,Peraton,,ARCYBER Information Advantage Enterprise
ASA(ALT) CITRA,CITRA,Army,Intel,,,,,,,,,,Secret,Medium,,PROGRAM,NCR,,,,,,,,,,Medium,,,SAIC,,ARNG G-2 Intelligence IT Support
AUSA Modernization Portfolios (aggregate),FVL / LRPF / AMD / NGCV / Network / Soldier,Army,Logistics,,,,,,,,,,"Secret, Top Secret",Medium,,PORTFOLIO,Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,CITRA,Multiple,,,,Ongoing,Ongoing,,Multiple primes (see rows),Medium,,,,,ASA(ALT) CITRA Enterprise IT Program
AvMC Enterprise IT Support Services,EITSS,Army,Professional Services,,,,,,,,,,Secret,Medium,,,Secret (assumed),IT Ops,,,,,Redstone Arsenal AL,,,IPTA,Medium,,,Medium,,“PTS placed cleared admins at Redstone”
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,,,,,,,,,,,Secret,Medium,,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”,Prime Technical Services,,,,Ongoing,Ongoing,,Northrop Grumman,Medium,,,NG BOA supported programs list,,ISSOs; DevOps engineers; testers; logistics staff
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,Professional Services,,,,,,,,,,Secret,Medium,,BOA,Various locations,BOA,Multiple,,,,Ongoing,Ongoing,,Lockheed Martin,Medium,,,,,Varies
Basic Ordering Agreement (NG BOA),BOA,Other,,,,,,,,,,,Secret,Medium,,BOA,"Roy, UT; Hill AFB; Colorado Springs, CO","Surge Support, Staff Augmentation",Prime Technical Services (sub),,,,Ongoing,Ongoing,,Northrop Grumman,Medium,,,Northrop programs supported by Prime TS,,"ISSOs, Testers, DevOps, Logistics"
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,,,,,,,,,,,"Secret, Top Secret",Medium,,IDIQ,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”; “BOA”,Prime Technical Services,,,,Ongoing,Ongoing,,Northrop Grumman,Medium,,,"“BOA – General surge & staff augmentation – ISSOs, Testers, DevOps, Logistics – Roy, UT / COS / Hill AFB”",,ISSOs; testers; DevOps engineers; logistics support staff
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,,,,,,,,,,,"Secret, Top Secret",Medium,,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,"“Surge Support, ISSO, Logistics”",Prime TS,,,,Ongoing,Ongoing,,Northrop Grumman,Medium,,,“BOA – general surge and staff augmentation”,,ISSOs; testers; DevOps engineers
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,,,,,,,,,,,"Secret, TS/SCI",High,$5B,IDIQ,Worldwide coalition networks,“BICES → MPE transition; Capgemini team”,Capgemini; various coalition-support subs,,,,~2012–2022,2022,2012,GDIT (incumbent pre-MPE),High,,,“MPE contract replacing BICES… Capgemini involvement”,,Multilingual service desk; cross-domain IT; coalition network support
Battlefield Information Collection & Exploitation System,BICES,DoD,,,,,,,,,,,TS/SCI,High,,MULTI-NATION COALITION NETWORK CONTRACT,Norfolk VA; Tampa FL; Doral FL; EU sites,“Coalition intel networks; TS/SCI network engineers”,Insight Global; Apex Systems; TEKsystems,,,,Multi-year,,,GDIT,High,,,“BICES – PTS filled Senior Network Engineers (Norfolk/Tampa/Doral)”,,Senior network engineers; Linux admins; ServiceNow architects
Battlefield Information Collection & Exploitation System,BICES,DoD,Intel,,,,,,,,,,TS/SCI,Medium,$250M,IDIQ,Offutt AFB NE; Europe,"“USSTRATCOM, NATO Intel, Mission Networks”",Leidos; SAIC; subcontractors,,,,Ongoing,Ongoing,,CACI,Medium,,,TS/SCI BICES job mapping,,Network engineers; cyber analysts; intel support staff
BICES (Battlefield Intelligence Collection & Exploitation System),BICES,DoD,Intel,,,,,,,,,,TS/SCI,Medium,$500M,IDIQ,Offutt AFB; EU/NATO bases,“Battlefield Intel; NATO; Signals Collection”,,,,,Ongoing,Ongoing,,CACI,Medium,,,AI Program-Mapping Engine association,,Network engineers; intel systems engineers
BICES (Expanded Historical Listing),BICES,DoD,Professional Services,,,,,,,,,,Secret,Medium,,,TS/SCI,Intel,GDIT; Leidos (historical subs),,,,Offutt AFB; Stuttgart; Belgium; Tampa FL,,,CACI,Medium,,,Medium,,“BICES… cleared IT”
BICES Defense Intelligence Agency Variant,BICES,DIA,Intel,,,,,,,,,,TS/SCI,Medium,$500M,IDIQ,Offutt AFB; RAF Molesworth,“USSTRATCOM; BICES; coalition networks”,,,,,2019–2029,2029,2019,CACI + Leidos + Peraton + SAIC (various subs),Medium,,,Prime TS BD Automation Playbook (L200–L220),,Network engineers; sysadmins; cyber analysts
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,,,,,,,,,,,"Secret, TS/SCI",High,$881M,IDIQ,EUCOM / CENTCOM / PACOM nodes,“Coalition IT O&M; CDS”,Leidos; Capgemini,,,,2015–2023; 2022–,2023,2015,GDIT,High,,,Program lineage notes,,Coalition IT O&M; CDS support
BIM (Indicative Program Entry),BIM,DoD,,,,,,,,,,,Secret,Medium,,PROGRAM,,“BIM”,,,,,,,,,Medium,,,Placeholder entry,,IT; modernization
Blanket Order Agreement – Staff Augmentation,BOA (Northrop),Other,Professional Services,,,,,,,,,,"Secret, Top Secret",Medium,,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,“BOA”; “surge support”; “staff augmentation”,Prime Technical Services; others,,,,Ongoing,Ongoing,,Northrop Grumman,Medium,,,Prime NGC Past Performance,,ISSOs; testers; DevOps; logistics
Blanket Ordering Agreement,BOA,DoD,,,,,,,,,,,"Secret, Top Secret",Low,,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,“BOA surge support”,,,,,Ongoing,Ongoing,,,Low,,,General BOA notes,,ISSOs; testers; DevOps; logistics
BOA (General Staff Augmentation),BOA,Other,,,,,,,,,,,Secret,High,,BOA,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,,,,,Ongoing,Ongoing,,Northrop Grumman,High,,,BOA operations reference,,ISSOs; testers; DevOps; logistics
BOA (Northrop Surge),BOA,Other,,,,,,,,,,,"Secret, Top Secret",Medium,,BOA,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,,,,,Ongoing,Ongoing,,Northrop Grumman,Medium,,,BOA support description,,ISSOs; testers; DevOps engineers; logistics
Business Operations & Analytics,BOA,DoD,,,,,,,,,,,"Secret, Top Secret",Medium,Multi-$M,Services,Roy UT; Hill AFB UT; Colorado Springs CO,“Staff augmentation; BOA”,Insight Global; Apex Systems,,,,Ongoing,Ongoing,,Northrop Grumman,Medium,,,“Northrop programs supported by Prime TS”,,ISSOs; DevOps; testers; logistics analysts
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,,,,,,,,,,,TS/SCI,High,$5B,IDIQ,Colorado Springs; Huntsville AL,“MDA; C2BMC; BMC3; missile defense”,SAIC; Northrop,,,,Ongoing,Ongoing,,Lockheed Martin,High,,,Multiple BD docs referencing C2BMC,,Software engineers; missile defense integrators; C2 / BMC3 engineers
C2BMC (placeholder row),C2BMC,Other,Weapon Systems,,,,,,,,,,,High,,,,Missile; BMDS; MDA,,,,,,,,,High,,,User knowledge list,,
CAAC (Peraton),CAAC,DoD,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,IT Ops,,,,,Ongoing,Ongoing,,Peraton,Medium,,,Medium,,“CAAC-PERATON”
