agency,clearance_requirements,contract_number,functional_areas,hiring_velocity,job_sources,key_technologies,primary_location,prime_contractor,program_acronym,program_name,recent_30d,recent_90d,top_locations,total_job_postings,unique_locations
Army,Top Secret (6); Secret (4),W15QKN19F1290,Network/Infrastructure (7); Other (2); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 9,,"COLORADO SPRINGS, COLORADO",SAIC,PC,Project Convergence (JADC2 Experiments),3,5,"Montgomery, Alabama (7); Charlottesville, VA (1); Monroeville, Pennsylvania (1); Huntsville, Alabama (1)",10,4
Army,Secret (3); Unknown (2); Top Secret (2),47QFRA19F0011,Software Development (3); Cybersecurity (2); Other (1); Engineering (1),ACTIVE,Apex Systems: 3; Insight Global: 4,.NET,"ARLINGTON, VIRGINIA",CACI,ITEMSS,Army IT Enterprise Mgmt Systems Solution,3,5,"Arlington, VA (1); Fort Belvoir, VA (1); Bossier City, LA (1); Norfolk, Virginia (1); Arlington, Virginia (1)",7,7
DISA,Secret (3); Unknown (2),89243318CFE000003,Other (5),ACTIVE,Insight Global: 5,,"MORGANTOWN, WEST VIRGINIA",Leidos,GSM-O II,DISA Global Service Mgmt – Ops II,3,4,"Huntsville, Alabama (2); Muscatine, Iowa (1); Kings Bay, Georgia (1); Meridianville, Alabama (1)",5,4
DIA,TS/SCI Poly (2); Secret (1),FA251822F0034,Other (2); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 2,ELASTIC,"COLORADO SPRINGS, COLORADO",CACI + Leidos + Peraton + SAIC (various subs),BICES,BICES Defense Intelligence Agency Variant,3,3,"Washington, District Of Columbia (2); Colorado Springs, CO (1)",3,2
Air Force,Secret (3); Unknown (2); Top Secret (2),36C10B21N10150056,Other (2); PMO/Leadership (1); Network/Infrastructure (1); Software Development (1); Cybersecurity (1),ACTIVE,Apex Systems: 2; Insight Global: 5,WINDOWS,"HERNDON, VIRGINIA","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,2,5,"Alexandria, Virginia (2); Herndon, VA (1); Quantico, VA (1); Braddock, Virginia (1); Dahlgren, Virginia (1)",7,6
Navy,Unknown (3); Top Secret (2); Secret (1),89243318CFE000003,Engineering (4); Other (1); Cybersecurity (1),ACTIVE,Apex Systems: 2; Insight Global: 4,,"MORGANTOWN, WEST VIRGINIA",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",2,5,"St. Louis, MO (1); Carlsbad, CA (1); Mount Vernon, Virginia (1); Greece, New York (1); Lincoln, Massachusetts (1)",6,6
Space Force,Top Secret (1); Unknown (1); Secret (1),FA880710C0001,Engineering (3),ACTIVE,Apex Systems: 2; Insight Global: 1,,"AURORA, COLORADO",Raytheon Intelligence & Space,GPS OCX,GPS Next-Gen Operational Control System,2,2,"Orlando, FL (1); Aurora, CO (1); Aurora, Colorado (1)",3,3
IC,Secret (2); Unknown (1),80GSFC19C0063,Engineering (2); Data/Analytics (1),ACTIVE,Insight Global: 3,,"HERNDON, VIRGINIA",Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning,2,3,"O'fallon, Illinois (1); Herndon, Virginia (1); Suffolk, Virginia (1)",3,3
DoD,Secret (2),W911QX24F0053,Testing/QA (1); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 1,,"PALO ALTO, CALIFORNIA",Scale AI,Donovan,CDAO Advanced AI Tools (Scale AI OTA),2,2,"Emerado, ND (1); Goose Creek, South Carolina (1)",2,2
DISA,Unknown (2),47QFCA22F0047,Engineering (1); Other (1),ACTIVE,Insight Global: 2,,"MCLEAN, VIRGINIA",Microsoft,DOD365,Defense Enterprise Office 365 Migration / DoD365,2,2,"Mclean, Virginia (2)",2,1
DISA,Unknown (1); Top Secret (1),HHSN261200800001E,Engineering (1); Network/Infrastructure (1),ACTIVE,Apex Systems: 2,,"FREDERICK, MARYLAND",CSRA / Leidos (team),DEOS,Defense Enterprise Office Solutions,2,2,"North Charleston, SC (1); Fayetteville, NC (1)",2,2
DoD,Unknown (2),80GSFC19C0063,Software Development (1); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 1,,"HERNDON, VIRGINIA",Peraton,GRASP,GRASP (Raytheon/Peraton),2,2,"North Charleston, SC (1); Salt Lake City, Utah (1)",2,2
