Location,Total Jobs,High Confidence Jobs,Top Primes,Top Programs,BD Priority
"Goose Creek, South Carolina",2,0,SAIC; Scale AI,Army Enterprise Service Manage; CDAO Advanced AI Tools (Scale ,LOW
"Sunset, Utah",2,0,Northrop Grumman; Lockheed Martin,Aegis Ballistic Missile Defens; Global Command and Control Sys,LOW
"Hill AFB, Utah",2,2,SAIC / LinQuest,SPICE (Space Payload Integrati,MEDIUM
"Sully, Virginia",2,0,Peraton / SAIC; CACI,CMS Enterprise Cloud Infrastru; Army Backbone Infrastructure M,LOW
"Mclean, Virginia",2,1,Microsoft,Defense Enterprise Office 365 ,MEDIUM
"Vienna, Virginia",2,0,SAIC; Peraton / SAIC,Army Enterprise Service Manage; CMS Enterprise Cloud Infrastru,LOW
"Grand Forks, North Dakota",2,0,Leidos,DIA Information Systems Engine; Global Network Operations (DIS,LOW
"O'fallon, Illinois",2,0,Peraton; Leidos,NARSIL – Advanced Research for; Global Service Management – Op,LOW
"Fairfax, Virginia",2,1,Leidos; CACI,NGEN-R SMIT – Navy Next Genera; Army IT Enterprise Mgmt System,MEDIUM
"Tyndall Air Force Base, FL",1,0,CACI,AFCENT SCORPION Cyber Task (IS,LOW
"Herndon, VA",1,1,"Multiple: SAIC, Leid",Air Force Advanced Battle Mana,MEDIUM
"Juno Beach, FL",1,0,Peraton,SITEC III – Enterprise Operati,LOW
"St. Louis, MO",1,0,Leidos,NGEN-R SMIT – Navy Next Genera,LOW
"Jacksonville, NC",1,0,Leidos,Integrated Base Defense Securi,LOW
"Fort George G Meade, MD",1,1,Peraton,Peraton ARCYBER Information Ad,MEDIUM
"Hampton, VA",1,1,BAE,Distributed Common Ground Syst,MEDIUM
"Orlando, FL",1,0,Raytheon Intelligenc,GPS Next-Gen Operational Contr,LOW
"San Diego, CA",1,0,Northrop Grumman,Intelligence Systems Infrastru,LOW
"Chandler, AZ",1,1,Northrop Grumman,MDA Tactical Embedded Systems,MEDIUM
"Hazelwood, MO",1,0,Northrop Grumman,Army Integrated Battle Command,LOW
"Charlottesville, VA",1,1,SAIC,Project Convergence (JADC2 Exp,MEDIUM
"Tucson, AZ",1,0,Boeing,Ground-Based Midcourse Defense,LOW
"Milford Mill, MD",1,1,11 MA-IDIQ primes,PRISM Support Services (Consol,MEDIUM
