Program Name,Prime Contractor,Key Locations,Clearance Requirements,Typical Roles,Job Titles,Tech Stack,Functional Areas
Army AESD Enterprise Service Desk,SAIC,Fort Liberty NC; Fort Sam Houston TX,Secret,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,AI,
Army ALTESS Cloud Hosting,Leidos,Radford VA; Fort Belvoir VA,Secret,Cloud/ERP admins; system administrators; cybersecurity staff,Cloud/ERP admins; system administrators; cybersecurity staff,cloud; cybersecurity,Cloud Services; Cybersecurity; IT Operations
Army AvMC Enterprise IT Support,IPTA (SDVOSB),Redstone Arsenal AL,Secret,Help desk; sysadmins; network operations; user support; IT ops,Help desk; sysadmins; network operations; user support; IT ops,network,IT Operations
Army AvMC Enterprise IT Support Services,IPTA (SDVOSB),Redstone Arsenal / Huntsville AL,Secret,Help desk; systems & network admin; cyber analyst; asset management,Help desk; systems & network admin; cyber analyst; asset management,network,IT Operations; Cybersecurity
Army Backbone Infrastructure Modernization – Task Order 2,CACI,Secret → TS/SCI,Secret,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,network,Data Analytics; IT Operations
Army Backbone Infrastructure Modernization – Task Order 3,CACI,TS/SCI,Secret,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,network,Data Analytics; IT Operations
Army Enterprise Service Desk,SAIC,24×7 CONUS call centers; virtual & global remote support,"Public Trust, Secret",Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support,Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support,ServiceNow,
Army Enterprise Service Management Framework,SAIC,Secret / TS,Secret,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”",“AESMF; ITIL; Army; Adelphi/Aberdeen; 24×7”,,IT Operations
Army Futures Command – Project Convergence,SAIC (major integrator; autonomy & AI work),Secret,Top Secret,“AI/autonomy experiments”; “Project Convergence”,“AI/autonomy experiments”; “Project Convergence”,AI,
Army Integrated Battle Command System,Northrop Grumman,Huntsville AL; Fort Sill OK; distributed test ranges,"Secret, Top Secret",Systems engineers; radar engineers; C2 software developers; missile integration engineers,Systems engineers; radar engineers; C2 software developers; missile integration engineers,,Software Development; Systems Engineering
Army Integrated Battle Command System Support,Northrop Grumman (prime); CACI (support),Huntsville AL; White Sands NM; Fort Bliss TX,"Secret, Top Secret",Systems Integration; Test; SW Eng,Systems Integration; Test; SW Eng,,Systems Engineering
Army IT Enterprise Mgmt Systems Solution,CACI,Arlington VA; Springfield VA; National Guard sites nationwide,"Public Trust, Secret",Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,AI; cybersecurity; network,Software Development; Cybersecurity
Army IT Enterprise Solutions – 3 Services,135 awardees,Army / DoD enterprise-wide,Secret,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,cloud,Software Development; Cloud Services; Cybersecurity; IT Operations
Army ITES-3S,135 primes,Army-wide,Secret,Help desk; network ops; cyber analysts; field IT technicians,Help desk; network ops; cyber analysts; field IT technicians,network,IT Operations; Cybersecurity
Army Missile & Space R&D Support (Huntsville),Dynetics; Northrop teams,Huntsville AL,Secret,SW engineers; electrical engineers; full-stack developers; test engineers,SW engineers; electrical engineers; full-stack developers; test engineers,,
Army Next-Gen C2 Prototype,Anduril,Fort Irwin test sites,Secret,Data mesh engineers; edge app developers; AI/ML integration engineers,Data mesh engineers; edge app developers; AI/ML integration engineers,AI; ML,Data Analytics; Systems Engineering
Army Research Lab / Adelphi Labs,SAIC,Secret,Secret,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,ServiceNow,IT Operations
Army Responsive Strategic Sourcing for Services,261 primes,CONUS/OCONUS,Secret,C4ISR engineering; IT; logistics,C4ISR engineering; IT; logistics,,Logistics
Army RS3 (Expanded PEO EIS Listing),"Multiple (Belcan, SAIC, many)",U.S. Army CONUS/OCONUS,Secret,Engineering services; IT; logistics; training; program support,Engineering services; IT; logistics; training; program support,AI,Logistics
Army RS3 (Primary Listing),"261 primes (65 large, 196 small)",Army & DoD (CONUS/OCONUS),Secret,C4ISR engineers; analysts; IT support; program staff,C4ISR engineers; analysts; IT support; program staff,,
Army Test & Evaluation Command,Multiple,APG / Yuma / other ranges,Secret,Test engineers; instrumentation support; analysts,Test engineers; instrumentation support; analysts,,
ARNG G-2 Intelligence IT Support,SAIC,"Guard intel sites (e.g., Fort Belvoir)",TS/SCI,ARCYBER Information Advantage Enterprise,ARCYBER Information Advantage Enterprise,,Cybersecurity
AUSA Modernization Portfolios (aggregate),Multiple primes (see rows),Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,"Secret, Top Secret",ASA(ALT) CITRA Enterprise IT Program,ASA(ALT) CITRA Enterprise IT Program,,
AvMC Enterprise IT Support Services,IPTA,Secret (assumed),Secret,“PTS placed cleared admins at Redstone”,“PTS placed cleared admins at Redstone”,,IT Operations
Basic Ordering Agreement – Surge Staffing,Northrop Grumman,Roy UT; Colorado Springs CO; Hill AFB UT,Secret,ISSOs; DevOps engineers; testers; logistics staff,ISSOs; DevOps engineers; testers; logistics staff,,Software Development; Logistics; Cybersecurity
Basic Ordering Agreement (Lockheed Martin),Lockheed Martin,Various locations,Secret,Varies,Varies,,
Basic Ordering Agreement (NG BOA),Northrop Grumman,"Roy, UT; Hill AFB; Colorado Springs, CO",Secret,"ISSOs, Testers, DevOps, Logistics",ISSOs; Testers; DevOps; Logistics,,Software Development; Logistics; Cybersecurity
Basic Ordering Agreement (NG Staff Augmentation),Northrop Grumman,Roy UT; Colorado Springs CO; Hill AFB UT,"Secret, Top Secret",ISSOs; testers; DevOps engineers; logistics support staff,ISSOs; testers; DevOps engineers; logistics support staff,,Software Development; Logistics; Cybersecurity
Basic Ordering Agreement Support (Northrop Surge),Northrop Grumman,Roy UT; Colorado Springs CO; Hill AFB UT,"Secret, Top Secret",ISSOs; testers; DevOps engineers,ISSOs; testers; DevOps engineers,,Software Development; Logistics; Cybersecurity
Battlefield Info Collection & Exploitation System (BICES-X),GDIT (incumbent pre-MPE),Worldwide coalition networks,"Secret, TS/SCI",Multilingual service desk; cross-domain IT; coalition network support,Multilingual service desk; cross-domain IT; coalition network support,AI; network,Data Analytics
Battlefield Information Collection & Exploitation System,GDIT,Norfolk VA; Tampa FL; Doral FL; EU sites,TS/SCI,Senior network engineers; Linux admins; ServiceNow architects,Senior network engineers; Linux admins; ServiceNow architects,ServiceNow; network,
BICES Defense Intelligence Agency Variant,CACI + Leidos + Peraton + SAIC (various subs),Offutt AFB; RAF Molesworth,TS/SCI,Network engineers; sysadmins; cyber analysts,Network engineers; sysadmins; cyber analysts,network,Data Analytics; Cybersecurity
BICES-X / Mission Partner Environment,GDIT,EUCOM / CENTCOM / PACOM nodes,"Secret, TS/SCI",Coalition IT O&M; CDS support,Coalition IT O&M; CDS support,,Data Analytics
BOA (General Staff Augmentation),Northrop Grumman,Roy UT; Colorado Springs CO; Hill AFB,Secret,ISSOs; testers; DevOps; logistics,ISSOs; testers; DevOps; logistics,,Software Development; Logistics; Cybersecurity
BOA (Northrop Surge),Northrop Grumman,Roy UT; Colorado Springs CO; Hill AFB,"Secret, Top Secret",ISSOs; testers; DevOps engineers; logistics,ISSOs; testers; DevOps engineers; logistics,,Software Development; Logistics; Cybersecurity
Business Operations & Analytics,Northrop Grumman,Roy UT; Hill AFB UT; Colorado Springs CO,"Secret, Top Secret",ISSOs; DevOps; testers; logistics analysts,ISSOs; DevOps; testers; logistics analysts,,Data Analytics; Software Development; Logistics; Cybersecurity
"C2BMC (Command & Control, Battle Mgmt, Comms)",Lockheed Martin,Colorado Springs; Huntsville AL,TS/SCI,Software engineers; missile defense integrators; C2 / BMC3 engineers,Software engineers; missile defense integrators; C2 / BMC3 engineers,,Software Development
CAAC (Peraton),Peraton,Secret,Secret,“CAAC-PERATON”,“CAAC-PERATON”,,IT Operations
CAMMO (AF Satellite Control Network O&M),CACI,Worldwide SATCOM tracking stations,"Secret, TS/SCI",RF techs; schedulers; network ops; SATCOM operators,RF techs; schedulers; network ops; SATCOM operators,network,IT Operations
CBP Enterprise IT Support,Peraton,CBP sites nationwide,"Public Trust, Secret",IT/cyber support staff; network engineers; help desk,IT/cyber support staff; network engineers; help desk,network,IT Operations; Cybersecurity
CBP Traveler Processing & Vetting / BISS,ManTech (TPVS/BISS); CACI (BISS follow-on),TS (some SCI),"TS/SCI, Top Secret",“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,,Data Analytics; IT Operations
CDAO Advanced AI Tools (Scale AI OTA),Scale AI,DoD secure enclaves,TS/SCI,ML engineers; data labeling teams; AI DevOps,ML engineers; data labeling teams; AI DevOps,AI; ML,Data Analytics; Software Development
CENTCOM Comms Tech Support V,GovCIO (Salient CRGT),20 countries (SW Asia AOR),"Secret, Top Secret",Deployable comms techs; RF engineers; SATCOM; network admins,Deployable comms techs; RF engineers; SATCOM; network admins,network,
CENTCOM Enterprise IT Modernization,GDIT,MacDill AFB; CENTCOM sites OCONUS,"Secret, Top Secret",Cloud architects; cyber engineers; legacy IT sustainment,Cloud architects; cyber engineers; legacy IT sustainment,AI; cloud,Cloud Services; Logistics; Cybersecurity
CISA Enterprise Support (CACI),CACI,NCR,Secret,Cybersecurity; IT ops support,Cybersecurity; IT ops support,cybersecurity,IT Operations; Cybersecurity
Cloud One,SAIC,Hanscom AFB; remote,Secret,Cloud engineers; DevSecOps; cyber,Cloud engineers; DevSecOps; cyber,DevSecOps; AWS; cloud; Azure; Cloud One,Cloud Services; Cybersecurity
Cloud One (USAF Cloud Program),SAIC,Hanscom AFB; remote,Secret,Cloud engineers; DevSecOps,Cloud engineers; DevSecOps,DevSecOps; cloud; Cloud One,Cloud Services
CMMARS (Navy Rapid C5ISR),Multiple,NAVWAR,Secret,Rapid C5ISR engineering; prototyping; integration,Rapid C5ISR engineering; prototyping; integration,,Systems Engineering
CMS Enterprise Cloud Infrastructure Services,Peraton / SAIC (indicative),CMS,Public Trust,Cloud engineers; cloud ops,Cloud engineers; cloud ops,cloud,Cloud Services
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",Northrop Grumman,Colorado Springs; Huntsville,"Secret, TS/SCI",SW engineers; network engineers; cyber engineers,SW engineers; network engineers; cyber engineers,network,Software Development; Cybersecurity
"Command & Control, Battle Mgmt & Comms",Lockheed Martin,Huntsville / Schriever,"Secret, TS/SCI","C2 SW, integration",C2 SW; integration,,Systems Engineering
"Command and Control, Battle Management & Communications (MDA)",Northrop Grumman,Colorado Springs CO; Huntsville AL,"Secret, TS/SCI",Software engineers; network engineers; cyber engineers,Software engineers; network engineers; cyber engineers,network,Data Analytics; Software Development; Cybersecurity
"Command and Control, Battle Management, Communications",Lockheed Martin,Colorado Springs CO; Huntsville AL (indicative),"Secret, TS/SCI",Systems engineers; software development/test; network engineers,Systems engineers; software development/test; network engineers,network,Software Development
Common Open Operational Launch Range,Lockheed Martin (indicative),Ranges (test ranges),Secret,C2 / Range software engineers,C2 / Range software engineers,,Software Development
Comms Technical Support V,GovCIO (Salient CRGT),SW Asia AOR + MacDill AFB reach-back,"Secret, Top Secret",Deployed comms techs; network eng; IT O&M technicians,Deployed comms techs; network eng; IT O&M technicians,network,
Consolidated AFSCN Mod & Ops,CACI (via L-3 NSS acquisition),"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)","Secret, Top Secret",Satellite tracking ops; RF techs; network engineers,Satellite tracking ops; RF techs; network engineers,network,
Consolidated AFSCN Mod & Ops – Secondary Row,CACI,Schriever SFB; worldwide tracking,"Secret, Top Secret",Satellite controllers; RF techs; network ops,Satellite controllers; RF techs; network ops,network,IT Operations
Conventional Prompt Strike,Lockheed Martin,Fleet & Army strategic sites,"Secret, Top Secret",Hypersonic engineers; test engineers; flight test support,Hypersonic engineers; test engineers; flight test support,,
CTSS V (Expanded Listing),GovCIO,Qatar; Kuwait; Bahrain; Iraq; etc.,"Secret, Top Secret",Comms techs; RF; SATCOM; network administrators,Comms techs; RF; SATCOM; network administrators,network,
Data Center & Cloud Optimization,Peraton / Leidos (indicative),NCR,"Public Trust, Secret",Cloud ops; DC ops,Cloud ops; DC ops,cloud,Data Analytics; Cloud Services
DC3 – Defense Cyber Crime Center,Peraton,Linthicum MD,TS/SCI,Forensics; malware; cyber intel,Forensics; malware; cyber intel,,Cybersecurity
DC3 Cyber Crime Center – Secondary Row,Peraton,TS/SCI,Secret,“DC3 forensics”,“DC3 forensics”,,Cybersecurity
Defense Cyber Crime Center,Peraton,Linthicum MD,TS/SCI,Digital forensics; malware analysis; cyber investigators,Digital forensics; malware analysis; cyber investigators,,Cybersecurity
Defense Enclave Services,Leidos,Fort Belvoir VA (HQ),Secret,Systems engineers; IT support; service desk; NOC staff,Systems engineers; IT support; service desk; NOC staff,,
Defense Enclave Services – Fourth Estate IT Consolidation,Leidos,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,Secret,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support,,Cloud Services
Defense Enclave Services (DoDNet),Leidos,Fort Belvoir; multiple 4th Estate bases,"Secret, Top Secret",Help desk; sysadmin; network/security ops,Help desk; sysadmin; network/security ops,network,IT Operations; Cybersecurity
Defense Enterprise Office 365 Migration / DoD365,Microsoft,Crystal City VA; remote,Secret,O365 admins; migration leads; help desk; Teams/Exchange engineers,O365 admins; migration leads; help desk; Teams/Exchange engineers,cloud,IT Operations; Cloud Services
Defense Enterprise Office Solutions,CSRA / Leidos (team),DoD & federal offices CONUS/OCONUS,"Public Trust, Secret, Top Secret",O365/Teams engineers; cloud architects; UC engineers; enterprise email support,O365/Teams engineers; cloud architects; UC engineers; enterprise email support,AI; cloud,Cloud Services; Program Management
Defense Health Agency Desktop to Datacenter,GDIT,San Antonio TX; NCR; Hawaii,Secret,Desktop support; help desk; sysadmin; endpoint engineers,Desktop support; help desk; sysadmin; endpoint engineers,,Data Analytics; IT Operations
Defense Health Agency Modernization / MHS GENESIS,Leidos,San Antonio TX; Falls Church VA,"Public Trust, Secret",Healthcare IT engineers; systems analysts; clinical/tech integration roles,Healthcare IT engineers; systems analysts; clinical/tech integration roles,,Systems Engineering
Defense Logistics Agency – J6 Enterprise Technology Services,Multiple (IDIQ pool),Secret (indicative),Secret,“DLA JETS”,“DLA JETS”,,IT Operations; Logistics
Defense Satellite Communications Modernization,CACI,Colorado Springs; Fort Meade,Secret,SATCOM RF engineers; network engineers,SATCOM RF engineers; network engineers,network,
DFAS Enterprise IT Support – Secondary Row,Peraton,DFAS nationwide,Public Trust,Financial IT; ERP modernization,Financial IT; ERP modernization,,
DFAS Enterprise Support,Peraton,DFAS sites,Public Trust,Financial systems IT; ERP support,Financial systems IT; ERP support,,
DGFS (RTX),Raytheon (RTX),Tucson AZ + other sites,Secret,Munitions engineers; missile specialists,Munitions engineers; missile specialists,,
DHS Cybersecurity Support Contract,Five Star Technology Solutions,DC Metro,Top Secret,Cybersecurity SMEs; program managers,Cybersecurity SMEs; program managers,cybersecurity,Cybersecurity
DHS Data Center 2,GDIT / Peraton (indicative),DC2 sites,"Public Trust, Secret",DC engineers; ops; cloud,DC engineers; ops; cloud,cloud,Data Analytics; Cloud Services
DHS Enterprise IT Services I,Leidos / SAIC (indicative),DHS HQ,"Public Trust, Secret",IT services; enterprise support,IT services; enterprise support,,
DIA Battlefield Information Networks / BICES-X,CACI,Offutt AFB NE; Stuttgart Germany,TS/SCI,Network engineers; sysadmins; cyber analysts,Network engineers; sysadmins; cyber analysts,network,Data Analytics; Cybersecurity
DIA EMERALD,Peraton (Perspecta heritage),TS/SCI,Secret,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,,
DIA Information Systems Engineering Office,Leidos,Reston VA; JBAB DC,TS/SCI,Sysadmin; help desk; desktop support,Sysadmin; help desk; desktop support,AI,Systems Engineering; IT Operations; Logistics
DIA Infrastructure Services Enterprise Ops,Leidos,JBAB DC; Reston VA,TS/SCI w/ Poly,Service desk; data center ops; mobile/IA teams,Service desk; data center ops; mobile/IA teams,,Data Analytics
DIA Infrastructure Services Ops,Leidos,DIA HQ (DC) + field sites,TS/SCI,Service desk; mobile support; IA & data center,Service desk; mobile support; IA & data center,,Data Analytics
DIA ISEO,Leidos,Washington DC (Bolling); remote sites,TS/SCI,IT support; help desk; desktop support,IT support; help desk; desktop support,,IT Operations
DIA ISEO (IT Sustainment for DIA),Leidos,Washington DC; Fort Meade MD,TS/SCI,Help desk; desktop; surge staffing,Help desk; desktop; surge staffing,AI,Data Analytics; IT Operations; Logistics
DIA IT Sustainment & Engineering Office,Leidos,Reston VA; JBAB DC,TS/SCI,Help desk; desktop; IT sustainment engineers,Help desk; desktop; IT sustainment engineers,AI,IT Operations; Logistics
DIA IT Sustainment & Enterprise Ops,Leidos,JBAB DC; DIA field sites,TS/SCI,Tier 1–3 help desk; VIP support; network operations,Tier 1–3 help desk; VIP support; network operations,AI; network,IT Operations; Logistics
DIA IT Sustainment & Enterprise Ops (Task Order),Leidos,JBAB DC; Reston VA,TS/SCI,Desktop/VIP support; service desk; network ops,Desktop/VIP support; service desk; network ops,AI; network,IT Operations; Logistics
DIA IT Sustainment (ISEO),Leidos,Reston VA; Bolling AFB; CO,TS/SCI,Desktop; help desk; TS-cleared techs,Desktop; help desk; TS-cleared techs,AI,IT Operations; Logistics
DIA SITE III,Leidos,Worldwide CONUS/OCONUS,TS/SCI w/ Poly,DevSecOps; cyber; AI/ML; big data,DevSecOps; cyber; AI/ML; big data,DevSecOps; AI; ML,Data Analytics; Cybersecurity
DIA SITE III IDIQ,"Leidos, CACI, others",National Harbor MD (conference note),TS/SCI,Cyber; IT infrastructure; systems engineering,Cyber; IT infrastructure; systems engineering,,Systems Engineering; Cybersecurity
DIA Solutions for the Information Technology Enterprise III,Multi-award primes,JBAB DC; DIA field sites,TS/SCI,Sys/Win/Linux Admin; Service Desk; SharePoint Admin,Sys/Win/Linux Admin; Service Desk; SharePoint Admin,SharePoint,
DIMS (Peraton),Peraton,Secret,Secret,Data analysts; IT sustainment; cloud/DB support,Data analysts; IT sustainment; cloud/DB support,AI; cloud,Data Analytics; Cloud Services; Logistics
DISA ENCORE III,20 large + 20 small primes,DoD-wide,Secret,IT modernization; software; cyber; net ops,IT modernization; software; cyber; net ops,network,Software Development; Cybersecurity
DISA ENCORE III Cyber Task Orders,CACI,Fort Meade MD; Scott AFB IL,TS/SCI,Boundary protection; DevSecOps; PKI; cyber engineering,Boundary protection; DevSecOps; PKI; cyber engineering,DevSecOps; PKI,Cybersecurity
DISA Enterprise IT Support / Cloud Support BPA,Multiple primes,Crystal City VA; Fort Meade MD,Top Secret,Cloud SMEs; security engineers; cloud ops,Cloud SMEs; security engineers; cloud ops,cloud,Cloud Services; Cybersecurity
DISA Global Service Mgmt – Ops II,Leidos,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,"Secret, TS/SCI",Network admin; boundary security; NOC; ServiceNow devs,Network admin; boundary security; NOC; ServiceNow devs,ServiceNow; network,IT Operations; Cybersecurity
DISA GSM-O II,Leidos,Worldwide (DoDIN NOCs),TS/SCI,Network ops center techs; cyber analysts; NOC engineers; JRSS staff,Network ops center techs; cyber analysts; NOC engineers; JRSS staff,network,IT Operations; Cybersecurity
DISA GSM-O II (Surge Staffing Focus),Leidos,Scott AFB; Fort Meade,TS/SCI,NOC technicians; ServiceNow developers; cyber analysts,NOC technicians; ServiceNow developers; cyber analysts,ServiceNow,Cybersecurity
DISA JWCC – Joint Warfighting Cloud Capability,Amazon; Microsoft; Google; Oracle,Global DoD; Crystal City VA,TS/SCI,Cloud architects; cloud security engineers; multi-cloud administrators,Cloud architects; cloud security engineers; multi-cloud administrators,cloud,Data Analytics; Cloud Services; Cybersecurity
DISA Supply Chain Mgmt (GDIT),GDIT,Fort Meade MD,Secret,IT/cyber analysts; logistics IT support,IT/cyber analysts; logistics IT support,AI,Logistics; Cybersecurity
Distributed Common Ground System (AF),BAE; multiple,TS/SCI,Secret,“AF DCGS”,“AF DCGS”,,
DLA J6 Enterprise Tech Services,Multiple Awardees,DLA CONUS sites,Secret,Help desk; app support; network ops,Help desk; app support; network ops,network,IT Operations
DLA J6 Enterprise Technology Services,CACI; Deloitte; SAIC; GDIT,Fort Belvoir; Columbus OH; Philadelphia PA,"Public Trust, Secret",Sysadmin; help desk; cyber; engineering,Sysadmin; help desk; cyber; engineering,,IT Operations; Cybersecurity
DLA J6 Enterprise Technology Services 2.0,Leidos; GDIT; Booz Allen; CACI; Peraton,Fort Belvoir; Columbus OH; Scott AFB IL,"Secret, TS/SCI",Network engineer; cyber; cloud architect; sysadmin,Network engineer; cyber; cloud architect; sysadmin,cloud; network,Cloud Services; Cybersecurity
DLA JETS (DLA J6 Variant),Multiple primes,Richmond VA; Columbus OH; other CONUS sites,Secret,Network engineers; sysadmins; software dev; cyber,Network engineers; sysadmins; software dev; cyber,network,Software Development; Cybersecurity
DLA JETS 2.0 (Follow-On),CACI; GDIT,NCR; remote,Secret,IT; cyber; logistics analysts,IT; cyber; logistics analysts,,Logistics; Cybersecurity
DoD Health Modernization,Leidos; Cerner; Accenture,MTFs nationwide,"Public Trust, Secret",Health IT; clinical IT integration; systems analysts,Health IT; clinical IT integration; systems analysts,,Systems Engineering
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,SAIC,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),"Public Trust, Secret",HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators,AI; network,IT Operations
DoD IAC Multiple Award Contract,Multiple primes,DoD labs CONUS,Secret,R&D SMEs; scientists; analysts,R&D SMEs; scientists; analysts,,
DoD Information Analysis Center MAC,Multiple,CONUS R&D labs,Secret,Scientists; R&D engineers; prototype developers,Scientists; R&D engineers; prototype developers,,
DoD Joint Service Provider – Pentagon IT & ICAM,CACI (incumbent),Pentagon; NCR,"Secret, Top Secret",Helpdesk; deskside; VTC; ICAM,Helpdesk; deskside; VTC; ICAM,,
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),Leidos,Pentagon; JB Andrews,"Secret, Top Secret",Desktop support; NetOps; ICAM engineers,Desktop support; NetOps; ICAM engineers,,IT Operations
DSS Support,Northrop (mention); others,NCR,Secret,Security IT; insider threat IT support,Security IT; insider threat IT support,,Cybersecurity
DTIC / IAC MAC,Multiple,DoD labs,Secret,R&D SMEs; scientific analysts,R&D SMEs; scientific analysts,,
DTRA IAC-MAC Research & Analysis,CACI,Fort Belvoir; Kirtland AFB,"Secret, Top Secret",Nuclear/Bio defense analysts; data scientists,Nuclear/Bio defense analysts; data scientists,,Data Analytics
