Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base Contract Value (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),FPDS NAICS Code,FPDS PSC Code,NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,Medium,"Secret, Top Secret",Medium,nan,AGILE SOFTWARE / CLOUD / DEVSECOPS,San Antonio TX; Colorado Springs CO,"“Platform One,” “Zero Trust,” “DevSecOps”",Kessel Run; SAIC; Deloitte,Target,nan,USAF (Internal),Cyber,nan,Included heavily in BD automation datasets,DevSecOps engineers; cloud engineers; CI/CD architects,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,🟠 High,"Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret",High,$889M,Services,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,nan,Target,nan,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),Cyber,nan,nan,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,47QFCA19F0033,ARCYBER,High,9,,,,,,,,,,,,,,,,,,,,,Not Queried
Army “Project Convergence”,nan,Army,nan,Top Secret,Medium,nan,nan,Secret,R&D,nan,nan,nan,SAIC,Professional Services,nan,Medium,“AI/automation experimentation”; “JADC2 exercises”,W15QKN19F1290,nan,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Army AESD Enterprise Service Desk,AESD,Army,nan,Secret,High,$757M,nan,Fort Liberty NC; Fort Sam Houston TX,“SAIC’s AESD hiring lead”; “PTS leveraged mutual contacts”,PTS (warm contact),nan,nan,SAIC,nan,nan,“Army AESD – $757M global helpdesk contract (Prime: SAIC)”,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,FA877319FA023,AESD,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Army ALTESS Cloud Hosting,ALTESS,Army,nan,Secret,Medium,nan,nan,Radford VA; Fort Belvoir VA,“Army ERP hosting”; “ALTESS Cloud”,nan,nan,nan,Leidos,nan,nan,Repeated ALTESS references in staffing history,Cloud/ERP admins; system administrators; cybersecurity staff,HHSN261200800001E,ALTESS,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Army AvMC Enterprise IT Support,EITSS,Army,nan,Secret,High,$404M,nan,Redstone Arsenal AL,"“Help desk, sys admins, net ops”; “IPTA scaling up 100+ positions at Redstone”","Larger firms as needed (SAIC, Leidos, etc., for surge)",nan,nan,IPTA (SDVOSB),nan,nan,IPTA AvMC EITSS description,Help desk; sysadmins; network operations; user support; IT ops,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Army AvMC Enterprise IT Support Services,EITSS,Army,nan,Secret,High,$404M,nan,Redstone Arsenal / Huntsville AL,“IPTA AvMC EITSS… hiring… Huntsville”; “Insight Global posting IT Support Tech”,SAIC / Leidos (minor); local SBs,nan,nan,IPTA (SDVOSB),nan,nan,IPTA award reference,Help desk; systems & network admin; cyber analyst; asset management,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,nan,Secret,Medium,$3M,nan,Secret → TS/SCI,C5ISR / IT Ops,nan,nan,nan,CACI,Professional Services,nan,Medium,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,W15QKN15C0049,BIM TO2,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,nan,Secret,Medium,$3M,nan,TS/SCI,C5ISR / IT Ops,nan,nan,nan,CACI,Professional Services,nan,Medium,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,W15QKN15C0049,BIM TO3,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Enterprise Service Desk,AESD,Army,nan,"Public Trust, Secret",High,$757M,nan,24×7 CONUS call centers; virtual & global remote support,“Global service desk 24×7”; “hundreds of Tier 1–2 agents”,"Large recruiting firms (Insight Global, TEKsystems, etc.)",nan,nan,SAIC,nan,nan,SAIC AESD references (Top 20 Programs),Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support,FA877319FA023,AESD,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Enterprise Service Management Framework,AESMF,Army,nan,Secret,Medium,nan,nan,Secret / TS,IT Ops,nan,nan,nan,SAIC,Professional Services,nan,Medium,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”",W15QKN19F1290,AESMF,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Futures Command – Project Convergence,nan,Army,nan,Top Secret,Medium,nan,nan,Secret,R&D / C5ISR,nan,nan,nan,SAIC (major integrator; autonomy & AI work),Data,nan,Medium,“AI/autonomy experiments”; “Project Convergence”,W15QKN19F1290,nan,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Integrated Battle Command System,IBCS,Army,nan,"Secret, Top Secret",High,$2.7B,nan,Huntsville AL; Fort Sill OK; distributed test ranges,"“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",Lockheed Martin; Raytheon (sensors/missiles); others,nan,nan,Northrop Grumman,nan,nan,Top 20 DoD Programs,Systems engineers; radar engineers; C2 software developers; missile integration engineers,HQ085621C0003,IBCS,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Integrated Battle Command System Support,IBCS,Army,nan,"Secret, Top Secret",Medium,Multi-$B,nan,Huntsville AL; White Sands NM; Fort Bliss TX,“Army IBCS… CACI hiring Systems Integration Engineers in Huntsville”,SAIC; Raytheon; Torch; Dynetics,nan,nan,Northrop Grumman (prime); CACI (support),nan,nan,nan,Systems Integration; Test; SW Eng,W15QKN15C0049,IBCS,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,nan,"Public Trust, Secret",High,$880M,nan,Arlington VA; Springfield VA; National Guard sites nationwide,"“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",MetroStar; Octo; other Agile Dev partners,nan,nan,CACI,Cyber,nan,ITEMSS award and capability description,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,47QFRA19F0011,ITEMSS,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
Army IT Enterprise Solutions – 3 Services,ITES-3S,Army,nan,Secret,High,$12.1B,nan,Army / DoD enterprise-wide,“ITES-3S… $12.1B… 135 awardees… sub-heavy work”,Numerous (large & small),nan,nan,135 awardees,Cyber,nan,IDIQ listing in program universe,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Army ITES-3S,ITES-3S,Army,High,Secret,High,$12.1B,IDIQ,Army-wide,“Army ITES-3S… primary Army IT services vehicle”,Extensive teaming (large & small),nan,"January 1, 2018 → January 1, 2027",135 primes,IT Ops,nan,Same as above (expanded row),Help desk; network ops; cyber analysts; field IT technicians,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Missile & Space R&D Support (Huntsville),nan,Army,nan,Secret,Medium,nan,nan,Huntsville AL,“Army Missile & Space R&D… multiple postings (Secret)”,nan,nan,nan,Dynetics; Northrop teams,nan,nan,Multiple Huntsville postings referencing Army missile & space roles,SW engineers; electrical engineers; full-stack developers; test engineers,F4261098C0001,nan,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Next-Gen C2 Prototype,NGC2,Army,nan,Secret,Medium,$100M,nan,Fort Irwin test sites,“C2 prototype”; data mesh; edge compute,Palantir; Striveworks; Govini; Microsoft; RII,nan,nan,Anduril,nan,nan,Prototype description in user sheet,Data mesh engineers; edge app developers; AI/ML integration engineers,FA882024FB003,NGC2,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Research Lab / Adelphi Labs,ARL,Army,nan,Secret,Medium,nan,nan,Secret,IT Ops / R&D,TEKsystems; Insight Global,nan,nan,SAIC,Professional Services,nan,High,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,W15QKN19F1290,ARL,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Responsive Strategic Sourcing for Services,RS3,Army,nan,Secret,High,$37.4B,nan,CONUS/OCONUS,“RS3… 37.4B… 261 primes”,Many subs,nan,nan,261 primes,Professional Services,nan,RS3 reference repeats,C4ISR engineering; IT; logistics,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Army RS3 (Expanded PEO EIS Listing),RS3,Army,Medium,Secret,Medium,$37B,IDIQ,U.S. Army CONUS/OCONUS,“RS3 Army Contract Vehicle”; “Belcan contract in Blueprint”,Prime Technical Services (sub),Current,"January 1, 2018 → January 1, 2028","Multiple (Belcan, SAIC, many)",IT Ops,nan,Vehicle entry in RS3 listing,Engineering services; IT; logistics; training; program support,W15QKN19F1290,RS3,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Army RS3 (Primary Listing),RS3,Army,nan,Secret,High,$37.4B,nan,Army & DoD (CONUS/OCONUS),“RS3… $37.4B… 261 primes… broad C4ISR support… teaming heavy”,Broad teaming across primes/subs,nan,nan,"261 primes (65 large, 196 small)",Professional Services,nan,RS3 entry in Top 20 Programs,C4ISR engineers; analysts; IT support; program staff,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Army Test & Evaluation Command,ATEC,Army,nan,Secret,Medium,nan,nan,APG / Yuma / other ranges,“ATEC test”; T&E mission,Multiple,nan,nan,Multiple,R&D,nan,listed in sheet,Test engineers; instrumentation support; analysts,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
ARNG G-2 Intelligence IT Support,nan,Army,Medium,TS/SCI,Medium,nan,Services,"Guard intel sites (e.g., Fort Belvoir)",IAE,nan,nan,nan,SAIC,Cyber,nan,Peraton,ARCYBER Information Advantage Enterprise,W15QKN19F1290,nan,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
AUSA Modernization Portfolios (aggregate),FVL / LRPF / AMD / NGCV / Network / Soldier,Army,Medium,"Secret, Top Secret",Medium,nan,PORTFOLIO,Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,CITRA,Multiple,Target,nan,Multiple primes (see rows),Logistics,nan,nan,ASA(ALT) CITRA Enterprise IT Program,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
AvMC Enterprise IT Support Services,EITSS,Army,nan,Secret,Medium,nan,nan,Secret (assumed),IT Ops,nan,nan,nan,IPTA,Professional Services,nan,Medium,“PTS placed cleared admins at Redstone”,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,nan,Secret,Medium,nan,nan,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”,Prime Technical Services,nan,nan,Northrop Grumman,nan,nan,NG BOA supported programs list,ISSOs; DevOps engineers; testers; logistics staff,FA821920C0006,BOA,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,nan,Secret,Medium,nan,nan,Various locations,BOA,Multiple,nan,nan,Lockheed Martin,Professional Services,nan,nan,Varies,N0001917C0001,BOA,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Basic Ordering Agreement (NG BOA),BOA,Other,nan,Secret,Medium,nan,nan,"Roy, UT; Hill AFB; Colorado Springs, CO","Surge Support, Staff Augmentation",Prime Technical Services (sub),nan,nan,Northrop Grumman,nan,nan,Northrop programs supported by Prime TS,"ISSOs, Testers, DevOps, Logistics",FA821920C0006,BOA,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,nan,"Secret, Top Secret",Medium,nan,nan,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”; “BOA”,Prime Technical Services,nan,nan,Northrop Grumman,nan,nan,"“BOA – General surge & staff augmentation – ISSOs, Testers, DevOps, Logistics – Roy, UT / COS / Hill AFB”",ISSOs; testers; DevOps engineers; logistics support staff,FA821920C0006,BOA,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Medium,"Secret, Top Secret",Medium,nan,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,"“Surge Support, ISSO, Logistics”",Prime TS,nan,nan,Northrop Grumman,IT Ops,nan,“BOA – general surge and staff augmentation”,ISSOs; testers; DevOps engineers,FA821920C0006,BOA,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,nan,"Secret, TS/SCI",High,$5B,nan,Worldwide coalition networks,“BICES → MPE transition; Capgemini team”,Capgemini; various coalition-support subs,nan,nan,GDIT (incumbent pre-MPE),nan,nan,“MPE contract replacing BICES… Capgemini involvement”,Multilingual service desk; cross-domain IT; coalition network support,19AQMM18C0185,BICES-X,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Battlefield Information Collection & Exploitation System,BICES,DoD,nan,TS/SCI,High,nan,nan,Norfolk VA; Tampa FL; Doral FL; EU sites,“Coalition intel networks; TS/SCI network engineers”,Insight Global; Apex Systems; TEKsystems,nan,nan,GDIT,nan,nan,“BICES – PTS filled Senior Network Engineers (Norfolk/Tampa/Doral)”,Senior network engineers; Linux admins; ServiceNow architects,19AQMM18C0185,BICES,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
BICES Defense Intelligence Agency Variant,BICES,DIA,nan,TS/SCI,Medium,$500M,nan,Offutt AFB; RAF Molesworth,“USSTRATCOM; BICES; coalition networks”,nan,nan,nan,CACI + Leidos + Peraton + SAIC (various subs),Intel,nan,Prime TS BD Automation Playbook (L200–L220),Network engineers; sysadmins; cyber analysts,FA251822F0034,BICES,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,nan,"Secret, TS/SCI",High,$881M,nan,EUCOM / CENTCOM / PACOM nodes,“Coalition IT O&M; CDS”,Leidos; Capgemini,nan,nan,GDIT,nan,nan,Program lineage notes,Coalition IT O&M; CDS support,19AQMM18C0185,BICES-X / MPE,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
BOA (General Staff Augmentation),BOA,Other,High,Secret,High,nan,BOA,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,nan,nan,nan,Northrop Grumman,IT Ops,nan,BOA operations reference,ISSOs; testers; DevOps; logistics,FA821920C0006,BOA,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
BOA (Northrop Surge),BOA,Other,nan,"Secret, Top Secret",Medium,nan,nan,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,nan,nan,nan,Northrop Grumman,nan,nan,BOA support description,ISSOs; testers; DevOps engineers; logistics,FA821920C0006,BOA,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Business Operations & Analytics,BOA,DoD,Medium,"Secret, Top Secret",Medium,Multi-$M,Services,Roy UT; Hill AFB UT; Colorado Springs CO,“Staff augmentation; BOA”,Insight Global; Apex Systems,Target,nan,Northrop Grumman,IT Ops,nan,“Northrop programs supported by Prime TS”,ISSOs; DevOps; testers; logistics analysts,FA821920C0006,BOA,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,nan,TS/SCI,High,$5B,nan,Colorado Springs; Huntsville AL,“MDA; C2BMC; BMC3; missile defense”,SAIC; Northrop,nan,nan,Lockheed Martin,nan,nan,Multiple BD docs referencing C2BMC,Software engineers; missile defense integrators; C2 / BMC3 engineers,W31P4Q20C0023,C2BMC,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
CAAC (Peraton),CAAC,DoD,🟡 Medium,Secret,Medium,nan,Program,Secret,IT Ops,nan,nan,nan,Peraton,Professional Services,nan,Medium,“CAAC-PERATON”,47QFCA19F0033,CAAC,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,nan,"Secret, TS/SCI",Medium,$446M,nan,Worldwide SATCOM tracking stations,“SATCOM O&M”,L3Harris; LinQuest (indicative),nan,nan,CACI,nan,nan,Program line in sheet,RF techs; schedulers; network ops; SATCOM operators,FA882316C0004,CAMMO,High,7,,,,,,,,,,,,,,,,,,,,,Not Queried
CBP Enterprise IT Support,CBP-Peraton,DHS,Medium,"Public Trust, Secret",Medium,nan,Services,CBP sites nationwide,“Border IT”,nan,nan,nan,Peraton,IT Ops,nan,Program line,IT/cyber support staff; network engineers; help desk,GST0011AJ0025,CBP-Peraton,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,Medium,"TS/SCI, Top Secret",Medium,nan,~2020–2026,TS (some SCI),IT Ops / Analytics,nan,nan,nan,ManTech (TPVS/BISS); CACI (BISS follow-on),Professional Services,nan,Medium,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,70B04C20F00001357,TPVS / BISS,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,nan,TS/SCI,Medium,$100M,nan,DoD secure enclaves,“Advanced AI Tools OTA… deployable to TS/SCI enclaves”,DoD labs; integrators,nan,nan,Scale AI,R&D,nan,Program description,ML engineers; data labeling teams; AI DevOps,W911QX24F0053,Donovan,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
CENTCOM Comms Tech Support V,CTSS V,DoD,nan,"Secret, Top Secret",High,$865M,nan,20 countries (SW Asia AOR),“CTSS V… 20 countries… high-turnover… AVI-SPL sub usage”,AVI-SPL,nan,nan,GovCIO (Salient CRGT),nan,nan,CTSS V entry in Top-20,Deployable comms techs; RF engineers; SATCOM; network admins,36C10B22N10030034,CTSS V,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
CENTCOM Enterprise IT Modernization,nan,DoD,nan,"Secret, Top Secret",High,$922M,nan,MacDill AFB; CENTCOM sites OCONUS,“CENTCOM EITM… GDIT… AVI-SPL subs… enterprise modernization”,AVI-SPL; IT staffing partners,nan,nan,GDIT,nan,nan,Program description,Cloud architects; cyber engineers; legacy IT sustainment,19AQMM18C0185,nan,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
CISA Enterprise Support (CACI),CISA-CACI,DHS,nan,Secret,Medium,nan,nan,NCR,“CISA support”,nan,nan,nan,CACI,Cyber,nan,Program line,Cybersecurity; IT ops support,47QFRA19F0011,CISA-CACI,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Cloud One,Cloud One,Air Force,nan,Secret,High,$727M,nan,Hanscom AFB; remote,“AF Cloud migration; Azure/AWS”,nan,nan,nan,SAIC,nan,nan,Cloud One value from program intel,Cloud engineers; DevSecOps; cyber,FA877319FA023,Cloud One,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Cloud One (USAF Cloud Program),Cloud One,Air Force,nan,Secret,High,$727M,nan,Hanscom AFB; remote,“USAF common multi-cloud environment”,Unnamed subcontractors,nan,nan,SAIC,nan,nan,Cloud One description,Cloud engineers; DevSecOps,FA877319FA023,Cloud One,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
CMMARS (Navy Rapid C5ISR),CMMARS,Navy,Medium,Secret,Medium,nan,IDIQ,NAVWAR,“Navy rapid C5ISR”,Multiple subs,nan,nan,Multiple,C5ISR,nan,NAVWAR program entry,Rapid C5ISR engineering; prototyping; integration,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,nan,Public Trust,Medium,nan,nan,CMS,“CMS cloud”,nan,nan,nan,Peraton / SAIC (indicative),nan,nan,Row entry,Cloud engineers; cloud ops,47QFCA20F0015,ECIS,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,nan,"Secret, TS/SCI",Medium,nan,nan,Colorado Springs; Huntsville,“C2BMC… software/network-centric”,Parsons; Tetra Tech,nan,nan,Northrop Grumman,nan,nan,Same dataset as earlier rows,SW engineers; network engineers; cyber engineers,HQ085621C0003,C2BMC,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,nan,"Secret, TS/SCI",Medium,Multi-$B,nan,Huntsville / Schriever,Global missile defense C2,"Northrop, Raytheon subs",nan,nan,Lockheed Martin,nan,nan,nan,"C2 SW, integration",W31P4Q20C0023,C2BMC,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
