Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
AF TENCAP IT/EW Mission Support (EPASS A&AS),AF TENCAP A&AS,Air Force,,"Secret, TS/SCI",Medium,,,,“AF TENCAP Program Office”; “EPASS A&AS”; “Odyssey Systems team”; rapid exploitation of intel/space capabilities for warfighters; experimentation and prototyping advisory services,,,,,,,,Systems engineers; experiment planners; program/project managers; schedulers; financial analysts and budgeteers; intel/space liaisons bridging NRO/NGA/IC feeds into AF TENCAP projects; configuration managers; test & evaluation support staff
AFCENT Enterprise IT & Cyber Support,AFCENT IT,Air Force,,"Secret, TS/SCI",Medium,,,USCENTCOM AOR (multiple bases in SWA); Shaw AFB SC and other CONUS reach-back sites,“AFCENT IT”; “USAF (CENTCOM)”; “AOR & Shaw”; network/cyber operations; theater IT O&M,,,,,Cyber,,,Cybersecurity engineers; EW engineers and spectrum operations staff supporting mission systems; software test engineers; range IT/mission support technicians; data analysts; systems engineers for EW/cyber test; network engineers and administrators for AFCENT networks
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,,"Secret, TS/SCI",Medium,,,,“ISSO/ISSM – SCORPION… interviews (10/23–10/24)”; AFCENT cyber task; RMF/ISSO/ISSM focus; SCORPION program codename,,,,CACI,Cyber,,,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff
AICCS C5ISR System Support (indicative),AICCS,Other,,"Secret, TS/SCI",Medium,,,,“AICCS”; “Systems”; C5ISR; joint AF/Navy context,,,,,,,,Systems engineers; integration and test engineers; C5ISR architects; requirements and interface control staff
Air & Space Cyber Conference Programs,Various (e.g. AFA Events,Air Force,,,Medium,,,"National Harbor, MD",Aegis,,,,"Multiple (Leidos, SAIC, Northrop)",Weapon Systems,,Lockheed Martin,Aegis Ballistic Missile Defense / Aegis Program
Air & Space Force Cyber Conference (Event Target),,Air Force,,Top Secret,High,,,National Harbor MD,“Air & Space Cyber Conference”; “BD attendance target”,,,,Industry-wide (multiple primes),Event,,DoD Events Calendar (L140–L150),BD reps; Program Managers
Air Force Advanced Battle Management System,ABMS,Air Force,,"Secret, Top Secret",Medium,,,"Eglin AFB, FL; Hanscom AFB, MA","Various (e.g., AFA Events)","CACI, Raytheon",,,"Multiple: SAIC, Leidos, Booz Allen Hamilton",Space,,"Multiple (Leidos, SAIC, Northrop, etc. as exhibitors/sponsors)",Air & Space Cyber Conference Programs
Air Force Cloud & Cyber Support Program,,Air Force,🟠 High,"Public Trust, Top Secret",High,,Task Order,Pentagon; All USAF Bases,supporting a $10B contract… manage multiple teams… cloud infrastructure across all Air Force bases,,Target,"January 1, 2021 → January 1, 2025",Five Star Tech Solutions,Cyber,"April 30, 2025",serving DoD clients as Cybersecurity Technical Operations Manager… Cloud & Cyber Security Programs… at Pentagon,"Cloud Engineers, Network Engineers, Cybersecurity SMEs, Admins"
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,,"Secret, TS/SCI",Medium,$1B,,San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,"“Platform One,” “Cloud One,” “Zero Trust,” “DevSecOps,” “Agile Software Factory”",,,,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Cyber,,Prime TS BD Intelligence Automation doc (L140–L160),DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,,Secret,Medium,,,AFLCMC (multiple program offices),“Geospatial systems”; “AFGIS (LM)”,,,,Lockheed Martin,Intel,,Appears in BD automation sources,GIS engineers; geospatial analysts; systems integrators
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,Medium,"Secret, Top Secret",Medium,,AGILE SOFTWARE / CLOUD / DEVSECOPS,San Antonio TX; Colorado Springs CO,"“Platform One,” “Zero Trust,” “DevSecOps”",Kessel Run; SAIC; Deloitte,Target,,USAF (Internal),Cyber,,Included heavily in BD automation datasets,DevSecOps engineers; cloud engineers; CI/CD architects
Air Force SAP Security Support Services,“Justified”,Air Force,Medium,Secret,Medium,,Multi-Year,TS/SCI (SAP),Intel / Security,,Past,,GDIT,Professional Services,,High,"“We placed ASR II/III, PSR III, ISSO at multiple AF sites under ‘Justified’”"
Alamo ACE Conference / TechNet,—,Army,,,Medium,,,San Antonio TX,"“AFCEA,” “DISA,” “Networking”",,,,Multiple,Event,,Event decision list,BD reps; PMs; capture leads; cyber SMEs
AOC Falcon Integration Services,AOC Falcon V,Air Force,,"Secret, TS/SCI",Medium,,,,“AOC Falcon Integration”; “AOC Falcon V”; “AOC engineers”; C2/IT; AOC mission systems,,,,,,,,AOC engineers; C2 systems integrators; mission systems admins; network engineers supporting AOC infrastructure; software integrators for Falcon V and related tools; help-desk and floor support techs
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,🟠 High,"Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret",High,$889M,Services,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,,Target,,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),Cyber,,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers
Army “Project Convergence”,,Army,,Top Secret,Medium,,,Secret,R&D,,,,SAIC,Professional Services,,Medium,“AI/automation experimentation”; “JADC2 exercises”
Army AESD Enterprise Service Desk,AESD,Army,,Secret,High,$757M,,Fort Liberty NC; Fort Sam Houston TX,“SAIC’s AESD hiring lead”; “PTS leveraged mutual contacts”,PTS (warm contact),,,SAIC,,,“Army AESD – $757M global helpdesk contract (Prime: SAIC)”,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support
Army ALTESS Cloud Hosting,ALTESS,Army,,Secret,Medium,,,Radford VA; Fort Belvoir VA,“Army ERP hosting”; “ALTESS Cloud”,,,,Leidos,,,Repeated ALTESS references in staffing history,Cloud/ERP admins; system administrators; cybersecurity staff
Army AvMC Enterprise IT Support,EITSS,Army,,Secret,High,$404M,,Redstone Arsenal AL,"“Help desk, sys admins, net ops”; “IPTA scaling up 100+ positions at Redstone”","Larger firms as needed (SAIC, Leidos, etc., for surge)",,,IPTA (SDVOSB),,,IPTA AvMC EITSS description,Help desk; sysadmins; network operations; user support; IT ops
Army AvMC Enterprise IT Support Services,EITSS,Army,,Secret,High,$404M,,Redstone Arsenal / Huntsville AL,“IPTA AvMC EITSS… hiring… Huntsville”; “Insight Global posting IT Support Tech”,SAIC / Leidos (minor); local SBs,,,IPTA (SDVOSB),,,IPTA award reference,Help desk; systems & network admin; cyber analyst; asset management
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,,Secret,Medium,$3M,,Secret → TS/SCI,C5ISR / IT Ops,,,,CACI,Professional Services,,Medium,“CACI BIM TO2 Wireless Network Engineer – OCONUS”
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,,Secret,Medium,$3M,,TS/SCI,C5ISR / IT Ops,,,,CACI,Professional Services,,Medium,“CACI BIM TO3 – Network Operations Engineer TS/SCI”
Army Enterprise Service Desk,AESD,Army,,"Public Trust, Secret",High,$757M,,24×7 CONUS call centers; virtual & global remote support,“Global service desk 24×7”; “hundreds of Tier 1–2 agents”,"Large recruiting firms (Insight Global, TEKsystems, etc.)",,,SAIC,,,SAIC AESD references (Top 20 Programs),Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support
Army Enterprise Service Management Framework,AESMF,Army,,Secret,Medium,,,Secret / TS,IT Ops,,,,SAIC,Professional Services,,Medium,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”"
Army Futures Command – Project Convergence,,Army,,Top Secret,Medium,,,Secret,R&D / C5ISR,,,,SAIC (major integrator; autonomy & AI work),Data,,Medium,“AI/autonomy experiments”; “Project Convergence”
Army Integrated Battle Command System,IBCS,Army,,"Secret, Top Secret",High,$2.7B,,Huntsville AL; Fort Sill OK; distributed test ranges,"“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",Lockheed Martin; Raytheon (sensors/missiles); others,,,Northrop Grumman,,,Top 20 DoD Programs,Systems engineers; radar engineers; C2 software developers; missile integration engineers
Army Integrated Battle Command System Support,IBCS,Army,,"Secret, Top Secret",Medium,Multi-$B,,Huntsville AL; White Sands NM; Fort Bliss TX,“Army IBCS… CACI hiring Systems Integration Engineers in Huntsville”,SAIC; Raytheon; Torch; Dynetics,,,Northrop Grumman (prime); CACI (support),,,,Systems Integration; Test; SW Eng
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,,"Public Trust, Secret",High,$880M,,Arlington VA; Springfield VA; National Guard sites nationwide,"“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",MetroStar; Octo; other Agile Dev partners,,,CACI,Cyber,,ITEMSS award and capability description,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support
Army IT Enterprise Solutions – 3 Services,ITES-3S,Army,,Secret,High,$12.1B,,Army / DoD enterprise-wide,“ITES-3S… $12.1B… 135 awardees… sub-heavy work”,Numerous (large & small),,,135 awardees,Cyber,,IDIQ listing in program universe,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services
Army ITES-3S,ITES-3S,Army,High,Secret,High,$12.1B,IDIQ,Army-wide,“Army ITES-3S… primary Army IT services vehicle”,Extensive teaming (large & small),,"January 1, 2018 → January 1, 2027",135 primes,IT Ops,,Same as above (expanded row),Help desk; network ops; cyber analysts; field IT technicians
Army Missile & Space R&D Support (Huntsville),,Army,,Secret,Medium,,,Huntsville AL,“Army Missile & Space R&D… multiple postings (Secret)”,,,,Dynetics; Northrop teams,,,Multiple Huntsville postings referencing Army missile & space roles,SW engineers; electrical engineers; full-stack developers; test engineers
Army Next-Gen C2 Prototype,NGC2,Army,,Secret,Medium,$100M,,Fort Irwin test sites,“C2 prototype”; data mesh; edge compute,Palantir; Striveworks; Govini; Microsoft; RII,,,Anduril,,,Prototype description in user sheet,Data mesh engineers; edge app developers; AI/ML integration engineers
Army Reprogramming Analysis Team,ARAT,Army,,Top Secret,Medium,,,Secret,C5ISR,,,,,Professional Services,,Medium,“EW reprogramming”; ARAT mission
Army Research Lab / Adelphi Labs,ARL,Army,,Secret,Medium,,,Secret,IT Ops / R&D,TEKsystems; Insight Global,,,SAIC,Professional Services,,High,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”
Army Responsive Strategic Sourcing for Services,RS3,Army,,Secret,High,$37.4B,,CONUS/OCONUS,“RS3… 37.4B… 261 primes”,Many subs,,,261 primes,Professional Services,,RS3 reference repeats,C4ISR engineering; IT; logistics
Army RS3 (Expanded PEO EIS Listing),RS3,Army,Medium,Secret,Medium,$37B,IDIQ,U.S. Army CONUS/OCONUS,“RS3 Army Contract Vehicle”; “Belcan contract in Blueprint”,Prime Technical Services (sub),Current,"January 1, 2018 → January 1, 2028","Multiple (Belcan, SAIC, many)",IT Ops,,Vehicle entry in RS3 listing,Engineering services; IT; logistics; training; program support
Army RS3 (Primary Listing),RS3,Army,,Secret,High,$37.4B,,Army & DoD (CONUS/OCONUS),“RS3… $37.4B… 261 primes… broad C4ISR support… teaming heavy”,Broad teaming across primes/subs,,,"261 primes (65 large, 196 small)",Professional Services,,RS3 entry in Top 20 Programs,C4ISR engineers; analysts; IT support; program staff
Army Test & Evaluation Command,ATEC,Army,,Secret,Medium,,,APG / Yuma / other ranges,“ATEC test”; T&E mission,Multiple,,,Multiple,R&D,,listed in sheet,Test engineers; instrumentation support; analysts
ARNG G-2 Intelligence IT Support,,Army,Medium,TS/SCI,Medium,,Services,"Guard intel sites (e.g., Fort Belvoir)",IAE,,None,,SAIC,Cyber,,Peraton,ARCYBER Information Advantage Enterprise
ASA(ALT) CITRA,CITRA,Army,Medium,Secret,Medium,,Program,NCR,,,None,,,Intel,,SAIC,ARNG G-2 Intelligence IT Support
AUSA Modernization Portfolios (aggregate),FVL / LRPF / AMD / NGCV / Network / Soldier,Army,Medium,"Secret, Top Secret",Medium,,PORTFOLIO,Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,CITRA,Multiple,Target,,Multiple primes (see rows),Logistics,,,ASA(ALT) CITRA Enterprise IT Program
AvMC Enterprise IT Support Services,EITSS,Army,,Secret,Medium,,,Secret (assumed),IT Ops,,,,IPTA,Professional Services,,Medium,“PTS placed cleared admins at Redstone”
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,,Secret,Medium,,,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”,Prime Technical Services,,,Northrop Grumman,,,NG BOA supported programs list,ISSOs; DevOps engineers; testers; logistics staff
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,,Secret,Medium,,,Various locations,BOA,Multiple,,,Lockheed Martin,Professional Services,,,Varies
Basic Ordering Agreement (NG BOA),BOA,Other,,Secret,Medium,,,"Roy, UT; Hill AFB; Colorado Springs, CO","Surge Support, Staff Augmentation",Prime Technical Services (sub),,,Northrop Grumman,,,Northrop programs supported by Prime TS,"ISSOs, Testers, DevOps, Logistics"
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,,"Secret, Top Secret",Medium,,,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”; “BOA”,Prime Technical Services,,,Northrop Grumman,,,"“BOA – General surge & staff augmentation – ISSOs, Testers, DevOps, Logistics – Roy, UT / COS / Hill AFB”",ISSOs; testers; DevOps engineers; logistics support staff
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Medium,"Secret, Top Secret",Medium,,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,"“Surge Support, ISSO, Logistics”",Prime TS,None,,Northrop Grumman,IT Ops,,“BOA – general surge and staff augmentation”,ISSOs; testers; DevOps engineers
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,,"Secret, TS/SCI",High,$5B,,Worldwide coalition networks,“BICES → MPE transition; Capgemini team”,Capgemini; various coalition-support subs,,,GDIT (incumbent pre-MPE),,,“MPE contract replacing BICES… Capgemini involvement”,Multilingual service desk; cross-domain IT; coalition network support
Battlefield Information Collection & Exploitation System,BICES,DoD,,TS/SCI,High,,,Norfolk VA; Tampa FL; Doral FL; EU sites,“Coalition intel networks; TS/SCI network engineers”,Insight Global; Apex Systems; TEKsystems,,,GDIT,,,“BICES – PTS filled Senior Network Engineers (Norfolk/Tampa/Doral)”,Senior network engineers; Linux admins; ServiceNow architects
Battlefield Information Collection & Exploitation System,BICES,DoD,Medium,TS/SCI,High,$250M,IDIQ,Offutt AFB NE; Europe,"“USSTRATCOM, NATO Intel, Mission Networks”",Leidos; SAIC; subcontractors,Past,,CACI,Intel,,TS/SCI BICES job mapping,Network engineers; cyber analysts; intel support staff
BICES (Battlefield Intelligence Collection & Exploitation System),BICES,DoD,Medium,TS/SCI,Medium,$500M,IDIQ,Offutt AFB; EU/NATO bases,“Battlefield Intel; NATO; Signals Collection”,Leidos; SAIC; GDIT,Past,,CACI,Intel,,AI Program-Mapping Engine association,Network engineers; intel systems engineers
BICES (Expanded Historical Listing),BICES,DoD,Medium,Secret,Medium,,,TS/SCI,Intel,GDIT; Leidos (historical subs),Past,,CACI,Professional Services,,Medium,“BICES… cleared IT”
BICES Defense Intelligence Agency Variant,BICES,DIA,,TS/SCI,Medium,$500M,,Offutt AFB; RAF Molesworth,“USSTRATCOM; BICES; coalition networks”,,,,CACI + Leidos + Peraton + SAIC (various subs),Intel,,Prime TS BD Automation Playbook (L200–L220),Network engineers; sysadmins; cyber analysts
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,,"Secret, TS/SCI",High,$881M,,EUCOM / CENTCOM / PACOM nodes,“Coalition IT O&M; CDS”,Leidos; Capgemini,,,GDIT,,,Program lineage notes,Coalition IT O&M; CDS support
BIM (Indicative Program Entry),BIM,DoD,,Secret,Medium,,,,“BIM”,,,,,,,Placeholder entry,IT; modernization
Blanket Order Agreement – Staff Augmentation,BOA (Northrop),Other,,"Secret, Top Secret",Medium,,,Roy UT; Colorado Springs CO; Hill AFB UT,“BOA”; “surge support”; “staff augmentation”,Prime Technical Services; others,,,Northrop Grumman,Professional Services,,Prime NGC Past Performance,ISSOs; testers; DevOps; logistics
Blanket Ordering Agreement,BOA,DoD,,"Secret, Top Secret",Low,,,Roy UT; Colorado Springs CO; Hill AFB UT,“BOA surge support”,,,,,,,General BOA notes,ISSOs; testers; DevOps; logistics
BOA (General Staff Augmentation),BOA,Other,High,Secret,High,,BOA,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,,None,,Northrop Grumman,IT Ops,,BOA operations reference,ISSOs; testers; DevOps; logistics
BOA (Northrop Surge),BOA,Other,,"Secret, Top Secret",Medium,,,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,,,,Northrop Grumman,,,BOA support description,ISSOs; testers; DevOps engineers; logistics
Business Operations & Analytics,BOA,DoD,Medium,"Secret, Top Secret",Medium,Multi-$M,Services,Roy UT; Hill AFB UT; Colorado Springs CO,“Staff augmentation; BOA”,Insight Global; Apex Systems,Target,,Northrop Grumman,IT Ops,,“Northrop programs supported by Prime TS”,ISSOs; DevOps; testers; logistics analysts
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,,TS/SCI,High,$5B,,Colorado Springs; Huntsville AL,“MDA; C2BMC; BMC3; missile defense”,SAIC; Northrop,,,Lockheed Martin,,,Multiple BD docs referencing C2BMC,Software engineers; missile defense integrators; C2 / BMC3 engineers
C2BMC (placeholder row),C2BMC,Other,,,High,,,,Missile; BMDS; MDA,,,,,Weapon Systems,,User knowledge list,
CAAC (Peraton),CAAC,DoD,🟡 Medium,Secret,Medium,,Program,Secret,IT Ops,,None,,Peraton,Professional Services,,Medium,“CAAC-PERATON”
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,,"Secret, TS/SCI",Medium,$446M,,Worldwide SATCOM tracking stations,“SATCOM O&M”,L3Harris; LinQuest (indicative),,,CACI,,,Program line in sheet,RF techs; schedulers; network ops; SATCOM operators
Castle Net (Recompete),Castle Net,DoD,,Secret,Medium,,,,“Recompete list”,,,,,,,Row entry,IT ops; admins; engineers
CBP Enterprise IT Support,CBP-Peraton,DHS,Medium,"Public Trust, Secret",Medium,,Services,CBP sites nationwide,“Border IT”,,None,,Peraton,IT Ops,,Program line,IT/cyber support staff; network engineers; help desk
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,Medium,"TS/SCI, Top Secret",Medium,,~2020–2026,TS (some SCI),IT Ops / Analytics,,None,,ManTech (TPVS/BISS); CACI (BISS follow-on),Professional Services,,Medium,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,,TS/SCI,Medium,$100M,,DoD secure enclaves,“Advanced AI Tools OTA… deployable to TS/SCI enclaves”,DoD labs; integrators,,,Scale AI,R&D,,Program description,ML engineers; data labeling teams; AI DevOps
CDAO AI Tools OTA (Expanded),Donovan,DoD,Medium,TS/SCI,Medium,$100M,OTA,DoD secure enclaves,“Scale AI… deployable AI tools up to TS/SCI”,,None,"January 1, 2025",Scale AI,R&D,,OTA notes,AI engineers; data labelers; DevOps
CENTCOM Comms Tech Support V,CTSS V,DoD,,"Secret, Top Secret",High,$865M,,20 countries (SW Asia AOR),“CTSS V… 20 countries… high-turnover… AVI-SPL sub usage”,AVI-SPL,,,GovCIO (Salient CRGT),,,CTSS V entry in Top-20,Deployable comms techs; RF engineers; SATCOM; network admins
CENTCOM Enterprise IT Modernization,,DoD,,"Secret, Top Secret",High,$922M,,MacDill AFB; CENTCOM sites OCONUS,“CENTCOM EITM… GDIT… AVI-SPL subs… enterprise modernization”,AVI-SPL; IT staffing partners,,,GDIT,,,Program description,Cloud architects; cyber engineers; legacy IT sustainment
CISA Enterprise Support (CACI),CISA-CACI,DHS,,Secret,Medium,,,NCR,“CISA support”,,,,CACI,Cyber,,Program line,Cybersecurity; IT ops support
Cloud One,Cloud One,Air Force,,Secret,High,$727M,,Hanscom AFB; remote,“AF Cloud migration; Azure/AWS”,,,,SAIC,,,Cloud One value from program intel,Cloud engineers; DevSecOps; cyber
Cloud One (USAF Cloud Program),Cloud One,Air Force,,Secret,High,$727M,,Hanscom AFB; remote,“USAF common multi-cloud environment”,Unnamed subcontractors,,,SAIC,,,Cloud One description,Cloud engineers; DevSecOps
CMMARS (Navy Rapid C5ISR),CMMARS,Navy,Medium,Secret,Medium,,IDIQ,NAVWAR,“Navy rapid C5ISR”,Multiple subs,None,,Multiple,C5ISR,,NAVWAR program entry,Rapid C5ISR engineering; prototyping; integration
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,,Public Trust,Medium,,,CMS,“CMS cloud”,,,,Peraton / SAIC (indicative),,,Row entry,Cloud engineers; cloud ops
CMS FPS2,FPS2,DoD,,Public Trust,Low,,,CMS,“FPS2”,,,,,,,Row entry,DevOps; developers
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,,"Secret, TS/SCI",Medium,,,Colorado Springs; Huntsville,“C2BMC… software/network-centric”,Parsons; Tetra Tech,,,Northrop Grumman,,,Same dataset as earlier rows,SW engineers; network engineers; cyber engineers
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,,"Secret, TS/SCI",Medium,Multi-$B,,Huntsville / Schriever,Global missile defense C2,"Northrop, Raytheon subs",,,Lockheed Martin,,,,"C2 SW, integration"
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Medium,"Secret, TS/SCI",Medium,,R&D,Colorado Springs CO; Huntsville AL,“MDA C2BMC heavily software/network-centric; small biz partners sought”,Parsons; Tetra Tech (support contracts cited),Target,,Northrop Grumman,C5ISR,,“C2BMC program may seek small biz partners; PTS cyber/network relevant”,Software engineers; network engineers; cyber engineers
"Command and Control, Battle Management, Communications",C2BMC,MDA,,"Secret, TS/SCI",Medium,,,Colorado Springs CO; Huntsville AL (indicative),“C2BMC”,,,,Lockheed Martin,,,“C2BMC”,Systems engineers; software development/test; network engineers
Commercial Virtual Remote Collaboration (Legacy) – Secondary Row,CVR,DISA,Medium,Secret,Medium,,2020–2021,IL5/IL6,IT Ops / Cyber,,None,,,Professional Services,,Medium,“CVR… Teams… O365 sunset”
Commercial Virtual Remote Collaboration Support (legacy),CVR,DISA,,Secret,Medium,,,IL5 / IL6,IT Ops / Cyber,,,,,Professional Services,,Medium,"“CVR, Teams, Remote Collaboration, O365 sunset, DOD365”"
