Job Title,Location,Clearance,Program,Match Score,Match Confidence,Job URL,BD Talking Points,Target Contact Titles,LinkedIn Search
SECRET FULL STACK DEVELOPER,"Dahlgren, Virginia",Secret,CMS Enterprise Cloud Infrastructure Services,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-full-stack-developer/job-482086/,"PTS partners with Peraton on critical programs. For CMS Enterprise Cloud Infrastru, we have immediate availability for Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Dahlgren"
SR PROJECT ENGINEER,"Tampa, Florida",Secret,SITEC III – Enterprise Operations & Maintenance,8,Medium,https://insightglobal.com/jobs/find_a_job/florida/tampa/sr-project-engineer/job-478024/,"PTS partners with Peraton on critical programs. For SITEC III – Enterprise Operati, we have immediate availability for Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Tampa"
TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,"Dahlgren, Virginia",Top Secret,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/top-secret-virtualization-storage-engineer/job-480900/,"PTS partners with Peraton on critical programs. For CMS Enterprise Cloud Infrastru, we have immediate availability for Top Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Dahlgren"
SPECIAL EDUCATION PARAPROFESSIONAL,"Salem, Massachusetts",,ARCYBER Information Advantage / Mission Support (general),6,Medium,https://insightglobal.com/jobs/find_a_job/massachusetts/salem/special-education-paraprofessional/job-480530/,"PTS partners with Peraton on critical programs. For ARCYBER Information Advantage , we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Salem"
COPY - TOP SECRET IAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,BICES Defense Intelligence Agency Variant,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/copy-top-secret-iam-architect/job-481890/,"PTS partners with Peraton on critical programs. For BICES Defense Intelligence Age, we have immediate availability for TS/SCI Poly roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Washington"
TOP SECRET ICAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,BICES Defense Intelligence Agency Variant,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-icam-architect/job-481903/,"PTS partners with Peraton on critical programs. For BICES Defense Intelligence Age, we have immediate availability for TS/SCI Poly roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Washington"
POWER PLATFORM DEVELOPER,"Alexandria, Virginia",Secret,Data Center & Cloud Optimization,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/power-platform-developer/job-464764/,"PTS partners with Peraton on critical programs. For Data Center & Cloud Optimizati, we have immediate availability for Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Alexandria"
TOP SECRET AWS ENGINEER,"Vienna, Virginia",Top Secret Poly,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/vienna/top-secret-aws-engineer/job-478414/,"PTS partners with Peraton on critical programs. For CMS Enterprise Cloud Infrastru, we have immediate availability for Top Secret Poly roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Vienna"
DATA ANALYST,"O'fallon, Illinois",Secret,NARSIL – Advanced Research for System Intelligence & Learning,8,Medium,https://insightglobal.com/jobs/find_a_job/illinois/ofallon/data-analyst/job-483603/,"PTS partners with Peraton on critical programs. For NARSIL – Advanced Research for, we have immediate availability for Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND O'fallon"
SENIOR INTEGRATION SPECIALIST,"Manassas, Virginia",Top Secret,Data Center & Cloud Optimization,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/manassas/senior-integration-specialist/job-461572/,"PTS partners with Peraton on critical programs. For Data Center & Cloud Optimizati, we have immediate availability for Top Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Manassas"
SR. SOFTWARE ENGINEER W/ POLYGRAPH,"Sully, Virginia",TS/SCI Poly,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/sully/sr-software-engineer-w-polygraph/job-482180/,"PTS partners with Peraton on critical programs. For CMS Enterprise Cloud Infrastru, we have immediate availability for TS/SCI Poly roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Sully"
SECRET DATABASE ENGINEER,"Herndon, Virginia",Secret,NARSIL – Advanced Research for System Intelligence & Learning,18,High,https://insightglobal.com/jobs/find_a_job/virginia/herndon/secret-database-engineer/job-479699/,"PTS partners with Peraton on critical programs. For NARSIL – Advanced Research for, we have immediate availability for Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Herndon"
SECRET DATACENTER SME,"Suffolk, Virginia",Secret,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-datacenter-sme/job-436233/,"PTS partners with Peraton on critical programs. For CMS Enterprise Cloud Infrastru, we have immediate availability for Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Suffolk"
CBP GCP PLATFORM ENGINEER (MID-LEVEL),"Broad Run, Virginia",Top Secret,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/broad-run/cbp-gcp-platform-engineer-mid-level-/job-449101/,"PTS partners with Peraton on critical programs. For CMS Enterprise Cloud Infrastru, we have immediate availability for Top Secret roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Broad Run"
SIMULATION SYSTEMS ENGINEER II,"Suffolk, Virginia",,NARSIL – Advanced Research for System Intelligence & Learning,11,High,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/simulation-systems-engineer-ii/job-477425/,"PTS partners with Peraton on critical programs. For NARSIL – Advanced Research for, we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Suffolk"
