program_name,acronym,customer_agency,prime_contractor_name,piid,contract_description,total_contract_value,period_of_performance,base_pop,option_pop,recompete_date,period_start,period_end,ultimate_completion,clearance_requirements,key_locations,task_order_locations,functional_locations,performance_location,keywords_signals,subcontractor_count,subawards_total,subawards_count,typical_roles,functional_areas,job_titles,org_hierarchy,task_orders,functional_teams,required_skills,tech_stack,technical_stack,naics_code,naics_description,psc_code,psc_description,contract_vehicle_type,contract_vehicle,using_office,funding_office,total_value,base_and_options,obligated,prime_uei,prime_legal_name,award_date,fiscal_year,date_signed,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,set_aside,bd_priority,confidence_level,pts_involvement,source_evidence,match_confidence,match_score,data_source,enrichment_date,subaward_count
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),47QFCA19F0033,ARCYBER Information Advantage / Mission Support (general),$889M,2019-02-11 to 2024-02-11,,,8/11/2024,2/11/2019,2/11/2024,2/11/2024,"Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret","Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders, FORT GEORGE G MEADE, MARYLAND",“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,,,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541330,Engineering Services,R499,,,Services,GSA FAS AAS FEDSIM (Federal Acquisition Service),,$889M,"$166,965,334.00 ","$487,767,432.14 ",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,12/14/2018,,12/14/2018,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,🟠 High,High,Target,"piid, prime_contractor_name, customer_agency, total_value",High,9,Enriched V4,1/20/2026,
Army “Project Convergence”,,Army,SAIC,W15QKN19F1290,Army “Project Convergence”,,2019-08-28 to 2025-08-29,,,2/28/2026,8/28/2019,8/29/2025,8/29/2025,Top Secret,Secret,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Secret, COLORADO SPRINGS, COLORADO",R&D,,,,“AI/automation experimentation”; “JADC2 exercises”,,“AI/automation experimentation”; “JADC2 exercises”,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541519,Other Computer Related Services,R425,,,,W6QK ACC-PICA (Department of the Army),,"$39,320,458.07 ","$5,510,271.95 ","$39,320,458.07 ",EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",8/28/2019,,8/28/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,CACI,W15QKN15C0049,Army Backbone Infrastructure Modernization – Task Order 2,$3M,2015-05-18 to 2025-06-02,,,12/2/2025,5/18/2015,6/2/2025,6/2/2025,Secret,Secret → TS/SCI,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Secret → TS/SCI, CHANTILLY, VIRGINIA",C5ISR / IT Ops,,,,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541511,Custom Computer Programming Services,D307,,,,W6QK ACC-PICA (Department of the Army),,$3M,"$10,842,183.49 ","$733,720,754.55 ",EPPXR2P9KYU6,"CACI-ISS, LLC",5/15/2015,,5/15/2015,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Army Integrated Battle Command System,IBCS,Army,Northrop Grumman,HQ085621C0003,Army Integrated Battle Command System,$2.7B,2021-03-25 to 2028-12-31,,,6/30/2029,3/25/2021,12/31/2028,12/31/2028,"Secret, Top Secret",Huntsville AL; Fort Sill OK; distributed test ranges,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Huntsville AL; Fort Sill OK; distributed test ranges, CHANDLER, ARIZONA","“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",,,,Systems engineers; radar engineers; C2 software developers; missile integration engineers,,Systems engineers; radar engineers; C2 software developers; missile integration engineers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC13,TRUE,,,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),,$2.7B,"$2,629,667,873.00 ","$2,395,436,919.18 ",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,3/24/2021,,3/24/2021,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,47QFRA19F0011,Army IT Enterprise Mgmt Systems Solution,$880M,2019-05-08 to 2024-04-30,,,10/30/2024,5/8/2019,4/30/2024,4/30/2024,"Public Trust, Secret",Arlington VA; Springfield VA; National Guard sites nationwide,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Arlington VA; Springfield VA; National Guard sites nationwide, ARLINGTON, VIRGINIA","“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",,,,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,Software Development; Network Administration,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,7010,,,,GSA FAS AAS REGION 8 (Federal Acquisition Service),,$880M,"$132,392,495.00 ","$708,253,079.87 ",N3PBJAVNKF61,"CACI, INC. - FEDERAL",5/3/2019,,5/3/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,High,,"piid, prime_contractor_name, customer_agency, total_value",High,3,Enriched V4,1/20/2026,
Army Missile & Space R&D Support (Huntsville),,Army,Dynetics; Northrop teams,F4261098C0001,Army Missile & Space R&D Support (Huntsville),,1997-12-22 to 2025-11-30,,,5/30/2026,12/22/1997,11/30/2025,11/30/2025,Secret,Huntsville AL,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Huntsville AL, ROY, UTAH",“Army Missile & Space R&D… multiple postings (Secret)”,,,,SW engineers; electrical engineers; full-stack developers; test engineers,,SW engineers; electrical engineers; full-stack developers; test engineers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541330,Engineering Services,L014,,,, (),,"$9,497,754,606.48 ","$8,817,585,183.52 ","$9,497,754,606.48 ",TDJLWKKV1GJ3,TRW INC,12/22/1997,,12/22/1997,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Army Next-Gen C2 Prototype,NGC2,Army,Anduril,FA882024FB003,Army Next-Gen C2 Prototype,$100M,2024-09-27 to 2026-03-26,,,9/26/2026,9/27/2024,3/26/2026,3/26/2026,Secret,Fort Irwin test sites,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Fort Irwin test sites, COSTA MESA, CALIFORNIA",“C2 prototype”; data mesh; edge compute,,,,Data mesh engineers; edge app developers; AI/ML integration engineers,,Data mesh engineers; edge app developers; AI/ML integration engineers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC32,TRUE,,,FA8820  SUSTAINMENT SDACP SSC/PKL (Department of the Air Force),,$100M,"$25,375,000.00 ","$19,333,902.53 ",KC3CH2MSK7Q3,"ANDURIL INDUSTRIES, INC.",9/27/2024,,9/27/2024,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,Northrop Grumman,FA821920C0006,Basic Ordering Agreement – Surge Staffing,,2020-09-08 to 2029-03-10,,,9/10/2029,9/8/2020,3/10/2029,3/10/2029,Secret,Roy UT; Colorado Springs CO; Hill AFB UT,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Roy UT; Colorado Springs CO; Hill AFB UT, ROY, UTAH",“General surge & staff augmentation”,,,,ISSOs; DevOps engineers; testers; logistics staff,,ISSOs; DevOps engineers; testers; logistics staff,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],336414,Guided Missile and Space Vehicle Manufacturing,AC24,TRUE,,,FA8219   AFNWC PZBG (Department of the Air Force),,"$10,801,259,923.19 ","$13,293,562,839.00 ","$10,801,259,923.19 ",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,9/8/2020,,9/8/2020,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,GDIT (incumbent pre-MPE),19AQMM18C0185,Battlefield Info Collection & Exploitation System (BICES-X),$5B,2019-06-19 to 2029-08-07,,,2/7/2030,6/19/2019,8/7/2029,8/7/2029,"Secret, TS/SCI",Worldwide coalition networks,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Worldwide coalition networks, SPRINGFIELD, VIRGINIA",“BICES → MPE transition; Capgemini team”,,,,Multilingual service desk; cross-domain IT; coalition network support,,Multilingual service desk; cross-domain IT; coalition network support,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541614,"Process, Physical Distribution, and Logistics Consulting Services",R706,,,,ACQUISITIONS - AQM MOMENTUM (Department of State),,$5B,"$2,075,898,749.00 ","$1,495,085,754.52 ",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",9/5/2018,,9/5/2018,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Low,0,Enriched V4,1/20/2026,
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,Lockheed Martin,W31P4Q20C0023,"C2BMC (Command & Control, Battle Mgmt, Comms)",$5B,2020-04-30 to 2033-09-30,,,3/30/2034,4/30/2020,9/30/2033,9/30/2033,TS/SCI,Colorado Springs; Huntsville AL,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Colorado Springs; Huntsville AL, GRAND PRAIRIE, TEXAS",“MDA; C2BMC; BMC3; missile defense”,,,,Software engineers; missile defense integrators; C2 / BMC3 engineers,,Software engineers; missile defense integrators; C2 / BMC3 engineers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],336414,Guided Missile and Space Vehicle Manufacturing,1410,,,,W6QK ACC-RSA (Department of the Army),,$5B,,"$10,449,280,456.95 ",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,4/30/2020,,4/30/2020,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
