Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,Medium,"Secret, Top Secret",Medium,,AGILE SOFTWARE / CLOUD / DEVSECOPS,San Antonio TX; Colorado Springs CO,"“Platform One,” “Zero Trust,” “DevSecOps”",Kessel Run; SAIC; Deloitte,Target,,USAF (Internal),Cyber,,Included heavily in BD automation datasets,DevSecOps engineers; cloud engineers; CI/CD architects
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,🟠 High,"Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret",High,$889M,Services,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,,Target,,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),Cyber,,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers
Army “Project Convergence”,,Army,,Top Secret,Medium,,,Secret,R&D,,,,SAIC,Professional Services,,Medium,“AI/automation experimentation”; “JADC2 exercises”
Army AESD Enterprise Service Desk,AESD,Army,,Secret,High,$757M,,Fort Liberty NC; Fort Sam Houston TX,“SAIC’s AESD hiring lead”; “PTS leveraged mutual contacts”,PTS (warm contact),,,SAIC,,,“Army AESD – $757M global helpdesk contract (Prime: SAIC)”,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support
Army ALTESS Cloud Hosting,ALTESS,Army,,Secret,Medium,,,Radford VA; Fort Belvoir VA,“Army ERP hosting”; “ALTESS Cloud”,,,,Leidos,,,Repeated ALTESS references in staffing history,Cloud/ERP admins; system administrators; cybersecurity staff
Army AvMC Enterprise IT Support,EITSS,Army,,Secret,High,$404M,,Redstone Arsenal AL,"“Help desk, sys admins, net ops”; “IPTA scaling up 100+ positions at Redstone”","Larger firms as needed (SAIC, Leidos, etc., for surge)",,,IPTA (SDVOSB),,,IPTA AvMC EITSS description,Help desk; sysadmins; network operations; user support; IT ops
Army AvMC Enterprise IT Support Services,EITSS,Army,,Secret,High,$404M,,Redstone Arsenal / Huntsville AL,“IPTA AvMC EITSS… hiring… Huntsville”; “Insight Global posting IT Support Tech”,SAIC / Leidos (minor); local SBs,,,IPTA (SDVOSB),,,IPTA award reference,Help desk; systems & network admin; cyber analyst; asset management
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,,Secret,Medium,$3M,,Secret → TS/SCI,C5ISR / IT Ops,,,,CACI,Professional Services,,Medium,“CACI BIM TO2 Wireless Network Engineer – OCONUS”
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,,Secret,Medium,$3M,,TS/SCI,C5ISR / IT Ops,,,,CACI,Professional Services,,Medium,“CACI BIM TO3 – Network Operations Engineer TS/SCI”
Army Enterprise Service Desk,AESD,Army,,"Public Trust, Secret",High,$757M,,24×7 CONUS call centers; virtual & global remote support,“Global service desk 24×7”; “hundreds of Tier 1–2 agents”,"Large recruiting firms (Insight Global, TEKsystems, etc.)",,,SAIC,,,SAIC AESD references (Top 20 Programs),Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support
Army Enterprise Service Management Framework,AESMF,Army,,Secret,Medium,,,Secret / TS,IT Ops,,,,SAIC,Professional Services,,Medium,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”"
Army Futures Command – Project Convergence,,Army,,Top Secret,Medium,,,Secret,R&D / C5ISR,,,,SAIC (major integrator; autonomy & AI work),Data,,Medium,“AI/autonomy experiments”; “Project Convergence”
Army Integrated Battle Command System,IBCS,Army,,"Secret, Top Secret",High,$2.7B,,Huntsville AL; Fort Sill OK; distributed test ranges,"“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",Lockheed Martin; Raytheon (sensors/missiles); others,,,Northrop Grumman,,,Top 20 DoD Programs,Systems engineers; radar engineers; C2 software developers; missile integration engineers
Army Integrated Battle Command System Support,IBCS,Army,,"Secret, Top Secret",Medium,Multi-$B,,Huntsville AL; White Sands NM; Fort Bliss TX,“Army IBCS… CACI hiring Systems Integration Engineers in Huntsville”,SAIC; Raytheon; Torch; Dynetics,,,Northrop Grumman (prime); CACI (support),,,,Systems Integration; Test; SW Eng
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,,"Public Trust, Secret",High,$880M,,Arlington VA; Springfield VA; National Guard sites nationwide,"“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",MetroStar; Octo; other Agile Dev partners,,,CACI,Cyber,,ITEMSS award and capability description,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support
Army IT Enterprise Solutions – 3 Services,ITES-3S,Army,,Secret,High,$12.1B,,Army / DoD enterprise-wide,“ITES-3S… $12.1B… 135 awardees… sub-heavy work”,Numerous (large & small),,,135 awardees,Cyber,,IDIQ listing in program universe,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services
Army ITES-3S,ITES-3S,Army,High,Secret,High,$12.1B,IDIQ,Army-wide,“Army ITES-3S… primary Army IT services vehicle”,Extensive teaming (large & small),,"January 1, 2018 → January 1, 2027",135 primes,IT Ops,,Same as above (expanded row),Help desk; network ops; cyber analysts; field IT technicians
Army Missile & Space R&D Support (Huntsville),,Army,,Secret,Medium,,,Huntsville AL,“Army Missile & Space R&D… multiple postings (Secret)”,,,,Dynetics; Northrop teams,,,Multiple Huntsville postings referencing Army missile & space roles,SW engineers; electrical engineers; full-stack developers; test engineers
Army Next-Gen C2 Prototype,NGC2,Army,,Secret,Medium,$100M,,Fort Irwin test sites,“C2 prototype”; data mesh; edge compute,Palantir; Striveworks; Govini; Microsoft; RII,,,Anduril,,,Prototype description in user sheet,Data mesh engineers; edge app developers; AI/ML integration engineers
Army Research Lab / Adelphi Labs,ARL,Army,,Secret,Medium,,,Secret,IT Ops / R&D,TEKsystems; Insight Global,,,SAIC,Professional Services,,High,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”
Army Responsive Strategic Sourcing for Services,RS3,Army,,Secret,High,$37.4B,,CONUS/OCONUS,“RS3… 37.4B… 261 primes”,Many subs,,,261 primes,Professional Services,,RS3 reference repeats,C4ISR engineering; IT; logistics
Army RS3 (Expanded PEO EIS Listing),RS3,Army,Medium,Secret,Medium,$37B,IDIQ,U.S. Army CONUS/OCONUS,“RS3 Army Contract Vehicle”; “Belcan contract in Blueprint”,Prime Technical Services (sub),Current,"January 1, 2018 → January 1, 2028","Multiple (Belcan, SAIC, many)",IT Ops,,Vehicle entry in RS3 listing,Engineering services; IT; logistics; training; program support
Army RS3 (Primary Listing),RS3,Army,,Secret,High,$37.4B,,Army & DoD (CONUS/OCONUS),“RS3… $37.4B… 261 primes… broad C4ISR support… teaming heavy”,Broad teaming across primes/subs,,,"261 primes (65 large, 196 small)",Professional Services,,RS3 entry in Top 20 Programs,C4ISR engineers; analysts; IT support; program staff
Army Test & Evaluation Command,ATEC,Army,,Secret,Medium,,,APG / Yuma / other ranges,“ATEC test”; T&E mission,Multiple,,,Multiple,R&D,,listed in sheet,Test engineers; instrumentation support; analysts
ARNG G-2 Intelligence IT Support,,Army,Medium,TS/SCI,Medium,,Services,"Guard intel sites (e.g., Fort Belvoir)",IAE,,None,,SAIC,Cyber,,Peraton,ARCYBER Information Advantage Enterprise
AUSA Modernization Portfolios (aggregate),FVL / LRPF / AMD / NGCV / Network / Soldier,Army,Medium,"Secret, Top Secret",Medium,,PORTFOLIO,Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,CITRA,Multiple,Target,,Multiple primes (see rows),Logistics,,,ASA(ALT) CITRA Enterprise IT Program
AvMC Enterprise IT Support Services,EITSS,Army,,Secret,Medium,,,Secret (assumed),IT Ops,,,,IPTA,Professional Services,,Medium,“PTS placed cleared admins at Redstone”
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,,Secret,Medium,,,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”,Prime Technical Services,,,Northrop Grumman,,,NG BOA supported programs list,ISSOs; DevOps engineers; testers; logistics staff
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,,Secret,Medium,,,Various locations,BOA,Multiple,,,Lockheed Martin,Professional Services,,,Varies
Basic Ordering Agreement (NG BOA),BOA,Other,,Secret,Medium,,,"Roy, UT; Hill AFB; Colorado Springs, CO","Surge Support, Staff Augmentation",Prime Technical Services (sub),,,Northrop Grumman,,,Northrop programs supported by Prime TS,"ISSOs, Testers, DevOps, Logistics"
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,,"Secret, Top Secret",Medium,,,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”; “BOA”,Prime Technical Services,,,Northrop Grumman,,,"“BOA – General surge & staff augmentation – ISSOs, Testers, DevOps, Logistics – Roy, UT / COS / Hill AFB”",ISSOs; testers; DevOps engineers; logistics support staff
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Medium,"Secret, Top Secret",Medium,,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,"“Surge Support, ISSO, Logistics”",Prime TS,None,,Northrop Grumman,IT Ops,,“BOA – general surge and staff augmentation”,ISSOs; testers; DevOps engineers
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,,"Secret, TS/SCI",High,$5B,,Worldwide coalition networks,“BICES → MPE transition; Capgemini team”,Capgemini; various coalition-support subs,,,GDIT (incumbent pre-MPE),,,“MPE contract replacing BICES… Capgemini involvement”,Multilingual service desk; cross-domain IT; coalition network support
Battlefield Information Collection & Exploitation System,BICES,DoD,,TS/SCI,High,,,Norfolk VA; Tampa FL; Doral FL; EU sites,“Coalition intel networks; TS/SCI network engineers”,Insight Global; Apex Systems; TEKsystems,,,GDIT,,,“BICES – PTS filled Senior Network Engineers (Norfolk/Tampa/Doral)”,Senior network engineers; Linux admins; ServiceNow architects
BICES Defense Intelligence Agency Variant,BICES,DIA,,TS/SCI,Medium,$500M,,Offutt AFB; RAF Molesworth,“USSTRATCOM; BICES; coalition networks”,,,,CACI + Leidos + Peraton + SAIC (various subs),Intel,,Prime TS BD Automation Playbook (L200–L220),Network engineers; sysadmins; cyber analysts
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,,"Secret, TS/SCI",High,$881M,,EUCOM / CENTCOM / PACOM nodes,“Coalition IT O&M; CDS”,Leidos; Capgemini,,,GDIT,,,Program lineage notes,Coalition IT O&M; CDS support
BOA (General Staff Augmentation),BOA,Other,High,Secret,High,,BOA,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,,None,,Northrop Grumman,IT Ops,,BOA operations reference,ISSOs; testers; DevOps; logistics
BOA (Northrop Surge),BOA,Other,,"Secret, Top Secret",Medium,,,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,,,,Northrop Grumman,,,BOA support description,ISSOs; testers; DevOps engineers; logistics
Business Operations & Analytics,BOA,DoD,Medium,"Secret, Top Secret",Medium,Multi-$M,Services,Roy UT; Hill AFB UT; Colorado Springs CO,“Staff augmentation; BOA”,Insight Global; Apex Systems,Target,,Northrop Grumman,IT Ops,,“Northrop programs supported by Prime TS”,ISSOs; DevOps; testers; logistics analysts
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,,TS/SCI,High,$5B,,Colorado Springs; Huntsville AL,“MDA; C2BMC; BMC3; missile defense”,SAIC; Northrop,,,Lockheed Martin,,,Multiple BD docs referencing C2BMC,Software engineers; missile defense integrators; C2 / BMC3 engineers
CAAC (Peraton),CAAC,DoD,🟡 Medium,Secret,Medium,,Program,Secret,IT Ops,,None,,Peraton,Professional Services,,Medium,“CAAC-PERATON”
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,,"Secret, TS/SCI",Medium,$446M,,Worldwide SATCOM tracking stations,“SATCOM O&M”,L3Harris; LinQuest (indicative),,,CACI,,,Program line in sheet,RF techs; schedulers; network ops; SATCOM operators
CBP Enterprise IT Support,CBP-Peraton,DHS,Medium,"Public Trust, Secret",Medium,,Services,CBP sites nationwide,“Border IT”,,None,,Peraton,IT Ops,,Program line,IT/cyber support staff; network engineers; help desk
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,Medium,"TS/SCI, Top Secret",Medium,,~2020–2026,TS (some SCI),IT Ops / Analytics,,None,,ManTech (TPVS/BISS); CACI (BISS follow-on),Professional Services,,Medium,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,,TS/SCI,Medium,$100M,,DoD secure enclaves,“Advanced AI Tools OTA… deployable to TS/SCI enclaves”,DoD labs; integrators,,,Scale AI,R&D,,Program description,ML engineers; data labeling teams; AI DevOps
CENTCOM Comms Tech Support V,CTSS V,DoD,,"Secret, Top Secret",High,$865M,,20 countries (SW Asia AOR),“CTSS V… 20 countries… high-turnover… AVI-SPL sub usage”,AVI-SPL,,,GovCIO (Salient CRGT),,,CTSS V entry in Top-20,Deployable comms techs; RF engineers; SATCOM; network admins
CENTCOM Enterprise IT Modernization,,DoD,,"Secret, Top Secret",High,$922M,,MacDill AFB; CENTCOM sites OCONUS,“CENTCOM EITM… GDIT… AVI-SPL subs… enterprise modernization”,AVI-SPL; IT staffing partners,,,GDIT,,,Program description,Cloud architects; cyber engineers; legacy IT sustainment
CISA Enterprise Support (CACI),CISA-CACI,DHS,,Secret,Medium,,,NCR,“CISA support”,,,,CACI,Cyber,,Program line,Cybersecurity; IT ops support
Cloud One,Cloud One,Air Force,,Secret,High,$727M,,Hanscom AFB; remote,“AF Cloud migration; Azure/AWS”,,,,SAIC,,,Cloud One value from program intel,Cloud engineers; DevSecOps; cyber
Cloud One (USAF Cloud Program),Cloud One,Air Force,,Secret,High,$727M,,Hanscom AFB; remote,“USAF common multi-cloud environment”,Unnamed subcontractors,,,SAIC,,,Cloud One description,Cloud engineers; DevSecOps
CMMARS (Navy Rapid C5ISR),CMMARS,Navy,Medium,Secret,Medium,,IDIQ,NAVWAR,“Navy rapid C5ISR”,Multiple subs,None,,Multiple,C5ISR,,NAVWAR program entry,Rapid C5ISR engineering; prototyping; integration
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,,Public Trust,Medium,,,CMS,“CMS cloud”,,,,Peraton / SAIC (indicative),,,Row entry,Cloud engineers; cloud ops
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,,"Secret, TS/SCI",Medium,,,Colorado Springs; Huntsville,“C2BMC… software/network-centric”,Parsons; Tetra Tech,,,Northrop Grumman,,,Same dataset as earlier rows,SW engineers; network engineers; cyber engineers
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,,"Secret, TS/SCI",Medium,Multi-$B,,Huntsville / Schriever,Global missile defense C2,"Northrop, Raytheon subs",,,Lockheed Martin,,,,"C2 SW, integration"
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Medium,"Secret, TS/SCI",Medium,,R&D,Colorado Springs CO; Huntsville AL,“MDA C2BMC heavily software/network-centric; small biz partners sought”,Parsons; Tetra Tech (support contracts cited),Target,,Northrop Grumman,C5ISR,,“C2BMC program may seek small biz partners; PTS cyber/network relevant”,Software engineers; network engineers; cyber engineers
"Command and Control, Battle Management, Communications",C2BMC,MDA,,"Secret, TS/SCI",Medium,,,Colorado Springs CO; Huntsville AL (indicative),“C2BMC”,,,,Lockheed Martin,,,“C2BMC”,Systems engineers; software development/test; network engineers
Common Open Operational Launch Range,COOLR,Space Force,,Secret,Medium,,,Ranges (test ranges),“Launch range C2”,,,,Lockheed Martin (indicative),,,,C2 / Range software engineers
Comms Technical Support V,CTSS V,DoD,,"Secret, Top Secret",High,$865M,,SW Asia AOR + MacDill AFB reach-back,“OCONUS rotations”; “$865M… OCONUS support”,Prior incumbent GDIT; AVI-SPL (A/V),,,GovCIO (Salient CRGT),,,Provided CTSS V details,Deployed comms techs; network eng; IT O&M technicians
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,,"Secret, Top Secret",High,$446M,,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)",“AFSCN Operations… merged three contracts… L3Harris principal subcontractor”,L3Harris; KBR/FTI; LinQuest,,,CACI (via L-3 NSS acquisition),,,CAMMO description as provided,Satellite tracking ops; RF techs; network engineers
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,,"Secret, Top Secret",High,$446M,,Schriever SFB; worldwide tracking,“AFSCN O&M… merged contracts… CACI prime”,L3Harris; KBR; LinQuest,,,CACI,,,CAMMO reference,Satellite controllers; RF techs; network ops
Conventional Prompt Strike,CPS,Army,,"Secret, Top Secret",Medium,Multi-$B,,Fleet & Army strategic sites,“Hypersonic missiles”,Northrop; others,,,Lockheed Martin,Weapon Systems,,,Hypersonic engineers; test engineers; flight test support
CTSS V (Expanded Listing),CTSS V,DoD,,"Secret, Top Secret",High,$865M,,Qatar; Kuwait; Bahrain; Iraq; etc.,“Comprehensive comms & IT O&M across CENTCOM AOR”,AVI-SPL; Trace Systems (likely),,,GovCIO,,,CTSS V narrative,Comms techs; RF; SATCOM; network administrators
Data Center & Cloud Optimization,DCCO,DHS,,"Public Trust, Secret",Medium,,,NCR,“DHS cloud/DC”,Multiple,,,Peraton / Leidos (indicative),,,Row text,Cloud ops; DC ops
DC3 – Defense Cyber Crime Center,DC3,DoD,,TS/SCI,Medium,,,Linthicum MD,“DC3”,,,,Peraton,Cyber,,,Forensics; malware; cyber intel
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,,Secret,Medium,,,TS/SCI,Cyber,,,,Peraton,Cyber,,Medium,“DC3 forensics”
Defense Cyber Crime Center,DC3,DoD,,TS/SCI,Medium,,,Linthicum MD,“DC3”,,,,Peraton,Cyber,,Row text,Digital forensics; malware analysis; cyber investigators
Defense Enclave Services,DES,DoD,,Secret,High,$11.5B,,Fort Belvoir VA (HQ),“PTS is already on DES (Fort Belvoir placements)”,PTS (subcontractor),,,Leidos,,,BD evidence,Systems engineers; IT support; service desk; NOC staff
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,,Secret,High,$11.5B,,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,“DES… Leidos… large IT consolidation; subs incl. NOVA-Diné”,NOVA-Diné; Accenture Federal; AT&T; Thundercat; various SBs,,,Leidos,,,Provided row text,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,High,"Secret, Top Secret",High,$11.5B,IDIQ,Fort Belvoir; multiple 4th Estate bases,“Consolidating 4th Estate networks… PTS placed desktop support at Belvoir”,NOVA-Diné; other tribal small businesses; cleared IT subs,Current,,Leidos,IT Ops,,DES intel lines,Help desk; sysadmin; network/security ops
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,,Secret,High,,,Crystal City VA; remote,“DOD365; Microsoft 365; Flank Speed; cloud migration”,Five Star Technology Solutions,,,Microsoft,Cyber,,CVR/CCPO support references,O365 admins; migration leads; help desk; Teams/Exchange engineers
Defense Enterprise Office Solutions,DEOS,DISA,,"Public Trust, Secret, Top Secret",Low,,,DoD & federal offices CONUS/OCONUS,“DEOS PMO referenced in DISA Hosting & Compute context”,,,,CSRA / Leidos (team),,,Provided notes,O365/Teams engineers; cloud architects; UC engineers; enterprise email support
Defense Health Agency Desktop to Datacenter,D2D,DoD,,Secret,Medium,$4.3B,,San Antonio TX; NCR; Hawaii,"“DHA, D2D, Desktop to Datacenter, GDIT”",Leidos; Perspecta; DHA IT partners,,,GDIT,,,“Top 20 DoD Programs”,Desktop support; help desk; sysadmin; endpoint engineers
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,,"Public Trust, Secret",Medium,$4.3B,,San Antonio TX; Falls Church VA,“DHA; MHS GENESIS; Leidos; Healthcare IT”,Cerner;; Booz Allen Hamilton,,,Leidos,,,BD cross-reference,Healthcare IT engineers; systems analysts; clinical/tech integration roles
Defense Logistics Agency – J6 Enterprise Technology Services,DLA JETS,DoD,Medium,Secret,Medium,,Multi-Year,Secret (indicative),IT Ops,,None,,Multiple (IDIQ pool),Professional Services,,Medium,“DLA JETS”
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,,Secret,Medium,,,Colorado Springs; Fort Meade,“DSCM Satellite”,,,,CACI,,,Row text,SATCOM RF engineers; network engineers
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,,Public Trust,Medium,,,DFAS nationwide,“Finance IT support”,,,,Peraton,,,Row listing,Financial IT; ERP modernization
DFAS Enterprise Support,DFAS-Peraton,DoD,Medium,Public Trust,Medium,,Services,DFAS sites,“Finance IT”,,None,,Peraton,IT Ops,,,Financial systems IT; ERP support
DGFS (RTX),DGFS,DoD,,Secret,Medium,,,Tucson AZ + other sites,“DGFS RTX”,,,,Raytheon (RTX),Weapon Systems,,,Munitions engineers; missile specialists
DHS Cybersecurity Support Contract,,DHS,,Top Secret,Low,,,DC Metro,“He runs 100 people on a DHS DISA I think project”,,,,Five Star Technology Solutions,Cyber,,Provided context,Cybersecurity SMEs; program managers
DHS Data Center 2,DC2,DHS,,"Public Trust, Secret",Medium,,,DC2 sites,“DHS DC2”,Multiple,,,GDIT / Peraton (indicative),,,,DC engineers; ops; cloud
DHS Enterprise IT Services I,EITS I,DHS,,"Public Trust, Secret",Medium,,,DHS HQ,“DHS HQ IT”,Multiple subs,,,Leidos / SAIC (indicative),,,,IT services; enterprise support
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,,TS/SCI,High,,,Offutt AFB NE; Stuttgart Germany,"“BICES-X,” “DIA,” “Offutt,” “TS/SCI”",Peraton; GDIT,,,CACI,C5ISR,,DIA mapping examples,Network engineers; sysadmins; cyber analysts
DIA EMERALD,EMERALD,NGA,,Secret,Medium,,,TS/SCI,Intel,,,,Peraton (Perspecta heritage),Professional Services,,Medium,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”
DIA Information Systems Engineering Office,ISEO,DIA,,TS/SCI,High,$400M,,Reston VA; JBAB DC,“DIA IT Sustainment”,Insight Global; TEKsystems,,,Leidos,,,AI-Generated playbook,Sysadmin; help desk; desktop support
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,,TS/SCI w/ Poly,High,$401M,,JBAB DC; Reston VA,“Leidos secures $401M… manage DIA IT operations”,SHINE Systems + others,,,Leidos,Intel,,Contract award notes,Service desk; data center ops; mobile/IA teams
DIA Infrastructure Services Ops,ISEO,DIA,,TS/SCI,High,$401M,,DIA HQ (DC) + field sites,“DIA ISEO… modernization & O&M… small biz”,SHINE Systems (SB),,,Leidos,,,Award description,Service desk; mobile support; IA & data center
DIA ISEO,ISEO,DIA,,TS/SCI,High,$400M,,Washington DC (Bolling); remote sites,“DIA ISEO – Leidos – TS/SCI IT workforce”,,,,Leidos,,,Line from BD artifacts,IT support; help desk; desktop support
