Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Filter Reason
DOTIE (indicative),DOTIE,DoD,,Public Trust,Medium,,,DOT,“DOT IT”,,,,,,,Row text,IT operations,Inactive keyword in name: indicative
Enterprise Ground Services,EGS,Space Force,Low,TS/SCI,Low,,Services,Peterson SFB / Los Angeles AFB (indicative),“Possible recompete; staffing for cleared ground ops”,,None,,,C5ISR,,Provided text,Ground SW; network ops; Space C2,No prime contractor (incomplete data)
Enterprise Mission Assurance Program Support,EMAPS,Army,,Secret,Medium,,,NCR,“Mission assurance”,,,,,Cyber,,Row text,RMF; cybersecurity; IA analysts,No prime contractor (incomplete data)
FIAR (USMC Financial Audit Readiness),FIAR-USMF,Marines,,Public Trust,Medium,,,NCR,“FIAR”,,,,,Professional Services,,Provided,Audit / IT controls; financial system assessors,No prime contractor (incomplete data)
Fleet Readiness Program (Navy),FRP,Navy,Medium,"Public Trust, Secret",Medium,,MULTI-AWARD,Navy depots,“Fleet readiness”,Multiple,None,"January 1, 2025",Multiple primes,Logistics,,Provided,Logistics analysts; IT support; engineering,Ended in 2025 (last year)
FORGE (OPIR Ground – Missile Warning C2),FORGE,Space Force,High,"Secret, TS/SCI",High,$197M,MULTI-PRIME,Buckley SFB; Aurora CO,“Missile warning ground; OPIR ingest; SBIRS follow-on”,SciTec; LinQuest (indicative),None,"January 1, 2020 → January 1, 2025",Raytheon (MDPAF); BAE (C2),IT Ops,,Provided,Data processing; OPIR ops; cyber; ground segment engineers,Ended in 2025 (last year)
FORGE Ground System,FORGE,Space Force,,"Secret, TS/SCI",Low,,,Aurora CO + distributed ground sites,“Raytheon on M2C2; FORGE ground ops”,Subcontractors for space ground modernization,,,,IT Ops,,Provided,SW engineers; ground systems integrators; cloud engineers,No prime contractor (incomplete data)
FORGE OPIR Ground,FORGE,Space Force,High,"Secret, TS/SCI",High,$197M,MULTI-PRIME,Buckley SFB; Aurora CO,“FORGE… system operational… ingest SBIRS/OPIR”,SciTec; Boecore; others,None,"January 1, 2020 → January 1, 2025",Raytheon (MDPAF); BAE (C2),IT Ops,,Provided,Data fusion; OPIR ops; cyber engineering,Ended in 2025 (last year)
Golden Dome,Golden Dome,DoD,,Secret,Low,,,,“GOLDEN DOME”,,,,,C5ISR,,Provided,C2/IT; mission system support,No prime contractor (incomplete data)
Hemisphere,Hemisphere,DoD,,Secret,Medium,,,,“HEMISPHERE”,,,,,IT Ops,,Row text,IT ops; system support,No prime contractor (incomplete data)
HOPE 2.0 (TENCAP Prototype Engineering),HOPE 2.0,Air Force,High,TS/SCI,High,$928M,Task Order,Colorado Springs CO,“AF TENCAP”; “prototype engineering”; “rapid prototyping”,Raft,Target,"January 1, 2025",SAIC,C5ISR,,OrangeSlices contract note,Project leads; cloud engineers; SW engineer SMEs; network SMEs; test leads,Ended in 2025 (last year)
IMDSC2,IMDSC2,DoD,,Secret,Medium,,,,“IMDSC2”,,,,,C5ISR,,Row text,IT; C2 engineers,No prime contractor (incomplete data)
INSCOM IT Support IV (follow-on),I2TS-4,Army,,TS/SCI,Medium,,,Global,“INSCOM follow-on”,,,,,IT Ops,,Row placeholder,Intel IT staff; deployable support,Inactive keyword in evidence: placeholder
INSITE (indicative),INSITE,DoD,Medium,Secret,Medium,,Program,Secret,IT Ops,,None,,Northrop Grumman (ref),Professional Services,,Medium,“INSITE”,Inactive keyword in name: indicative
Integrated Battle Command System,IBCS,Army,,"Secret, TS/SCI",High,Multi-$B,,Huntsville AL; WSMR; Fort Bliss,“IBCS… multi-billion; software-intensive”,SAIC; Parsons; Raytheon; KBR,,,Northrop Grumman,C5ISR,,Prime past performance & IBCS documentation,Systems engineering; Agile SW; MBSE; Test,Inactive keyword in evidence: past
Integrated Situational Awareness / Cyber Program,inSITE,Air Force,,TS/SCI w/ Poly,High,$250M,,Huntsville AL; Colorado Springs CO,“inSITE; Intel & Cyber Situational Awareness”,SAIC (assumed),,,Northrop Grumman,Cyber,,NGC PP past performance,RMF SMEs; STIG analysts; cyber specialists,Inactive keyword in evidence: past
IRFS-MIES,IRFS-MIES,DoD,,Secret,Medium,,,,“IRFS-MIES”,,,,,IT Ops,,Row,IT operations,No prime contractor (incomplete data)
ISIS (Navy),ISIS (Navy),Navy,,Secret,Medium,,,NAVWAR,“ISIS-Navy”,,,,,C5ISR,,Row,ISR/IT specialists,No prime contractor (incomplete data)
Joint Tactical Ground Station,JTAGS,Army,,"Secret, Top Secret",High,Multi-$M,,Colorado Springs CO; Germany; Redondo Beach CA,“JTAGS – early missile warning (IR satellite)”,Prime TS (sub),,,Northrop Grumman,Weapon Systems,,Prime TS past performance,Tactical SW engineers; SIGINT SMEs,Inactive keyword in evidence: past
Joint Tactical Ground Station System,JTAGS,Army,,"Secret, Top Secret",High,$600M,,Colorado Springs; Germany; Redondo Beach,“JTAGS; missile warning; IR satellite”,Raytheon; Boeing (legacy),,,Northrop Grumman,Weapon Systems,,Past performance documentation,Tactical SW dev; SIGINT analysis,Inactive keyword in evidence: past
MAGIU (Navy/AF),MAGIU,Air Force,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Medium,“MAGIU”,No prime contractor (incomplete data)
MAIMIS (indicative),MAIMIS,Army,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Medium,“MAIMIS”,Inactive keyword in name: indicative
Mark 710 (context unclear),Mark-710,Navy,,Secret,Low,,,,“Mark-710”,,,,,Weapon Systems,,Provided,Weapons techs; assembly,No prime contractor (incomplete data)
Mark-710 (sub-program reference),Mark-710,Navy,Medium,Secret,Medium,,Program,NSWC Crane; NSWC Newport,“Mark-710…”,,None,,,Weapon Systems,,High,Weapon assembly technicians,No prime contractor (incomplete data)
Minuteman III Missile Program,Minuteman III,Air Force,Medium,Secret,Medium,,Program,NSWC Crane; NSWC Newport,“Minuteman 3 missile… mechanical and electronic assembly teams”,,Target,,,Weapon Systems,,Provided,Missile assembly; electronics techs; weapons sustainment,No prime contractor (incomplete data)
MK 48 Torpedo Program,MK 48,Navy,,Secret,Medium,,,NSWC Crane; NSWC Newport,“Mark48 torpedo… mechanical & electronic assembly teams”,,,,,Weapon Systems,,Provided description,Mechanical assembly techs; electronics techs; weapons assembly,No prime contractor (incomplete data)
MK 710 Weapons Program,MK 710,Navy,,Secret,Medium,,,NSWC Crane; NSWC Newport,“Mark48… Mark710… mechanical & electronic build teams”,,,,,Weapon Systems,,Provided,Mechanical/electrical weapons technicians,No prime contractor (incomplete data)
NASA ETIS III,ETIS III,NASA,Medium,,Medium,,Single Award,Goddard MD,“NASA ETIS III… Northrop prime… Peraton sub”,Peraton (major sub),None,"January 1, 2016 → January 1, 2023",Northrop Grumman,IT Ops,,Provided,Test engineers; integration specialists,Ended in 2023 (>1 year ago)
NASA SUSE (indicative),SUSE,NASA,Low,Public Trust,Low,,Program,NASA,“NASA SUSE”,,None,,,IT Ops,,Row text,IT ops; system support,Inactive keyword in name: indicative
Navy Marine Corps Intranet (legacy),NMCI,Navy,,Secret,Medium,,,"Multiple Navy & USMC bases (Norfolk, San Diego, etc.)",“NMCI”; “very large program”; “N Gen supporting NMCI”,TEKsystems; SB IT subs; others,,,HP Enterprise (legacy prime – assumed),IT Ops,,NMCI notes used as context for NGEN-R,Network engineers; helpdesk; desktop support; field service techs,Inactive keyword in name: legacy
NETSS (Recompete),NETSS,DoD,,Secret,Medium,,,,“NETSS”,,,,,IT Ops,,Medium,IT ops,No prime contractor (incomplete data)
Next-Gen Command & Control Prototype,NGC2,Army,Medium,Secret,Medium,$100M,OTA,CONUS (not specified),“Anduril”; “C2 prototype”,,Target,"January 1, 2025",Anduril Industries,C5ISR,,Anduril OTA notes,C2 engineers; integrators; rapid prototype team,Ended in 2025 (last year)
Next-Gen GEO OPIR,NGG-OPIR,Space Force,Medium,TS/SCI,Medium,Multi-$B,SPACE ACQUISITION PROGRAM,Los Angeles; SSC Production,“Missile warning sats”,Northrop (payloads),Target,"January 1, 2018",Lockheed Martin,Space,,Program references,Space systems engineers; payload engineers,Ended in 2018 (>1 year ago)
NGEN (Legacy Reference),NGEN,Navy,,Secret,Medium,$3B,,Quantico; Norfolk,“Predecessor to NGEN-R”,,,,HP; Leidos (legacy primes),IT Ops,,Provided,Service desk; network ops,Inactive keyword in name: legacy
NGI – Next Generation Interceptor,NGI,MDA,High,"Secret, TS/SCI",High,$13B,R&D,Huntsville AL; Promontory UT; test ranges,“Interceptor Development”; “Missile Defense”; “NGI MBSE and propulsion/flight engineers”; GBSD overlap,Raytheon; Aerojet Rocketdyne,Target,"January 1, 2021 → January 1, 2035",Northrop Grumman / Boeing (team),R&D,,NGI past-performance and notebook references,MBSE leads; propulsion/flight engineers; guidance & control engineers; missile systems engineers,Inactive keyword in evidence: past
NIH IAPD (indicative),IAPD,DoD,,Public Trust,Medium,,,NIH (Bethesda + remote),“NIH program”; “IAPD”,,,,,Data,,Row text,Data/IT engineers; analysts; application support,Inactive keyword in name: indicative
NISC (indicative),NISC,DoD,,Public Trust,Medium,,,,“NISC”,,,,,IT Ops,,Row text,IT ops; general IT support,Inactive keyword in name: indicative
NIWC Pacific (placeholder),NIWC PAC,Navy,Low,Secret,Medium,,Program,San Diego CA (NIWC Pac),“NIWC PAC”,,None,,,C5ISR,,Row (no extra detail),C5ISR / IT engineers; RF / network roles,Inactive keyword in name: placeholder
NSST (Navy),NSST,Navy,,Secret,Medium,,,Navy training commands,“NSST”,,,,,C5ISR,,Row text,Trainers; simulator/IT technicians,No prime contractor (incomplete data)
OFAC Payment / Trade Ops Data System,OFAC PTODS,Treasury,Medium,Public Trust,Medium,,FEDERAL SYSTEM,Washington DC,“OFAC system”,,None,,,Data,,Row text,Data engineers; financial systems IT,No prime contractor (incomplete data)
OFAC Payment/Trade Ops Data System (Already normalized),OFAC PTODS,Treasury,Medium,Public Trust,Medium,,SYSTEM,DC,OFAC,,None,,,Data,,Pointer,Data engineering,No prime contractor (incomplete data)
One-T (Recompete),One-T,DoD,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Medium,“One-T Recompete list”,No prime contractor (incomplete data)
POD ARCYBER (Army Cyber Ops),POD ARCYBER,Army,,TS/SCI,Medium,,,Fort Gordon GA,“ARCYBER”,,,,,Cyber,,Row text,Cyber ops; IO,No prime contractor (incomplete data)
REACT (indicative),REACT,DoD,,Secret,Medium,,,Secret,Cyber,,,,,Professional Services,,Low,“REACT”,Inactive keyword in name: indicative
SIPRAFT (indicative),SIPRAFT,DoD,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Low,“SIPRAFT”,Inactive keyword in name: indicative
SLCD / SSLF (indicative),SLCD / SSLF,Army,🟡 Medium,Secret,Medium,,Services,Secret,IT Ops,,None,,SAIC (context),Professional Services,,Medium,“SLCD/SSLF”,Inactive keyword in name: indicative
DIA ISEO (IT Sustainment & Enterprise Ops),,DIA,,,,$400M,,"JB Anacostia-Bolling DC, DIA field offices",,SHINE Systems (routine support),None,,,,,,,No prime contractor (incomplete data)
Sentinel GBSD (Ground-Based Strategic Deterrent),GBSD,Air Force,,,,$13.3B,,"Hill AFB UT, Offutt AFB NE",,"Insight Global, other large staffing firms",Target,,,Weapon Systems,,,,No prime contractor (incomplete data)
DISA GSM-O II (Global Services Management - Operations),,DISA,,,,$6.52B,,"Scott AFB IL, Fort Meade MD, OCONUS network nodes",,Various cleared firms,Past,,,Cyber,,,,PTS Involvement = Past
Army AvMC EITSS (Enterprise IT Support Services),EITSS,Army,,,,$404M,,"Redstone Arsenal AL, AvMC satellite sites",,Multiple subcontractors needed for large requirement,Target,,,IT Ops,,,,No prime contractor (incomplete data)
Army AESD (Enterprise Service Desk),AESD,Army,,,,$757M,,"Fort Gordon GA, Fort Hood TX, Fort Liberty NC, Fort Sam Houston TX",,"Apex, Insight Global, TEKsystems for call center staffing",Target,,,IT Ops,,,,No prime contractor (incomplete data)
USAF 16th Air Force Mission IT Support,,Air Force,,,,$261M,,"Lackland AFB TX, Eglin AFB FL, Tyndall AFB FL, Nellis AFB NV, Hill AFB UT",,Specialty subcontractors for skill gaps,Past,,,Cyber,,,,PTS Involvement = Past
DoD JSP (Joint Service Provider) Pentagon IT & ICAM,JSP,DoD,,,,$190M,,Pentagon Arlington VA,,Small-business subs historically used,None,,,IT,,,,No prime contractor (incomplete data)
JRSS - Joint Regional Security Stacks,JRSS,DoD,,,,,,"Montgomery, Alabama",,,,,,Cyber,,,,No prime contractor (incomplete data)
CANES - Consolidated Afloat Network Enterprise Services,CANES,Navy,,,,,,"Norfolk VA, Sully VA, Mount Vernon VA, Aiea HI, Arlington VA",,,,,,IT,,,,No prime contractor (incomplete data)
AFSIM - Advanced Framework for Simulation Integration & Modeling,AFSIM,Air Force,,,,,,"San Antonio TX, Manassas VA, Tampa FL, Rivanna VA",,,,,,IT,,,,No prime contractor (incomplete data)
NJRSS - Navy Joint Regional Security Stacks,NJRSS,Navy,,,,,,"Montgomery, Alabama",,,,,,Cyber,,,,No prime contractor (incomplete data)
Counter-UAS Program,C-UAS,Army,,,,,,"Huntsville, Alabama",,,,,,Weapon Systems,,,,No prime contractor (incomplete data)
EVMS - Earned Value Management Systems,EVMS,DoD,,,,,,"Herndon, Virginia",,,,,,IT,,,,No prime contractor (incomplete data)
