Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Tech Stack (Basic),Functional Areas (Basic),Job Titles (Basic),Tech Stack (PWS),Labor Categories (PWS),Clearances (PWS),Team Locations (PWS),Functional Areas (PWS),PWS Document Name,PWS Download Status,Signed Date (FPDS),Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),NAICS Code (FPDS),PSC Code (FPDS),FPDS Enrichment Status,Contractor UEI,Contractor POC Names,Contractor POC Titles,Contractor POC Emails,Contractor POC Phones,Entity API Status,Tech Stack (Combined),Functional Areas (Combined),Contract Number (USASpending),Contract Value (USASpending),Contract Description (USASpending),Awarding Agency (USASpending),Match Score,Match Terms,NAICS Description,PSC Description,PSC Category,PSC Area,DoD Portfolio
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,Medium,"Secret, Top Secret",Medium,,AGILE SOFTWARE / CLOUD / DEVSECOPS,San Antonio TX; Colorado Springs CO,"“Platform One,” “Zero Trust,” “DevSecOps”",Kessel Run; SAIC; Deloitte,Target,,USAF (Internal),Cyber,,Included heavily in BD automation datasets,DevSecOps engineers; cloud engineers; CI/CD architects,DevSecOps; AI; cloud; Zero Trust; Platform One; CI/CD,Cloud Services,DevSecOps engineers; cloud engineers; CI/CD architects,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,DevSecOps; AI; cloud; Zero Trust; Platform One; CI/CD,Cloud Services,,,,,,,,,,,
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,🟠 High,"Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret",High,$889M,Services,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,,Target,,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),Cyber,,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,AI,Cybersecurity,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Cybersecurity,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT,GSA,2,arcyber; cyber,,,,,
Army “Project Convergence”,,Army,,Top Secret,Medium,,,Secret,R&D,,,,SAIC,Professional Services,,Medium,“AI/automation experimentation”; “JADC2 exercises”,AI,,“AI/automation experimentation”; “JADC2 exercises”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,,,,,,,,,,,,
Army AESD Enterprise Service Desk,AESD,Army,,Secret,High,$757M,,Fort Liberty NC; Fort Sam Houston TX,“SAIC’s AESD hiring lead”; “PTS leveraged mutual contacts”,PTS (warm contact),,,SAIC,,,“Army AESD – $757M global helpdesk contract (Prime: SAIC)”,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,AI,,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,,,,,,,,,,,,
Army ALTESS Cloud Hosting,ALTESS,Army,,Secret,Medium,,,Radford VA; Fort Belvoir VA,“Army ERP hosting”; “ALTESS Cloud”,,,,Leidos,,,Repeated ALTESS references in staffing history,Cloud/ERP admins; system administrators; cybersecurity staff,cloud; cybersecurity,Cloud Services; IT Operations; Cybersecurity,Cloud/ERP admins; system administrators; cybersecurity staff,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud; cybersecurity,Cloud Services; Cybersecurity; IT Operations,,,,,,,,,,,
Army AvMC Enterprise IT Support,EITSS,Army,,Secret,High,$404M,,Redstone Arsenal AL,"“Help desk, sys admins, net ops”; “IPTA scaling up 100+ positions at Redstone”","Larger firms as needed (SAIC, Leidos, etc., for surge)",,,IPTA (SDVOSB),,,IPTA AvMC EITSS description,Help desk; sysadmins; network operations; user support; IT ops,network,IT Operations,Help desk; sysadmins; network operations; user support; IT ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
Army AvMC Enterprise IT Support Services,EITSS,Army,,Secret,High,$404M,,Redstone Arsenal / Huntsville AL,“IPTA AvMC EITSS… hiring… Huntsville”; “Insight Global posting IT Support Tech”,SAIC / Leidos (minor); local SBs,,,IPTA (SDVOSB),,,IPTA award reference,Help desk; systems & network admin; cyber analyst; asset management,network,IT Operations; Cybersecurity,Help desk; systems & network admin; cyber analyst; asset management,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations; Cybersecurity,,,,,,,,,,,
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,,Secret,Medium,$3M,,Secret → TS/SCI,C5ISR / IT Ops,,,,CACI,Professional Services,,Medium,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,network,Data Analytics; IT Operations,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Data Analytics; IT Operations,GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER,GSA,2,order; task,,,,,
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,,Secret,Medium,$3M,,TS/SCI,C5ISR / IT Ops,,,,CACI,Professional Services,,Medium,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,network,Data Analytics; IT Operations,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Data Analytics; IT Operations,GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER,GSA,2,order; task,,,,,
Army Enterprise Service Desk,AESD,Army,,"Public Trust, Secret",High,$757M,,24×7 CONUS call centers; virtual & global remote support,“Global service desk 24×7”; “hundreds of Tier 1–2 agents”,"Large recruiting firms (Insight Global, TEKsystems, etc.)",,,SAIC,,,SAIC AESD references (Top 20 Programs),Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support,ServiceNow,,Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow,,,,,,,,,,,,
Army Enterprise Service Management Framework,AESMF,Army,,Secret,Medium,,,Secret / TS,IT Ops,,,,SAIC,Professional Services,,Medium,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”",,IT Operations,“AESMF; ITIL; Army; Adelphi/Aberdeen; 24×7”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
Army Futures Command – Project Convergence,,Army,,Top Secret,Medium,,,Secret,R&D / C5ISR,,,,SAIC (major integrator; autonomy & AI work),Data,,Medium,“AI/autonomy experiments”; “Project Convergence”,AI,,“AI/autonomy experiments”; “Project Convergence”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,,,,,,,,,,,,
Army Integrated Battle Command System,IBCS,Army,,"Secret, Top Secret",High,$2.7B,,Huntsville AL; Fort Sill OK; distributed test ranges,"“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",Lockheed Martin; Raytheon (sensors/missiles); others,,,Northrop Grumman,,,Top 20 DoD Programs,Systems engineers; radar engineers; C2 software developers; missile integration engineers,,Software Development; Systems Engineering,Systems engineers; radar engineers; C2 software developers; missile integration engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Systems Engineering,,,,,,,,,,,
Army Integrated Battle Command System Support,IBCS,Army,,"Secret, Top Secret",Medium,Multi-$B,,Huntsville AL; White Sands NM; Fort Bliss TX,“Army IBCS… CACI hiring Systems Integration Engineers in Huntsville”,SAIC; Raytheon; Torch; Dynetics,,,Northrop Grumman (prime); CACI (support),,,,Systems Integration; Test; SW Eng,,Systems Engineering,Systems Integration; Test; SW Eng,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,,"Public Trust, Secret",High,$880M,,Arlington VA; Springfield VA; National Guard sites nationwide,"“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",MetroStar; Octo; other Agile Dev partners,,,CACI,Cyber,,ITEMSS award and capability description,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,AI; cybersecurity; network,Software Development; Cybersecurity,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; cybersecurity; network,Software Development; Cybersecurity,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A,GSA,2,network; enterprise,,,,,
Army IT Enterprise Solutions – 3 Services,ITES-3S,Army,,Secret,High,$12.1B,,Army / DoD enterprise-wide,“ITES-3S… $12.1B… 135 awardees… sub-heavy work”,Numerous (large & small),,,135 awardees,Cyber,,IDIQ listing in program universe,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,cloud,Cloud Services; Software Development; IT Operations; Cybersecurity,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Software Development; Cloud Services; Cybersecurity; IT Operations,,,,,,,,,,,
Army ITES-3S,ITES-3S,Army,High,Secret,High,$12.1B,IDIQ,Army-wide,“Army ITES-3S… primary Army IT services vehicle”,Extensive teaming (large & small),,"January 1, 2018 → January 1, 2027",135 primes,IT Ops,,Same as above (expanded row),Help desk; network ops; cyber analysts; field IT technicians,network,IT Operations; Cybersecurity,Help desk; network ops; cyber analysts; field IT technicians,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations; Cybersecurity,,,,,,,,,,,
Army Missile & Space R&D Support (Huntsville),,Army,,Secret,Medium,,,Huntsville AL,“Army Missile & Space R&D… multiple postings (Secret)”,,,,Dynetics; Northrop teams,,,Multiple Huntsville postings referencing Army missile & space roles,SW engineers; electrical engineers; full-stack developers; test engineers,,,SW engineers; electrical engineers; full-stack developers; test engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Army Next-Gen C2 Prototype,NGC2,Army,,Secret,Medium,$100M,,Fort Irwin test sites,“C2 prototype”; data mesh; edge compute,Palantir; Striveworks; Govini; Microsoft; RII,,,Anduril,,,Prototype description in user sheet,Data mesh engineers; edge app developers; AI/ML integration engineers,AI; ML,Data Analytics; Systems Engineering,Data mesh engineers; edge app developers; AI/ML integration engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; ML,Data Analytics; Systems Engineering,,,,,,,,,,,
Army Research Lab / Adelphi Labs,ARL,Army,,Secret,Medium,,,Secret,IT Ops / R&D,TEKsystems; Insight Global,,,SAIC,Professional Services,,High,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,ServiceNow,IT Operations,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow,IT Operations,W15QKN19F1290,"$39,320,458.07",OPS LABOR,Department of the Army,2,ops; lab,,,,,
Army Responsive Strategic Sourcing for Services,RS3,Army,,Secret,High,$37.4B,,CONUS/OCONUS,“RS3… 37.4B… 261 primes”,Many subs,,,261 primes,Professional Services,,RS3 reference repeats,C4ISR engineering; IT; logistics,,Logistics,C4ISR engineering; IT; logistics,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Logistics,,,,,,,,,,,
Army RS3 (Expanded PEO EIS Listing),RS3,Army,Medium,Secret,Medium,$37B,IDIQ,U.S. Army CONUS/OCONUS,“RS3 Army Contract Vehicle”; “Belcan contract in Blueprint”,Prime Technical Services (sub),Current,"January 1, 2018 → January 1, 2028","Multiple (Belcan, SAIC, many)",IT Ops,,Vehicle entry in RS3 listing,Engineering services; IT; logistics; training; program support,AI,Logistics,Engineering services; IT; logistics; training; program support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Logistics,,,,,,,,,,,
Army RS3 (Primary Listing),RS3,Army,,Secret,High,$37.4B,,Army & DoD (CONUS/OCONUS),“RS3… $37.4B… 261 primes… broad C4ISR support… teaming heavy”,Broad teaming across primes/subs,,,"261 primes (65 large, 196 small)",Professional Services,,RS3 entry in Top 20 Programs,C4ISR engineers; analysts; IT support; program staff,,,C4ISR engineers; analysts; IT support; program staff,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Army Test & Evaluation Command,ATEC,Army,,Secret,Medium,,,APG / Yuma / other ranges,“ATEC test”; T&E mission,Multiple,,,Multiple,R&D,,listed in sheet,Test engineers; instrumentation support; analysts,,,Test engineers; instrumentation support; analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
ARNG G-2 Intelligence IT Support,,Army,Medium,TS/SCI,Medium,,Services,"Guard intel sites (e.g., Fort Belvoir)",IAE,,None,,SAIC,Cyber,,Peraton,ARCYBER Information Advantage Enterprise,,Cybersecurity,ARCYBER Information Advantage Enterprise,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
AUSA Modernization Portfolios (aggregate),FVL / LRPF / AMD / NGCV / Network / Soldier,Army,Medium,"Secret, Top Secret",Medium,,PORTFOLIO,Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,CITRA,Multiple,Target,,Multiple primes (see rows),Logistics,,,ASA(ALT) CITRA Enterprise IT Program,,,ASA(ALT) CITRA Enterprise IT Program,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
AvMC Enterprise IT Support Services,EITSS,Army,,Secret,Medium,,,Secret (assumed),IT Ops,,,,IPTA,Professional Services,,Medium,“PTS placed cleared admins at Redstone”,,IT Operations,“PTS placed cleared admins at Redstone”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,,Secret,Medium,,,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”,Prime Technical Services,,,Northrop Grumman,,,NG BOA supported programs list,ISSOs; DevOps engineers; testers; logistics staff,,Software Development; Logistics; Cybersecurity,ISSOs; DevOps engineers; testers; logistics staff,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Logistics; Cybersecurity,,,,,,,,,,,
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,,Secret,Medium,,,Various locations,BOA,Multiple,,,Lockheed Martin,Professional Services,,,Varies,,,Varies,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Basic Ordering Agreement (NG BOA),BOA,Other,,Secret,Medium,,,"Roy, UT; Hill AFB; Colorado Springs, CO","Surge Support, Staff Augmentation",Prime Technical Services (sub),,,Northrop Grumman,,,Northrop programs supported by Prime TS,"ISSOs, Testers, DevOps, Logistics",,Software Development; Logistics; Cybersecurity,ISSOs; Testers; DevOps; Logistics,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Logistics; Cybersecurity,,,,,,,,,,,
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,,"Secret, Top Secret",Medium,,,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”; “BOA”,Prime Technical Services,,,Northrop Grumman,,,"“BOA – General surge & staff augmentation – ISSOs, Testers, DevOps, Logistics – Roy, UT / COS / Hill AFB”",ISSOs; testers; DevOps engineers; logistics support staff,,Software Development; Logistics; Cybersecurity,ISSOs; testers; DevOps engineers; logistics support staff,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Logistics; Cybersecurity,,,,,,,,,,,
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Medium,"Secret, Top Secret",Medium,,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,"“Surge Support, ISSO, Logistics”",Prime TS,None,,Northrop Grumman,IT Ops,,“BOA – general surge and staff augmentation”,ISSOs; testers; DevOps engineers,,Software Development; Logistics; Cybersecurity,ISSOs; testers; DevOps engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Logistics; Cybersecurity,,,,,,,,,,,
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,,"Secret, TS/SCI",High,$5B,,Worldwide coalition networks,“BICES → MPE transition; Capgemini team”,Capgemini; various coalition-support subs,,,GDIT (incumbent pre-MPE),,,“MPE contract replacing BICES… Capgemini involvement”,Multilingual service desk; cross-domain IT; coalition network support,AI; network,Data Analytics,Multilingual service desk; cross-domain IT; coalition network support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; network,Data Analytics,,,,,,,,,,,
Battlefield Information Collection & Exploitation System,BICES,DoD,,TS/SCI,High,,,Norfolk VA; Tampa FL; Doral FL; EU sites,“Coalition intel networks; TS/SCI network engineers”,Insight Global; Apex Systems; TEKsystems,,,GDIT,,,“BICES – PTS filled Senior Network Engineers (Norfolk/Tampa/Doral)”,Senior network engineers; Linux admins; ServiceNow architects,ServiceNow; network,,Senior network engineers; Linux admins; ServiceNow architects,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow; network,,,,,,,,,,,,
BICES Defense Intelligence Agency Variant,BICES,DIA,,TS/SCI,Medium,$500M,,Offutt AFB; RAF Molesworth,“USSTRATCOM; BICES; coalition networks”,,,,CACI + Leidos + Peraton + SAIC (various subs),Intel,,Prime TS BD Automation Playbook (L200–L220),Network engineers; sysadmins; cyber analysts,network,Data Analytics; Cybersecurity,Network engineers; sysadmins; cyber analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Data Analytics; Cybersecurity,,,,,,,,,,,
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,,"Secret, TS/SCI",High,$881M,,EUCOM / CENTCOM / PACOM nodes,“Coalition IT O&M; CDS”,Leidos; Capgemini,,,GDIT,,,Program lineage notes,Coalition IT O&M; CDS support,,Data Analytics,Coalition IT O&M; CDS support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
BOA (General Staff Augmentation),BOA,Other,High,Secret,High,,BOA,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,,None,,Northrop Grumman,IT Ops,,BOA operations reference,ISSOs; testers; DevOps; logistics,,Software Development; Logistics; Cybersecurity,ISSOs; testers; DevOps; logistics,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Logistics; Cybersecurity,,,,,,,,,,,
BOA (Northrop Surge),BOA,Other,,"Secret, Top Secret",Medium,,,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,,,,Northrop Grumman,,,BOA support description,ISSOs; testers; DevOps engineers; logistics,,Software Development; Logistics; Cybersecurity,ISSOs; testers; DevOps engineers; logistics,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Logistics; Cybersecurity,,,,,,,,,,,
