Priority,Job Title,Program,Prime,Location,Clearance,Match Score,Personalized Intro,Value Proposition,Objection: Process,Objection: Send Email,Objection: Vendor List,HUMINT Questions,Follow-up Action,Job URL
HIGH,SECRET SOFTWARE ENGINEER,"EDIS – Engineering, Development, Integration & Sus",SAIC,"Colorado Springs, Colorado",Top Secret,14,"Hi [Name], I'm reaching out because I noticed you're supporting EDIS – Engineering, Development, Integra. PTS specializes in placing Top Secret talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SECRET SOFTWARE ENGINEER,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-software-engineer/job-483792/
HIGH,JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,SPICE (Space Payload Integration & Cyber Eng),SAIC / LinQuest (indicative),"Hill AFB, Utah",Secret,14,"Hi [Name], I'm reaching out because I noticed you're supporting SPICE (Space Payload Integration & Cyber. PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Hill AFB with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,https://insightglobal.com/jobs/find_a_job/utah/hill-afb/junior-nuclear-hardness-electrical-engineer/job-479258/
HIGH,CLEARED GNC SR. PRINCIPAL ENGINEER,Hypersonic & Ballistic Tracking Space Sensor,Northrop & L3Harris (co-primes,"Chandler, Arizona",,14,"Hi [Name], I'm reaching out because I noticed you're supporting Hypersonic & Ballistic Tracking Space Se. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Chandler with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for CLEARED GNC SR. PRINCIPAL ENGINEER,https://insightglobal.com/jobs/find_a_job/arizona/chandler/cleared-gnc-sr-principal-engineer/job-426530/
HIGH,VERIFICATION & VALIDATION ENGINEER,Next-Generation Overhead Persistent Infrared,Northrop Grumman,"El Segundo, California",TS/SCI,13,"Hi [Name], I'm reaching out because I noticed you're supporting Next-Generation Overhead Persistent Infr. PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in El Segundo with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for VERIFICATION & VALIDATION ENGINEER,https://insightglobal.com/jobs/find_a_job/california/el-segundo/verification-validation-engineer/job-479791/
HIGH,Security Control Assessor,Army IT Enterprise Mgmt Systems Solution,CACI,"Arlington, VA",,12,"Hi [Name], I'm reaching out because I noticed you're supporting Army IT Enterprise Mgmt Systems Solution. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Arlington with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Security Control Assessor,https://www.apexsystems.com/job/3013125_usa/security-control-assessor
HIGH,Sr Systems Administrator,Integrated Base Defense Security System,Leidos,"Reston, VA",,12,"Hi [Name], I'm reaching out because I noticed you're supporting Integrated Base Defense Security System. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Reston with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Sr Systems Administrator,https://www.apexsystems.com/job/3015532_usa/sr-systems-administrator
HIGH,Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),Peraton ARCYBER Information Advantage Enterprise,Peraton,"Fort George G Meade, MD",,12,"Hi [Name], I'm reaching out because I noticed you're supporting Peraton ARCYBER Information Advantage En. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Fort George G Meade with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),https://www.apexsystems.com/job/3018220_usa/cyber-security-watch-officer-lcat-1-weekday-night-monday---thursday-9pm---7am
HIGH,Tier 1 Network Monitor,Distributed Common Ground System (AF),BAE; multiple,"Hampton, VA",,12,"Hi [Name], I'm reaching out because I noticed you're supporting Distributed Common Ground System (AF). PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Hampton with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Tier 1 Network Monitor,https://www.apexsystems.com/job/3018477_usa/tier-1-network-monitor
HIGH,Software Developer,GRASP (Raytheon/Peraton),Peraton,"North Charleston, SC",,12,"Hi [Name], I'm reaching out because I noticed you're supporting GRASP (Raytheon/Peraton). PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in North Charleston with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Software Developer,https://www.apexsystems.com/job/3018277_usa/software-developer
HIGH,(VMS) Guidance Navigation &amp; Control Engineer,MDA Tactical Embedded Systems,Northrop Grumman,"Chandler, AZ",Top Secret clearance required,12,"Hi [Name], I'm reaching out because I noticed you're supporting MDA Tactical Embedded Systems. PTS specializes in placing Top Secret clearance required talent for programs exactly like this.","We have bench candidates in Chandler with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for (VMS) Guidance Navigation &amp; Control Engineer,https://www.apexsystems.com/job/3017935_usa/vms-guidance-navigation--control-engineer
HIGH,Install Specialist / IT Certified Professional,Project Convergence (JADC2 Experiments),SAIC,"Charlottesville, VA",TS/SCI Clearance level,12,"Hi [Name], I'm reaching out because I noticed you're supporting Project Convergence (JADC2 Experiments). PTS specializes in placing TS/SCI Clearance level talent for programs exactly like this.","We have bench candidates in Charlottesville with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Install Specialist / IT Certified Professional,https://www.apexsystems.com/job/3009673_usa/install-specialist--it-certified-professional
HIGH,Sr Network Engineer,Integrated Base Defense Security System,Leidos,"Reston, VA",,12,"Hi [Name], I'm reaching out because I noticed you're supporting Integrated Base Defense Security System. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Reston with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Sr Network Engineer,https://www.apexsystems.com/job/3013828_usa/sr-network-engineer
HIGH,IT System Engineer,Navy Aegis Combat System Modernization,Lockheed Martin,"Fort Worth, TX",,12,"Hi [Name], I'm reaching out because I noticed you're supporting Navy Aegis Combat System Modernization. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Fort Worth with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for IT System Engineer,https://www.apexsystems.com/job/3013253_usa/it-system-engineer
HIGH,MECHANICAL ENGINEER - SECRET CLEARANCE,Ground-Based Midcourse Defense,Boeing (prime); Northrop & Ray,"Huntsville, Alabama",Secret,12,"Hi [Name], I'm reaching out because I noticed you're supporting Ground-Based Midcourse Defense. PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Huntsville with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for MECHANICAL ENGINEER - SECRET CLEARANCE,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/mechanical-engineer-secret-clearance/job-478353/
HIGH,FIELD ENGINEER (CENTRAL US),GRASP (Raytheon/Peraton),Peraton,"Salt Lake City, Utah",,12,"Hi [Name], I'm reaching out because I noticed you're supporting GRASP (Raytheon/Peraton). PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Salt Lake City with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for FIELD ENGINEER (CENTRAL US),https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/field-engineer-central-us-/job-480738/
HIGH,BUYER'S TECHNICAL WRITER - SECRET,Army Enterprise Service Management Framework,SAIC,"Colorado Springs, Colorado",Secret,12,"Hi [Name], I'm reaching out because I noticed you're supporting Army Enterprise Service Management Frame. PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for BUYER'S TECHNICAL WRITER - SECRET,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/buyers-technical-writer-secret/job-483609/
HIGH,SECRET SENIOR ELASTIC ENGINEER,Advanced Battle Management System,Multi (SAIC supports parts),"Colorado Springs, Colorado",Top Secret,12,"Hi [Name], I'm reaching out because I noticed you're supporting Advanced Battle Management System. PTS specializes in placing Top Secret talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SECRET SENIOR ELASTIC ENGINEER,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-senior-elastic-engineer/job-483170/
