Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Start Date (Tango),Current End Date (Tango),Ultimate End Date (Tango),Base + Options Value (Tango),Total Obligated (Tango),Performance Location (Tango),Tango NAICS Code,Tango PSC Code,Recipient UEI (Tango),Recipient Name (Tango),Awarding Office (Tango),Set Aside (Tango),Contract Signed Date (Tango),NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,Medium,"Secret, Top Secret",Medium,nan,AGILE SOFTWARE / CLOUD / DEVSECOPS,San Antonio TX; Colorado Springs CO,"“Platform One,” “Zero Trust,” “DevSecOps”",Kessel Run; SAIC; Deloitte,Target,nan,USAF (Internal),Cyber,nan,Included heavily in BD automation datasets,DevSecOps engineers; cloud engineers; CI/CD architects,nan,nan,nan,nan,Cybersecurity,,DevSecOps engineers; cloud engineers; CI/CD architects,,,,,,,,,,,,,,,,,,,,,,No Match
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,🟠 High,"Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret",High,$889M,Services,"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",“ARCYBER”; “Information Advantage Enterprise”; $889M services; cyber/EW/IO mission support,nan,Target,nan,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),Cyber,nan,nan,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,47QFCA19F0033,ARCYBER,High,9.0,,,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,2019-02-11,2024-02-11,2024-02-11,"$166,965,334.00","$487,767,432.14","FORT GEORGE G MEADE, MARYLAND",541330,R499,CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2018-12-14,Engineering Services,,,,,,,,No Match
Army “Project Convergence”,nan,Army,nan,Top Secret,Medium,nan,nan,Secret,R&D,nan,nan,nan,SAIC,Professional Services,nan,Medium,“AI/automation experimentation”; “JADC2 exercises”,W15QKN19F1290,nan,Medium,1.0,,,“AI/automation experimentation”; “JADC2 exercises”,2019-08-28,2025-08-29,2025-08-29,"$5,510,271.95","$39,320,458.07","COLORADO SPRINGS, COLORADO",541519,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",W6QK ACC-PICA (Department of the Army),None,2019-08-28,Other Computer Related Services,,,,,,,,No Match
Army AESD Enterprise Service Desk,AESD,Army,nan,Secret,High,$757M,nan,Fort Liberty NC; Fort Sam Houston TX,“SAIC’s AESD hiring lead”; “PTS leveraged mutual contacts”,PTS (warm contact),nan,nan,SAIC,nan,nan,“Army AESD – $757M global helpdesk contract (Prime: SAIC)”,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,FA877319FA023,AESD,Medium,1.0,AI/ML,,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
Army ALTESS Cloud Hosting,ALTESS,Army,nan,Secret,Medium,nan,nan,Radford VA; Fort Belvoir VA,“Army ERP hosting”; “ALTESS Cloud”,nan,nan,nan,Leidos,nan,nan,Repeated ALTESS references in staffing history,Cloud/ERP admins; system administrators; cybersecurity staff,HHSN261200800001E,ALTESS,Low,0.0,Cloud,,Cloud/ERP admins; system administrators; cybersecurity staff,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
Army AvMC Enterprise IT Support,EITSS,Army,nan,Secret,High,$404M,nan,Redstone Arsenal AL,"“Help desk, sys admins, net ops”; “IPTA scaling up 100+ positions at Redstone”","Larger firms as needed (SAIC, Leidos, etc., for surge)",nan,nan,IPTA (SDVOSB),nan,nan,IPTA AvMC EITSS description,Help desk; sysadmins; network operations; user support; IT ops,nan,nan,nan,nan,,IT Operations,Help desk; sysadmins; network operations; user support; IT ops,,,,,,,,,,,,,,,,,,,,,,No Match
Army AvMC Enterprise IT Support Services,EITSS,Army,nan,Secret,High,$404M,nan,Redstone Arsenal / Huntsville AL,“IPTA AvMC EITSS… hiring… Huntsville”; “Insight Global posting IT Support Tech”,SAIC / Leidos (minor); local SBs,nan,nan,IPTA (SDVOSB),nan,nan,IPTA award reference,Help desk; systems & network admin; cyber analyst; asset management,nan,nan,nan,nan,,IT Operations,Help desk; systems & network admin; cyber analyst; asset management,,,,,,,,,,,,,,,,,,,,,,No Match
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,nan,Secret,Medium,$3M,nan,Secret → TS/SCI,C5ISR / IT Ops,nan,nan,nan,CACI,Professional Services,nan,Medium,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,W15QKN15C0049,BIM TO2,Medium,2.0,,,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,nan,Secret,Medium,$3M,nan,TS/SCI,C5ISR / IT Ops,nan,nan,nan,CACI,Professional Services,nan,Medium,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,W15QKN15C0049,BIM TO3,Medium,2.0,,,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
Army Enterprise Service Desk,AESD,Army,nan,"Public Trust, Secret",High,$757M,nan,24×7 CONUS call centers; virtual & global remote support,“Global service desk 24×7”; “hundreds of Tier 1–2 agents”,"Large recruiting firms (Insight Global, TEKsystems, etc.)",nan,nan,SAIC,nan,nan,SAIC AESD references (Top 20 Programs),Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support,FA877319FA023,AESD,Medium,1.0,,,Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
Army Enterprise Service Management Framework,AESMF,Army,nan,Secret,Medium,nan,nan,Secret / TS,IT Ops,nan,nan,nan,SAIC,Professional Services,nan,Medium,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”",W15QKN19F1290,AESMF,Medium,2.0,,,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”",2019-08-28,2025-08-29,2025-08-29,"$5,510,271.95","$39,320,458.07","COLORADO SPRINGS, COLORADO",541519,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",W6QK ACC-PICA (Department of the Army),None,2019-08-28,Other Computer Related Services,,,,,,,,No Match
Army Futures Command – Project Convergence,nan,Army,nan,Top Secret,Medium,nan,nan,Secret,R&D / C5ISR,nan,nan,nan,SAIC (major integrator; autonomy & AI work),Data,nan,Medium,“AI/autonomy experiments”; “Project Convergence”,W15QKN19F1290,nan,Medium,1.0,,,“AI/autonomy experiments”; “Project Convergence”,2019-08-28,2025-08-29,2025-08-29,"$5,510,271.95","$39,320,458.07","COLORADO SPRINGS, COLORADO",541519,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",W6QK ACC-PICA (Department of the Army),None,2019-08-28,Other Computer Related Services,,,,,,,,No Match
Army Integrated Battle Command System,IBCS,Army,nan,"Secret, Top Secret",High,$2.7B,nan,Huntsville AL; Fort Sill OK; distributed test ranges,"“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",Lockheed Martin; Raytheon (sensors/missiles); others,nan,nan,Northrop Grumman,nan,nan,Top 20 DoD Programs,Systems engineers; radar engineers; C2 software developers; missile integration engineers,HQ085621C0003,IBCS,Medium,2.0,,,Systems engineers; radar engineers; C2 software developers; missile integration engineers,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
Army Integrated Battle Command System Support,IBCS,Army,nan,"Secret, Top Secret",Medium,Multi-$B,nan,Huntsville AL; White Sands NM; Fort Bliss TX,“Army IBCS… CACI hiring Systems Integration Engineers in Huntsville”,SAIC; Raytheon; Torch; Dynetics,nan,nan,Northrop Grumman (prime); CACI (support),nan,nan,nan,Systems Integration; Test; SW Eng,W15QKN15C0049,IBCS,High,3.0,,,Systems Integration; Test; SW Eng,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,nan,"Public Trust, Secret",High,$880M,nan,Arlington VA; Springfield VA; National Guard sites nationwide,"“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",MetroStar; Octo; other Agile Dev partners,nan,nan,CACI,Cyber,nan,ITEMSS award and capability description,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,47QFRA19F0011,ITEMSS,High,3.0,,Software Development; Network Administration,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,2019-05-08,2024-04-30,2024-04-30,"$132,392,495.00","$708,253,079.87","ARLINGTON, VIRGINIA",541512,7010,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2019-05-03,Computer Systems Design Services,,,,,,,,No Match
Army IT Enterprise Solutions – 3 Services,ITES-3S,Army,nan,Secret,High,$12.1B,nan,Army / DoD enterprise-wide,“ITES-3S… $12.1B… 135 awardees… sub-heavy work”,Numerous (large & small),nan,nan,135 awardees,Cyber,nan,IDIQ listing in program universe,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,nan,nan,nan,nan,,,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,,,,,,,,,,,,,,,,,,,,,,No Match
Army ITES-3S,ITES-3S,Army,High,Secret,High,$12.1B,IDIQ,Army-wide,“Army ITES-3S… primary Army IT services vehicle”,Extensive teaming (large & small),nan,"January 1, 2018 → January 1, 2027",135 primes,IT Ops,nan,Same as above (expanded row),Help desk; network ops; cyber analysts; field IT technicians,nan,nan,nan,nan,,,Help desk; network ops; cyber analysts; field IT technicians,,,,,,,,,,,,,,,,,,,,,,No Match
Army Missile & Space R&D Support (Huntsville),nan,Army,nan,Secret,Medium,nan,nan,Huntsville AL,“Army Missile & Space R&D… multiple postings (Secret)”,nan,nan,nan,Dynetics; Northrop teams,nan,nan,Multiple Huntsville postings referencing Army missile & space roles,SW engineers; electrical engineers; full-stack developers; test engineers,F4261098C0001,nan,Medium,2.0,,,SW engineers; electrical engineers; full-stack developers; test engineers,1997-12-22,2025-11-30,2025-11-30,"$8,817,585,183.52","$9,497,754,606.48","ROY, UTAH",541330,L014,TDJLWKKV1GJ3,TRW INC, (),NONE,1997-12-22,Engineering Services,,,,,,,,No Match
Army Next-Gen C2 Prototype,NGC2,Army,nan,Secret,Medium,$100M,nan,Fort Irwin test sites,“C2 prototype”; data mesh; edge compute,Palantir; Striveworks; Govini; Microsoft; RII,nan,nan,Anduril,nan,nan,Prototype description in user sheet,Data mesh engineers; edge app developers; AI/ML integration engineers,FA882024FB003,NGC2,Medium,1.0,,,Data mesh engineers; edge app developers; AI/ML integration engineers,2024-09-27,2026-03-26,2026-03-26,"$25,375,000.00","$19,333,902.53","COSTA MESA, CALIFORNIA",541715,AC32,KC3CH2MSK7Q3,"ANDURIL INDUSTRIES, INC.",FA8820  SUSTAINMENT SDACP SSC/PKL (Department of the Air Force),None,2024-09-27,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
Army Research Lab / Adelphi Labs,ARL,Army,nan,Secret,Medium,nan,nan,Secret,IT Ops / R&D,TEKsystems; Insight Global,nan,nan,SAIC,Professional Services,nan,High,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,W15QKN19F1290,ARL,High,3.0,,,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,2019-08-28,2025-08-29,2025-08-29,"$5,510,271.95","$39,320,458.07","COLORADO SPRINGS, COLORADO",541519,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",W6QK ACC-PICA (Department of the Army),None,2019-08-28,Other Computer Related Services,,,,,,,,No Match
Army Responsive Strategic Sourcing for Services,RS3,Army,nan,Secret,High,$37.4B,nan,CONUS/OCONUS,“RS3… 37.4B… 261 primes”,Many subs,nan,nan,261 primes,Professional Services,nan,RS3 reference repeats,C4ISR engineering; IT; logistics,nan,nan,nan,nan,,,C4ISR engineering; IT; logistics,,,,,,,,,,,,,,,,,,,,,,No Match
Army RS3 (Expanded PEO EIS Listing),RS3,Army,Medium,Secret,Medium,$37B,IDIQ,U.S. Army CONUS/OCONUS,“RS3 Army Contract Vehicle”; “Belcan contract in Blueprint”,Prime Technical Services (sub),Current,"January 1, 2018 → January 1, 2028","Multiple (Belcan, SAIC, many)",IT Ops,nan,Vehicle entry in RS3 listing,Engineering services; IT; logistics; training; program support,W15QKN19F1290,RS3,Medium,1.0,,,Engineering services; IT; logistics; training; program support,2019-08-28,2025-08-29,2025-08-29,"$5,510,271.95","$39,320,458.07","COLORADO SPRINGS, COLORADO",541519,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",W6QK ACC-PICA (Department of the Army),None,2019-08-28,Other Computer Related Services,,,,,,,,No Match
Army RS3 (Primary Listing),RS3,Army,nan,Secret,High,$37.4B,nan,Army & DoD (CONUS/OCONUS),“RS3… $37.4B… 261 primes… broad C4ISR support… teaming heavy”,Broad teaming across primes/subs,nan,nan,"261 primes (65 large, 196 small)",Professional Services,nan,RS3 entry in Top 20 Programs,C4ISR engineers; analysts; IT support; program staff,nan,nan,nan,nan,,,C4ISR engineers; analysts; IT support; program staff,,,,,,,,,,,,,,,,,,,,,,No Match
Army Test & Evaluation Command,ATEC,Army,nan,Secret,Medium,nan,nan,APG / Yuma / other ranges,“ATEC test”; T&E mission,Multiple,nan,nan,Multiple,R&D,nan,listed in sheet,Test engineers; instrumentation support; analysts,nan,nan,nan,nan,,,Test engineers; instrumentation support; analysts,,,,,,,,,,,,,,,,,,,,,,No Match
ARNG G-2 Intelligence IT Support,nan,Army,Medium,TS/SCI,Medium,nan,Services,"Guard intel sites (e.g., Fort Belvoir)",IAE,nan,nan,nan,SAIC,Cyber,nan,Peraton,ARCYBER Information Advantage Enterprise,W15QKN19F1290,nan,Medium,1.0,,,ARCYBER Information Advantage Enterprise,2019-08-28,2025-08-29,2025-08-29,"$5,510,271.95","$39,320,458.07","COLORADO SPRINGS, COLORADO",541519,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",W6QK ACC-PICA (Department of the Army),None,2019-08-28,Other Computer Related Services,,,,,,,,No Match
AUSA Modernization Portfolios (aggregate),FVL / LRPF / AMD / NGCV / Network / Soldier,Army,Medium,"Secret, Top Secret",Medium,nan,PORTFOLIO,Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,CITRA,Multiple,Target,nan,Multiple primes (see rows),Logistics,nan,nan,ASA(ALT) CITRA Enterprise IT Program,nan,nan,nan,nan,,,ASA(ALT) CITRA Enterprise IT Program,,,,,,,,,,,,,,,,,,,,,,No Match
AvMC Enterprise IT Support Services,EITSS,Army,nan,Secret,Medium,nan,nan,Secret (assumed),IT Ops,nan,nan,nan,IPTA,Professional Services,nan,Medium,“PTS placed cleared admins at Redstone”,nan,nan,nan,nan,,,“PTS placed cleared admins at Redstone”,,,,,,,,,,,,,,,,,,,,,,No Match
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,nan,Secret,Medium,nan,nan,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”,Prime Technical Services,nan,nan,Northrop Grumman,nan,nan,NG BOA supported programs list,ISSOs; DevOps engineers; testers; logistics staff,FA821920C0006,BOA,Medium,1.0,,,ISSOs; DevOps engineers; testers; logistics staff,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
