Job Title,Location,Clearance,Program,Match Score,Match Confidence,Job URL,BD Talking Points,Target Contact Titles,LinkedIn Search
SECRET DEVOPS ENGINEER,"Goose Creek, South Carolina",Secret,Army Enterprise Service Management Framework,8,Medium,https://insightglobal.com/jobs/find_a_job/south-carolina/goose-creek/secret-devops-engineer/job-480693/,"PTS has placed cleared talent with SAIC across multiple programs. For Army Enterprise Service Manage, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Goose Creek"
TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,"Dahlgren, Virginia",Top Secret,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/top-secret-virtualization-storage-engineer/job-480900/,"PTS has placed cleared talent with SAIC across multiple programs. For CMS Enterprise Cloud Infrastru, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Dahlgren"
MAINTENANCE DATA SPECIALIST,"Atlanta, Georgia",,Army Enterprise Service Management Framework,6,Medium,https://insightglobal.com/jobs/find_a_job/georgia/atlanta/maintenance-data-specialist/job-482591/,"PTS has placed cleared talent with SAIC across multiple programs. For Army Enterprise Service Manage, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Atlanta"
"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)","Colorado Springs, Colorado",Top Secret,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,12,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-linux-system-administrator-co-springs-co-/job-476216/,"PTS has placed cleared talent with SAIC across multiple programs. For Air Force Cyber Operations / P, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
TRANSITION TO OPERATIONS ENGINEER,"El Segundo, California",TS/SCI,"EDIS – Engineering, Development, Integration & Sustainment",8,Medium,https://insightglobal.com/jobs/find_a_job/california/el-segundo/transition-to-operations-engineer/job-479796/,"PTS has placed cleared talent with SAIC across multiple programs. For EDIS – Engineering, Developmen, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND El Segundo"
TOP SECRET HARDWARE TECH,"Monroeville, Pennsylvania",Top Secret,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/pennsylvania/monroeville/top-secret-hardware-tech/job-478314/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Monroeville"
SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,"Hill AFB, Utah",Secret,SPICE (Space Payload Integration & Cyber Eng),14,High,https://insightglobal.com/jobs/find_a_job/utah/hill-afb/senior-nuclear-hardness-electrical-engineer/job-470335/,"PTS has placed cleared talent with SAIC across multiple programs. For SPICE (Space Payload Integrati, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Hill AFB"
COPY - TOP SECRET IAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,BICES Defense Intelligence Agency Variant,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/copy-top-secret-iam-architect/job-481890/,"PTS has placed cleared talent with SAIC across multiple programs. For BICES Defense Intelligence Age, we have bench candidates with TS/SCI Poly.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Washington"
"MECHANICAL ENGINEER, PE - DESIGNER","San Antonio, Texas",,Army AESD Enterprise Service Desk,10,High,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/mechanical-engineer-pe-designer/job-479148/,"PTS has placed cleared talent with SAIC across multiple programs. For Army AESD Enterprise Service D, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND San Antonio"
MECHANICAL SYSTEMS ENGINEER,"New London, Connecticut",Secret,"EDIS – Engineering, Development, Integration & Sustainment",11,High,https://insightglobal.com/jobs/find_a_job/connecticut/new-london/mechanical-systems-engineer/job-459815/,"PTS has placed cleared talent with SAIC across multiple programs. For EDIS – Engineering, Developmen, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND New London"
TOP SECRET ICAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,BICES Defense Intelligence Agency Variant,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-icam-architect/job-481903/,"PTS has placed cleared talent with SAIC across multiple programs. For BICES Defense Intelligence Age, we have bench candidates with TS/SCI Poly.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Washington"
TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama",TS/SCI,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455774/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Montgomery"
TOP SECRET RESEARCH PHYSICIST 1,"Washington, District Of Columbia",Top Secret,Advanced Battle Management System,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-research-physicist-1/job-479845/,"PTS has placed cleared talent with SAIC across multiple programs. For Advanced Battle Management Sys, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Washington"
TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama",TS/SCI,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455777/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Montgomery"
TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),"Montgomery, Alabama",TS/SCI,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-day-shift-/job-455721/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Montgomery"
TOP SECRET SOFTWARE ENGINEER,"Washington, District Of Columbia",Top Secret,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-software-engineer/job-480435/,"PTS has placed cleared talent with SAIC across multiple programs. For Air Force Cyber Operations / P, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Washington"
SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),"Montgomery, Alabama",Secret,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-wan-afternoons-/job-456010/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Montgomery"
SCHEDULER,"Colorado Springs, Colorado",TS/SCI,"EDIS – Engineering, Development, Integration & Sustainment",16,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/scheduler/job-479781/,"PTS has placed cleared talent with SAIC across multiple programs. For EDIS – Engineering, Developmen, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
TS/SCI ENGINEERING TECHNICIAN,"San Antonio, Texas",TS/SCI,Army AESD Enterprise Service Desk,10,High,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-engineering-technician/job-478959/,"PTS has placed cleared talent with SAIC across multiple programs. For Army AESD Enterprise Service D, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND San Antonio"
SOFTWARE ENGINEER,"Dayton, Ohio",,Cloud One (USAF Cloud Program),4,Low,https://insightglobal.com/jobs/find_a_job/ohio/dayton/software-engineer/job-483058/,"PTS has placed cleared talent with SAIC across multiple programs. For Cloud One (USAF Cloud Program), we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Dayton"
TS/SCI LOGISTICS SPECIALIST,"San Antonio, Texas",TS/SCI,Army AESD Enterprise Service Desk,12,High,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-logistics-specialist/job-480214/,"PTS has placed cleared talent with SAIC across multiple programs. For Army AESD Enterprise Service D, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND San Antonio"
TOP SECRET SPLUNK ENGINEER,"Vienna, Virginia",Top Secret,Army Enterprise Service Management Framework,8,Medium,https://insightglobal.com/jobs/find_a_job/virginia/vienna/top-secret-splunk-engineer/job-483336/,"PTS has placed cleared talent with SAIC across multiple programs. For Army Enterprise Service Manage, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Vienna"
TOP SECRET AWS ENGINEER,"Vienna, Virginia",Top Secret Poly,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/vienna/top-secret-aws-engineer/job-478414/,"PTS has placed cleared talent with SAIC across multiple programs. For CMS Enterprise Cloud Infrastru, we have bench candidates with Top Secret Poly.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Vienna"
TS/SCI PROGRAM MANAGER,"San Antonio, Texas",TS/SCI,Army AESD Enterprise Service Desk,10,High,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-program-manager/job-479108/,"PTS has placed cleared talent with SAIC across multiple programs. For Army AESD Enterprise Service D, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND San Antonio"
TS/SCI CI POLY SOFTWARE ENGINEER,"Colorado Springs, Colorado",TS/SCI Poly,Army Enterprise Service Management Framework,12,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/ts-sci-ci-poly-software-engineer/job-480203/,"PTS has placed cleared talent with SAIC across multiple programs. For Army Enterprise Service Manage, we have bench candidates with TS/SCI Poly.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS),"Montgomery, Alabama",Secret,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-midnights-/job-479717/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Montgomery"
SOFTWARE ARCHITECT,"Alexandria, Virginia",Secret,Air Force Advanced Battle Management System,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/software-architect/job-477171/,"PTS has placed cleared talent with SAIC across multiple programs. For Air Force Advanced Battle Mana, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Alexandria"
EMBEDDED SOFTWARE ENGINEER,"Broomfield, Colorado",TS/SCI,"EDIS – Engineering, Development, Integration & Sustainment",7,Medium,https://insightglobal.com/jobs/find_a_job/colorado/broomfield/embedded-software-engineer/job-239458/,"PTS has placed cleared talent with SAIC across multiple programs. For EDIS – Engineering, Developmen, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Broomfield"
ISSO- TOP SECRET- ON SITE,"Oakton, Virginia",Top Secret,Air Force Advanced Battle Management System,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/oakton/isso-top-secret-on-site/job-481235/,"PTS has placed cleared talent with SAIC across multiple programs. For Air Force Advanced Battle Mana, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Oakton"
CYBER SECURITY ENGINEER,"Groton, Connecticut",,Army Enterprise Service Management Framework,9,Medium,https://insightglobal.com/jobs/find_a_job/connecticut/groton/cyber-security-engineer/job-481938/,"PTS has placed cleared talent with SAIC across multiple programs. For Army Enterprise Service Manage, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Groton"
TS/SCI PROGRAM ADMINISTRATOR,"San Antonio, Texas",TS/SCI,Army AESD Enterprise Service Desk,10,High,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-program-administrator/job-479672/,"PTS has placed cleared talent with SAIC across multiple programs. For Army AESD Enterprise Service D, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND San Antonio"
"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)","Washington, District Of Columbia",Top Secret,Advanced Battle Management System,7,Medium,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-fsr-analyst-washington-dc-ft-campbell-ky-/job-467119/,"PTS has placed cleared talent with SAIC across multiple programs. For Advanced Battle Management Sys, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Washington"
SYSTEM ADMINISTRATOR II (BIG IP F5),"Montgomery, Alabama",Secret,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/system-administrator-ii-big-ip-f5-/job-468922/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Montgomery"
SECRET CLEARED WINDOWS AND LINUX ADMIN,"Pearl City, Hawaii",Secret,Advanced Battle Management System,6,Medium,https://insightglobal.com/jobs/find_a_job/hawaii/pearl-city/secret-cleared-windows-and-linux-admin/job-478431/,"PTS has placed cleared talent with SAIC across multiple programs. For Advanced Battle Management Sys, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Pearl City"
SR. SOFTWARE ENGINEER W/ POLYGRAPH,"Sully, Virginia",TS/SCI Poly,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/sully/sr-software-engineer-w-polygraph/job-482180/,"PTS has placed cleared talent with SAIC across multiple programs. For CMS Enterprise Cloud Infrastru, we have bench candidates with TS/SCI Poly.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Sully"
TOP SECRET OPERATIONS SUPPORT ENGINEER,"Huntsville, Alabama",Top Secret,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/top-secret-operations-support-engineer/job-459677/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Huntsville"
SECRET DATACENTER SME,"Suffolk, Virginia",Secret,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-datacenter-sme/job-436233/,"PTS has placed cleared talent with SAIC across multiple programs. For CMS Enterprise Cloud Infrastru, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Suffolk"
SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,"Seattle, Washington",Top Secret,"EDIS – Engineering, Development, Integration & Sustainment",6,Medium,https://insightglobal.com/jobs/find_a_job/washington/seattle/senior-mechanical-equipment-tool-engineer/job-350529/,"PTS has placed cleared talent with SAIC across multiple programs. For EDIS – Engineering, Developmen, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Seattle"
SECRET SOFTWARE ENGINEER,"Colorado Springs, Colorado",Top Secret,"EDIS – Engineering, Development, Integration & Sustainment",14,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-software-engineer/job-483792/,"PTS has placed cleared talent with SAIC across multiple programs. For EDIS – Engineering, Developmen, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
CLEARED ELECTRONIC WARFARE ENGINEER,"Manchester, New Hampshire",Top Secret,"EDIS – Engineering, Development, Integration & Sustainment",8,Medium,https://insightglobal.com/jobs/find_a_job/new-hampshire/manchester/cleared-electronic-warfare-engineer/job-314201/,"PTS has placed cleared talent with SAIC across multiple programs. For EDIS – Engineering, Developmen, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Manchester"
CBP GCP PLATFORM ENGINEER (MID-LEVEL),"Broad Run, Virginia",Top Secret,CMS Enterprise Cloud Infrastructure Services,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/broad-run/cbp-gcp-platform-engineer-mid-level-/job-449101/,"PTS has placed cleared talent with SAIC across multiple programs. For CMS Enterprise Cloud Infrastru, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Broad Run"
