program_name,full_name,program_type,parent_organization,agency,mention_count,prime_count,associated_primes,technology_areas,roles_needed,aggregated_summary
AEGIS,AEGIS Combat System,Weapons System,Navy,DoD,76,8,"Amazon Web Services, Jacobs, Leidos, Lockheed Martin, Northrop Grumman, Raytheon, SAIC, ServiceNow","ai_ml, software_dev, systems_engineering, cloud, database","executive, manager, engineer, senior, lead","LMCO re: below ; has 5 teams- -SW configuration -HW configuration -SW PM's -Requirements -Aegis Technical Tooling uses contractors more in the SW PM's, requirements and configuration groups appetite for contract with right to hire after 12 months has used Apex, AFMS, and IG no needs currently, but is in staffing meeting tomorrow for Aegis Guam with potential of 4 heads Follow Up: next week and intro to her staffing manager. LMCO re: below ; went over 5 core products for Aegis and how they intera"
F-35,Joint Strike Fighter Program,Weapons System,Air Force,DoD,63,8,"Booz Allen Hamilton, Deloitte, General Dynamics, Jacobs, Lockheed Martin, Northrop Grumman, Raytheon, Sierra Nevada","ai_ml, software_dev, cybersecurity, database, systems_engineering","manager, senior, executive, lead, engineer, director",Deloitte - FAACE - Had an intro meeting with Jake. Jake is the senior project manager who just won a $153 million 2. 75 year contract supporting the F-35 financial management program. Deloitte - FAACE - Hillary is the point senior manager who just won a $153 million 2. The goal is to get the program launched by the end of the month. LMCO-F-35-Hiring Manager Clint is a hiring manager on F-35 in Orlando. He oversees a team of 23 test engineers. Said that he would not be interested in using our ser
NRO,National Reconnaissance Office,Intelligence Agency,DoD,DoD,63,14,"Accenture Federal, Amazon Web Services, Boeing, Cisco, Deloitte, General Dynamics, Leidos, Microsoft, Northrop Grumman, Perspecta","ai_ml, software_dev, project_management, cybersecurity, database","executive, director, lead, senior, engineer, manager","Arcfield, NRO/OSL Meeting, he's asking for approval to do c2h hires for two internal aerospace roles they've been struggling with. Intro to his procurement vp/director Bobbie over email to follow. Arcfield, NRO/OSL Mission Assurance Support Contract Meeting, PM for Intel program out of Brook Park, Tuan Nguyen is his Technical Lead. Tech deploying Feb-Dec in 26 and needs a replacement. RTX - onsite meeting - Jack is the portfolio director over about 20 programs and $100m. TARPIN, NRO, NSA, NGA, D"
TRANSCOM,Transportation Command,Combatant Command,DoD,DoD,54,5,"Accenture Federal, CACI, Leidos, Palantir, SAIC","ai_ml, database, software_dev","lead, engineer, manager, senior","Palantir - TRANSCOM Monthly reconnect with Scott. He has been super busy, but it has been a good busy. Going to be going home to NC for Thanksgiving. Palantir - TRANSCOM Monthly connect with Scott. He was out at TRANSCOM earlier this week - great meeting with Jordan. Has been very productive working towards the broader initiative. Palantir - TRANSCOM Monthly meeting with Scott. He was sick this week - got sick in the middle of summer. Palantir - Met with Justin and Scott. They were at Scott AFB/"
JWCC,Joint Warfighting Cloud Capability,Contract Vehicle,DoD,DoD,51,16,"Accenture Federal, Amazon Web Services, Boeing, Deloitte, General Dynamics, Jacobs, L3Harris, Lockheed Martin, Microsoft, Oracle","ai_ml, cloud, project_management, database, cybersecurity","manager, executive, director, senior, lead, engineer","Oracle Federal - Met with Scott, he is the Oracle Federal Channel Manager. Super nice guy, lives up in the DC area. Has a couple of friends who went to Villanova and currently teach there so familiar with the Main Line. Microsoft Account Executive - Air Force - Brady does Logistics IT, Enterprise IT and Migrating Cloud out of the data center for the Air Force -He said that JWCC is becoming more and mroe preferred by customers in the airforce and that they are doing more work in that space but it"
DARPA,Defense Advanced Research Projects Agency,Defense Agency,DoD,DoD,47,4,"General Dynamics, Leidos, Northrop Grumman, Perspecta","ai_ml, cybersecurity, systems_engineering, software_dev","manager, senior, executive, director, lead, engineer","Manager - JUSTIFIED In-Person All-Hands Meeting w/ the Following JUSTIFIED Managers: Ryan Rossignol, Peggy Jordan, Lucy Edwards, Corey Martin, Cindy Nusbaum, David Ris, Rich Breeden, Mark Trudel, Michelle Leiner, Pam McComas, Melissa Caldwell, Heather Herron, Sole Kincer, and Cheryl Bornstein. RTP: Lucy Edwards - Working part time with JUSTIFIED now. Program Director - JUSTIFIED In-Person All-Hands Meeting w/ the Following JUSTIFIED Managers: Ryan Rossignol, Peggy Jordan, Lucy Edwards, Corey Mar"
SLS,Space Launch System,Space Program,NASA,NASA,45,5,"Boeing, General Dynamics, Jacobs, L3Harris, Lockheed Martin","ai_ml, systems_engineering, project_management, cybersecurity, software_dev","engineer, executive, director, senior, manager, lead","Meeting with Dana Dunavant - Head of Design Center (Huntsville) - 1/13/2026 RTB - Stayed in for his vacation and went back to his farm. He rebuilt one of the four-wheelers with his son during the break and spent time with his family. RTB - Nasa Budget is coming in Strong DOD Budget is coming in Strong For SLS ""NASA"" needs a more capapble upperstage Boeing has been staying on schedule for most of their programs SLS is looking really good right now and is fully funded for the next 3 years Artemis "
GPS OCX,GPS Next Generation Operational Control,Space Program,Space Force,DoD,40,4,"Booz Allen Hamilton, General Dynamics, Raytheon, SAIC","ai_ml, cybersecurity, systems_engineering, database, software_dev","executive, manager, lead, engineer, senior",SW Andrew - explained how Cory Miller is no longer here and the work we're currently supporting and wanted to connect for an intro - he explained that it would be a waste of both of our times. Said the 2 programs he supports - GPS IIF and GPS OCX aren't allowed to use subcontractors. - GPS IIF is sole sourcing - strictly exclusively working with Actalent (he said for another year and 2 months - basically until the end of 2026) - he said the other program is not allowed to use subcontractors at a
Alliant,Alliant 2 GWAC,Contract Vehicle,GSA,GSA,31,10,"Accenture Federal, Amazon Web Services, CACI, Deloitte, General Dynamics, IBM Federal, Jacobs, Lockheed Martin, Oracle, SAIC","ai_ml, database, cloud, software_dev, networking","lead, engineer, senior, executive, manager, director","Peraton - ARCYBER Dylan Gingrich - Cyber Intelligence Analyst / Lead Next Action Steps: Follow up teams meeting schedule in August, and I'll reach out to George Tan and Bob Bradshaw. RTP: Immediately found out that he's from the town beside my hometown, Palmyra, PA (our rival High School) and we knew a lot of the same people. (He graduated HS in '09) He's 13 hours ahead of so it was 8pm our time and 9am his time Went to Millersville University, a lot of my friends went there Been in Korea since "
SOCOM,Special Operations Command,Combatant Command,DoD,DoD,30,9,"Accenture Federal, CACI, Cisco, Deloitte, General Dynamics, Jacobs, Microsoft, Northrop Grumman, Palantir","cybersecurity, ai_ml, devops, systems_engineering, cloud","senior, engineer, executive, manager, lead, director",Palantir - USG/Enterprise Army/NGC-2 Met with Lee - he is technically off this week but still took the call since he had already rescheduled once. He took the week to take his daughter to Lake Superior and Lake Michigan. He lives in Michigan but travels a good bit all over. Peraton - SITEC 3 Brandon and I met with Daron - lives in Wesley Chaple. On the PMO team in Tampa. They are usually in the office but they were doing some work at the office so he was working from home today. Microsoft - Navy
CENTCOM,Central Command,Combatant Command,DoD,DoD,29,8,"Amentum, CACI, Deloitte, General Dynamics, Jacobs, Microsoft, SAIC, ServiceNow","ai_ml, cloud, software_dev, systems_engineering, cybersecurity","lead, engineer, executive, senior, director","GDIT - CENTCOM, CITS PM over CENTCOM program at MacDill AFB. 14 teaming partners - IG, APEX 6 of those are small business. GDIT - CENTCOM, CITS - Meeting with Jagruti. She leads a group of 20 people. She is Solution Architect lead. GDIT - CENTCOM - Meeting 12/22/25 - 12:30. GDIT - CENTCOM Meeting 12/15/2025 TP: From Pitt, Family lives in Waco now. Going to visit them this week for Christmas. GDIT - HART - Agile Delivery Advisor RTP: Troy was moving into a new house today. Still great weather in "
SeaPort,SeaPort Next Generation,Contract Vehicle,Navy,DoD,29,6,"CACI, DXC Technology, Deloitte, Perspecta, SAIC, Vencore","ai_ml, cybersecurity, cloud, data_analytics","engineer, executive, manager, lead",Deloitte - A4 - finalized dinner plans with Brad for next Wednesday night at AFA. We are getting very close to being brought onto the A4 contract. He has his subcontracts team doing the background check on PrimeTS so we can utilize the SDVOSB spend on this contract. Deloitte - JSF FAACE - Monthly tag-up with Brad. Jevison is doing great work on the FAACE contract. No new movement on growth in that account. CACI IAC MAC Program Manager -there was a IAC MAC awarded in September of last year for 80
Zero Trust,Zero Trust Architecture Initiative,Security Initiative,DoD,DoD,25,9,"BAE Systems, Booz Allen Hamilton, Dell Technologies, General Dynamics, Leidos, Lockheed Martin, Microsoft, Okta, SAIC","cybersecurity, ai_ml, systems_engineering, networking, cloud","engineer, executive, director, lead, manager, senior","Leidos, MCEN: met with Lauren and Jake on tuesday afternoon, not much change in their region since last week. Said that they haven't yet confirmed the Host defense design engineer spot being added, not 100% sure if they are going to need that yet. They did let me know that they will need someone with experience with zero trust architectures, and asked me to review our pipeline for candidates with that experience in case they need them. SSC - Air Force Global Strike Command - Connected with Rich "
CYBERCOM,Cyber Command,Combatant Command,DoD,DoD,25,7,"Accenture Federal, Amazon Web Services, Deloitte, Palantir, Parsons, Perspecta, SAIC","cybersecurity, ai_ml, database, project_management, cloud","executive, director, lead, engineer, manager","BAE- Director- HPC Portfolio- Scheduled meeting with Jeff and Braner, gave him an overview of PT, originally from Maryland area. Walked us through his team (mix of HPC and ""discreet cyber work""), said he's currently fully staffed and doesn't really need support in the area since he's covered but does have need for solutions partners in the small business space. Sounds like they are working to capture the work they are going after, it's mostly HPC/discreet cyber based out of Fort Meade supporting"
DTRA,Defense Threat Reduction Agency,Defense Agency,DoD,DoD,24,6,"Deloitte, Engility, General Dynamics, Leidos, SAIC, VMware","ai_ml, cybersecurity","executive, director, manager, engineer, senior","GDIT - DSMS & OIMS - Director RTP: Robert is an Army guy, and in the DC area RTB: Robert is over DTRA and his two main programs he oversees is DSMS and OIMS. OIMS has a couple years left, and DSMS is recompeting in the spring. Randy Pitts joined the call as well, who is Robert's deputy over all DTRA work. GDIT - DTRA - Deputy PM RTP: Randy was in the Army for 8 years, enlisted and an officer RTB: Robert is over DTRA and his two main programs he oversees is DSMS and OIMS. Leidos - DTRA Call with "
B-21,B-21 Raider Bomber,Weapons System,Air Force,DoD,24,1,Northrop Grumman,"ai_ml, systems_engineering, cloud","manager, engineer, executive, director","Northrop Grumman-Site Manager Industrial Engineering-B-21 Sat on meeting with Moser RTP-thinks he is a real jokester RTB-works out of Melbourne,FL and said he accomedates multiple programs, wont say any of their names -has a team of 40 who are all directly hired -he is in charge of scheduling side design, rotating me to HR. Northrop Grumman-Tooling Manager-B-21 Sat on meeting with Moser -went over the two openings-tooling engineer/manufacturing engineering technician -finalizing billrate today/a"
ABMS,Advanced Battle Management System,C4ISR,Air Force,DoD,22,2,"General Dynamics, SAIC","ai_ml, cloud, cybersecurity, systems_engineering, software_dev","executive, director, lead, senior, engineer, manager","GDIT-BD(AFNORTH) RTP: Wants someone who cares about his program was not getting that in the past with us. Also said he is open that next time we are traveling into Norfolk to stop by, and he will show us their facility. RTB: Oversees a Canadian team. SAIC - ABMS - Program Director -Not thrilled with Insight Global right now due to lead time to present candidates (72+ hours) and quality of candidates -using them for 62H and likes the contract to hire since it gives him a try before you buy and of"
ECMA,Enterprise Cloud Management Agency,IT Program,Army,DoD,21,7,"Accenture Federal, Amazon Web Services, Deloitte, Jacobs, Microsoft, Oracle, Perspecta","ai_ml, cloud, database, cybersecurity, software_dev","manager, lead, senior, engineer, executive, director","Peraton, Army Growth Meeting, Peraton was notified by the Army ECMA team that we were not selected for the EAMM program opportunity. The customer pushed their acquisition into January this year and finally decided after several extensions. It looks like it falls under JWICS now - I passed the info along to the Amazon & Microsoft guys. Peraton, Army Meeting, SITEC was awarded publicly but then protested again so Jacobs gets another 3-months of revenue. expected start for the new contract is Feb 2"
VC-25B,Air Force One Replacement,Aircraft Program,Air Force,DoD,18,1,Boeing,"systems_engineering, ai_ml","executive, director, senior, engineer, manager","Director of SLS and Design Centers - 12/03/2025 RTB- Met with Ken McCormick (Sr. Director of Design), Dana Danavant (Head of the Design Center), and Casey Thompson (Director of Integration and Design for Propulsion). Amber Rist - Design Engineering Manager - Design Center - 10/16/2025 RTB - No Hirring needs now. Typically works through beeline. On multiple BDS programs. Huntsville, AL - Design Center - Structural Analysis Engineering Manager RTP – He was on vacation last week in Helen, GA for a "
OASIS,One Acquisition Solution for Integrated Services,Contract Vehicle,GSA,GSA,18,6,"Amazon Web Services, CACI, Deloitte, General Dynamics, Leidos, SAIC","ai_ml, cybersecurity, project_management, cloud, software_dev","executive, manager, director, lead, engineer",Leidos - Capture Manager - heading up Cybertron capture and they have been struggling with a strong Cyber SME w/ CDS and RTP. They need strong accreditation with RMF as well as someone who comes from an R&D background. Heavy SBSA (Site based Security Assessment). Leidos - Staffing Manager for Cybertron and Debbie De la O's portfolio - heading up Cybertron staffing and they have been struggling with a strong Cyber SME w/ CDS and RTP. Heavy SBSA (Site based Security Assessment) and CI poly require
SPACECOM,Space Command,Combatant Command,DoD,DoD,16,6,"General Dynamics, IBM Federal, Jacobs, Palantir, Perspecta, SAIC","ai_ml, cybersecurity","lead, engineer, senior, executive, manager","Palantir - SPACECOM Monthly connect with Kit. He had a good Thanksgiving - it was pretty low key. He is in DC at USG HQ this week. Palantir - SPACECOM Introduction meeting with Kit (meeting not did not log from September) He is the Enterprise Lead over all of SPACECOM and Space Systems - execution, strategy, and growth - have scaled quite a bit over the last two years - steady state growth right now He has 20-30 engineers/FSRs under him Mainly out at Peterson SFB Risk with FSRs is that the comma"
SOUTHCOM,Southern Command,Combatant Command,DoD,DoD,16,7,"CACI, Dell Technologies, General Dynamics, Jacobs, ManTech, Microsoft, Perspecta","ai_ml, cloud, cybersecurity, project_management, software_dev","executive, director, senior, engineer","Dell Technologies - Director of Professional Services - Amber is headed back to Kentucky (where she is from) for Thanksgiving, Dell has off Thursday and Friday so she's spending Thursday to Sunday there with her family - Wanted to confirm that we were within the Contingent Worker Services Program because she didn't see us on the list, although she did say the list had not been updated in a couple of months - Talked about what I could see in Fieldglass and she said I should be able to see federal"
STRATCOM,Strategic Command,Combatant Command,DoD,DoD,12,4,"Dell Technologies, General Dynamics, Leidos, Oracle","ai_ml, cybersecurity, cloud, database, software_dev","lead, executive, manager, director, senior, engineer","GDIT SKITLS RTP: Moved from germany to Omaha, part of the artillery in the mil and has a family RTB: PM of skitls broked down the program for us 1. 5 Billion 7 years supporting STRATCOM. Was recommend by us through GDIT JUSTIFY PM and their Lead MBSE arch recc us as well. Oracle - Mike, Ben, and I met with Jim. He is on the Oracle Cloud 1 program for USAF. Primarily supports the Air Force A4 - logistics, AF Material Command - using Oracle EBS Doing a lot of work at Hill AFB right now: CECD On pr"
INDOPACOM,Indo-Pacific Command,Combatant Command,DoD,DoD,10,1,Deloitte,"ai_ml, cybersecurity, project_management","executive, director, manager, senior, engineer","Deloitte - ACC - Met with JC (head of Deloitte Air Force account), Eric (Senior Manager of ACC), and Chris (Managing Director) at the AFA conference. Spent a lot of time discussing how our contractors have been instrumental in their growth and the government sees them as Deloitte and not as a subcontractor which is a testament to the quality of the talent we're contributing to the team. We also discuss the direction of the Air Force account and what new opportunities are on the horizon. Deloitte"
JLTV,Joint Light Tactical Vehicle,Weapons System,Army,DoD,9,1,SAIC,"ai_ml, systems_engineering",engineer,SAIC - MVF (JLTV) -says they can't do ODC billing on their contract -don't have any pain points in staffing and don't plan to make any adds past their 6 teamtes -says none their 6 teammates are staffing teammates but are service contracts -some have workshare and some dont and are doing some jump ball hiring as well. SAIC - MVF (JLTV) - pretty much same note as below. SAIC - MVF (JLTV) - TT briefly since I saw Insight had an engineering technician ~said he is over all the Drafters and his team i
JADC2,Joint All-Domain Command and Control,C4ISR,DoD,DoD,9,2,"L3Harris, SAIC","ai_ml, data_analytics, software_dev","executive, lead, manager, engineer, senior","Had an introductory call with John. He supports Enhancing Operational Level C2 & Readiness for Agile Combat Employment (ACE) and Joint All Domain C2 (JADC2), AAA LOE Working Group 3 A29. He is in more of a support role and doesn't do any of the hiring decision for the team. sat on pop meeting Kushal Mehta - Chief Systems Engineer - SAIC - GPS - ABMS Called and ran a meeting with Kushal. He just applied for a program transfer from GPS to ABMS and will be moving from California to Chantilly, VA to"
EIS,Enterprise Infrastructure Solutions,Contract Vehicle,GSA,GSA,7,2,"General Dynamics, Microsoft","ai_ml, cybersecurity, database, systems_engineering, project_management","manager, lead, senior, engineer, executive, director",GDIT - Manager - JUSTIFIED - Meeting to discuss the following items: - Spoke with Peggy and Corey about what the holdup is with onboarding Tyeisha Bickham and Michael Moriarty. The air national guard core is holding starts and they should have next steps on Monday for Moriarty. - We had to submit new security paperwork for Tyeisha but should be processed and cleared to start by 12/22. GDIT - Manager - JUSTIFIED - Meeting with Cynthia and Corey. The stop work for CUP 59 has officially been lifted
CMMC,Cybersecurity Maturity Model Certification,Security Initiative,DoD,DoD,6,0,,"ai_ml, cybersecurity, software_dev","executive, director, manager, engineer","Personal: Spent Thanksgiving in Aruba, cruise out of Puerto Rico but several outings and stops had to get cancelled. Only has the two days off during the Christmas/ NYE holiday. Business: Went to a conference to get updates on upcoming RFP's (Alamo Ace?) but ended up leaving with more questions than answers. Peraton, DC3 Quarterly all-hands; no new org changes since Q2. They received some recognition/appreciation from the client for work completed on the OED, XT and CFL tasks. Work-from-home (WF"
MQ-25,MQ-25 Stingray Tanker Drone,Weapons System,Navy,DoD,5,1,Boeing,"ai_ml, systems_engineering","engineer, executive, manager","Boeing - MQ-25 Stingray - Mascoutah, Illinois - 07/17/2025 RTB- They are in need of 3 Manufacturing Engineers and 3 Liaison Engineers they have openings for 1st, 2nd and 3rd Shift. we have interview times for Monday and Tuesday. they need someone that has previously worked at boeing on the BDS side. Mechanical Engineering Manager-Boeing-Huntsville-GMD -is a hiring manager for a couple different programs,GMD,MQ-25,SLS -has used subcontractors in the past -does some work in St. Louis -Uses Beeline"
E-7,E-7 Wedgetail AEW&C,Aircraft Program,Air Force,DoD,5,1,Boeing,"software_dev, devops, database, ai_ml",engineer,"E-7 Program - Electrical Manufacturing Engineers - Puget Sound, WA RTB – Chris is over the Oklahoma City, Puget Sound, WA and San Antionio, TX Areas. He is on the Mobily, Surveillance and Bombers team (Defense Side). -Biggest Engineering Needs are Electrical Engineers across all skill sets and all locations. Boeing : E7 program heads up on position thath as not posted software developer java /web developer any devsecops fullstack developer database -SQL level 3 bach and 3+ years (all work on lin"
V-22,V-22 Osprey,Aircraft Program,Navy/Marines,DoD,4,1,Microsoft,software_dev,"manager, engineer",RTP: Originally from a south suburb of Chicago that is predominantly Polish. RTB: Had a meeting with Steve regarding the V-22 Osprey program. They won't need hiring help for another 6 months
ECMO,Enterprise Cloud Management Office,IT Program,Army,DoD,4,2,"Deloitte, Perspecta","cybersecurity, ai_ml, cloud, software_dev, data_analytics","manager, executive, engineer","Deloitte Federal - Deputy PM for Army ECMA contract. Program is heavy cyber, cloud, AI, data analytics, and application development. Very similar to Perspecta ECMO contract. Deloitte ECMA - Program Manager for Army ECMA contract. Perspecta, Program Manager, ATIS Joel was granted approval from the Army last Thursday and began working as the PM for ATIS yesterday. He was briefed on the current funding status but does not have much knowledge other than that at this time. I brought him up to date on"
GBSD,Ground Based Strategic Deterrent,Weapons System,Air Force,DoD,3,1,BAE Systems,ai_ml,manager,"BAE Systems, ISC Intro, Program Manager for GBSD work, intel tells me he may oversee the Lompoc site & work. He has some availability early next week - currently having to meet with some AF guys onsite. Throwing a more formal intro on the calendar. Blake has been moved from SMORS to GBSD, they are a few months into the contract, the only sub working going on right now is if you are a materials sub, they are sourcing solely from internal candidates on other programs right now, Blake is in logisti"
NGAD,Next Generation Air Dominance,Weapons System,Air Force,DoD,3,1,Lockheed Martin,"ai_ml, project_management","engineer, manager","LM lost NGAD, looking to repurpose 100 engineers in Aero Went over F35 org under Chauncey. Verizon Tim is in Program Management but does not have any of his own contracts. Randi Markman and Peter Ucovich will be the best folks to speak with to discuss bringing us onto to some of their larger contracts. He also provided one of his directs that might be able to help with and is helping with setting up a conversation. JD has been traveling once again, back in tuscon for a few weeks, he sees new pro"
EAGLE,Enterprise Acquisition Gateway for Leading Edge Solutions,Contract Vehicle,DHS,DHS,2,6,"CACI, CSRA, General Dynamics, Leidos, Raytheon, SAIC","ai_ml, networking, cybersecurity, cloud","executive, manager, lead, senior","Peraton - ARCYBER/IAE Brittany R. Singletary - Administrative Services Manager - Teams Meeting RTP: Huge football fan - loves the Philadelphia Eagles Born in Philly, family moved to North Carolina where she was eventually raised. North Carolina A&T alum Moved to Stafford, Virginia (outside Quantico) due to husband's job - he also works for the govt. SAIC - USMS - Met with Nuha who moved contracts now supporting US Marshals. She estimates 60% of the folks on the contract are contractors. She is g"
SEWP,Solutions for Enterprise-Wide Procurement V,Contract Vehicle,NASA,NASA,2,2,"General Dynamics, Microsoft","ai_ml, cloud, software_dev","executive, director","Microsoft Federal - Biz Apps - SSP Met with Derek and Elena. Derek said his focuses has shifted a bit to the US sector environment. It was IL 6 approved and is for power platform. Microsoft Federal - Biz Apps - Power platform Solutions Specialist Met with Derek and Elena. Microsoft Federal - Account Executive - Health care Intro meeting with Claude. He is an AE for all of HHS except NIH (Ken Kitt who we spoke with last week is over this portion). He is on the services side and is more so a ""butt"
CH-53K,CH-53K King Stallion,Aircraft Program,Navy/Marines,DoD,2,1,Lockheed Martin,ai_ml,executive,"sat on zac meeting They utilized contractors no needs right now but they said they anticipate a lot coming Pretty certain that is due to new award LM was just awarded $2. 7B contract with the Navy to build 35 more CH-53K helicopters This is Carls group Stay all over him. Wanted me to send who we work with now, sent"
