assigned_to,roster_acronym,matched_program,program_full_name,prime_contractor,piid,contract_value,agency,clearance,locations,typical_roles,naics_code,pop_end,status,notes,data_source
Justin,Scorpion,SCORPION,AFCENT SCORPION Cyber Task,CACI,FA882316C0004,"$600,725,818.08",Air Force,"Secret, TS/SCI",,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,517410.0,2025-12-09,Established,AFCENT cyber ISSO/ISSM,MASTER
Justin,RITS,RITS,Range Information Technology Services,Various,,,Air Force,,,,,,Established,AF range IT services,MANUAL
Justin,DTAM,DTAM,"Desktop, Thin/Zero Client & Application Mgmt",Various,,,DoD,,,,,,Established,End-user device management,MANUAL
Justin,PNT E&I,PNT E&I,"Position, Navigation & Timing Engineering & Integration",Various,,,Space Force,,,,,,New Add,GPS/PNT ground systems - SSC,MANUAL
Andres,VC25B,VC-25B,VC-25B Presidential Aircraft Replacement,Boeing,,$5.3B,Air Force,,,,,,Established,New Air Force One - Boeing,MANUAL
Andres,SLS,SLS,Space Launch System,Boeing,,$8.9B+,NASA,,,,,,Established,Boeing SLS heavy-lift rocket,MANUAL
Andres,Stingray,STINGRAY,MQ-25 Stingray Unmanned Carrier Tanker,Boeing,,$3.5B+,Navy,,,,,,Established,Boeing unmanned tanker aircraft,MANUAL
Andres,SI + WS,SI+WS,Systems Integration & Weapon Systems,Various,,,DoD,,,,,,Established,Systems integration & weapon systems,MANUAL
Andres,B-52,B-52,B-52 RADAR MODERNIZATION PROGRAM ENGINEERING AND MANUFACTURING DEVELOPMENT,THE BOEING COMPANY,FA862821F1006,881741570.98,Department of the Air Force,,"OKLAHOMA CITY, OKLAHOMA",,336411.0,2027-11-30,Established,B-52 radar modernization EMD,DISCOVERY
Andres,DA & Cruise Missiles,CRUISE MISSILE,CRUISE MISSILE DEFENSE SYSTEMS SENTINEL A4 RADAR DEVELOPMENT COMPETITIVE REQUIREMENT,Lockheed Martin Corporation,W31P4Q19C0058,693433284.54,Department of the Army,,"LIVERPOOL, NEW YORK",,541715.0,2027-09-13,Established,Cruise missile defense - Sentinel A4 radar,DISCOVERY
Capelluto,MCEN,MCEN,Marine Corps Enterprise Network,Leidos / GDIT,19AQMM18C0185,nan,Marines,Secret,Marine bases,NetOps; cyber; enterprise IT technicians,541614,2029-08-07,Established,USMC enterprise network IT,TANGO
Capelluto,DCPDS,DCPDS,Defense Civilian Personnel Data System,Various,,,DoD / DISA,,,,,,Established,DoD civilian HR/personnel system,MANUAL
Capelluto,ALTESS,ALTESS,Army ALTESS Cloud Hosting,Leidos,HHSN261200800001E,nan,Army,Secret,Radford VA; Fort Belvoir VA,Cloud/ERP admins; system administrators; cybersecurity staff,561210,2024-09-06,Established,PD ALTESS IT services,TANGO
Capelluto,SCITES,SCITES,"ManTech Scientific, Technical, Engineering & Staffing",ManTech,,,Army,,,,,,New Add,ManTech Army S&T support,MANUAL
Capelluto,NASA,NESST,NASA Enterprise Service Support Technology,SAIC / Leidos (indicative),NNJ09HD46C,nan,NASA,"Public Trust, Secret",NASA centers,EUS support; deskside; enterprise IT,541712,2018-02-28,New Add,Leidos NASA enterprise IT,TANGO
Gullette,AFNCR,AFNCR IT,AF National Capital Region IT Support,Leidos (historical incumbent),HHSN261200800001E,$450M,Air Force,Secret,Pentagon; Joint Base Andrews (JBA),Desktop support; network operations; service desk; infrastructure techs; VIP support,561210.0,2024-09-06,Established,Pentagon/NCR IT support,MASTER
Gullette,ASA ALT,ASA ALT,"Asst Secretary of Army - Acquisition, Logistics & Technology",Various,,,Army,,,,,,Established,ASA(ALT) program office support,MANUAL
Gullette,INSITE,inSITE,Integrated Situational Awareness Environment,Northrop Grumman,FA821920C0006,nan,Army,"Secret, TS/SCI",Huntsville AL; Colorado Springs CO,RMF SMEs; STIG analysts; cyber analysts,336414,2029-03-10,Established,NGC situational awareness,TANGO
Gullette,BOA,BOA,Basic Ordering Agreement - Surge Staffing,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",Air Force,Secret,Roy UT; Colorado Springs CO; Hill AFB UT,ISSOs; DevOps engineers; testers; logistics staff,336414.0,2029-03-10,Established,NGC BOA surge staffing,MASTER
Gullette,JTAGS,JTAGS,Joint Tactical Ground Station Early Warning,Northrop (prime/sub),N0001918C1037,"$8,447,894,780.67",Army,"Secret, TS/SCI",Colorado Springs; Germany; Redondo Beach,SW engineers; SIGINT analysts; logistics continuity,336411.0,2030-02-01,Established,Early warning ground station,MASTER
Gullette,Cloud One,Cloud One,Cloud One,SAIC,FA877319FA023,$727M,Air Force,Secret,Hanscom AFB; remote,Cloud engineers; DevSecOps; cyber,541330,2026-07-27,New Add,AF enterprise cloud platform,TANGO
Steph,HUD Central,HUD CENTRAL,HUD Central - Dept of Housing & Urban Development IT,Various,,,HUD,,,,,,Established,HUD IT/data services,MANUAL
Steph,GA Power,GA POWER,"RECAPITALIZATION OF POWER GENERATION PLANT AND SUPERVISORY CONTROL AND DATA ACQUISITION (SCADA), LOC","M. C. DEAN, INC.",W912DR21C0023,207507685.0,Department of the Army,,"AURORA, COLORADO",,238210.0,2027-01-17,Established,General Atomics support,DISCOVERY
Steph,FAA MISCIV,FAA MISCIV,FAA Mission Infrastructure & Systems Civilian Support,Various,,,FAA,,,,,,Established,FAA infrastructure support,MANUAL
Steph,ANTYPY-2,ANTYPY-2,RTX ANTYPY-2 Program (Classified),Raytheon (RTX),,,DoD,,,,,,Established,RTX classified program,MANUAL
Steph,BAG ISC,BAG ISC,BAG ISC Program,BAE Systems,,,IC / DoD,,,,,,Established,BAE/BAG intel & security,MANUAL
Steph,DEOS,DEOS,Defense Enterprise Office Solutions,CSRA / Leidos (team),HHSN261200800001E,nan,DISA,"Public Trust, Secret, Top Secret",DoD & federal offices CONUS/OCONUS,O365/Teams engineers; cloud architects; UC engineers; enterprise email support,561210,2024-09-06,Established,GDIT DISA enterprise office solutions,TANGO
Steph,TARPON,TARPON,RTX TARPON Program,Raytheon (RTX),,,DoD,,,,,,Established,RTX classified/sensor program,MANUAL
Logan,JUSTIFIED,Justified,Justified (SAP Security),SAIC (inferred),FA877319FA023,nan,Air Force,TS/SCI,Hanscom AFB; JBAB DC,SAP admins; ISSO; SAP security leads,541330,2026-07-27,Established,SAP security program,TANGO
Logan,INSCOM,INSCOM,INSCOM IT / Intelligence Support (I2TS),GDIT / CACI,W56HZV19C0036,$1.36B,Army INSCOM,,,,,,Established,Army INSCOM intel IT,MANUAL
Logan,WARHAWK,WARHAWK,Warhawk - Tactical Operations Program,Various,,,Army / DoD,,,,,,Established,Tactical operations program,MANUAL
Logan,AIRDROP,AIRDROP,"AIR FORCE RESEARCH LABORATORY (AFRL)/AIR FORCE SPACE AND MISSILE SYSTEMS CENTER (SMC), HAS A NEED TO",BLUESTAQ LLC,47QFCA19C0016,649106362.0,Federal Acquisition Service,,"COLORADO SPRINGS, COLORADO",,541990.0,2026-07-31,Established,Aerial delivery systems,DISCOVERY
Logan,ARC,ARC,ARC Program (Deloitte),Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),47QFCA19F0033,$889M,Army,"Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret","Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/p,541330.0,2024-02-11,New Add,Deloitte ARC program support,MASTER
Logan,CDET III,CDET III,Cyber Defense Engineering & Technology III,Various,,,DoD,,,,,,New Add,Cyber defense engineering IDIQ,MANUAL
Logan,NAVY FIP IV,NAVY FIP IV,NAVY ENTERPRISE RESOURCE PLANNING (ERP) TECHNICAL SUPPORT SERVICES (NETSS).,INTERNATIONAL BUSINESS MACHINES CORPORATION,N0003921F3007,849037834.8,Department of the Navy,,"WASHINGTON NAVY YARD, DISTRICT OF COLUMBIA",,541330.0,2026-04-22,Established,Navy force innovation prototyping,DISCOVERY
Logan,JSFACE,JSFACE,Joint Strike Fighter ACE / Autonomic Logistics,Lockheed Martin,,,DoD / JSF,,,,,,Established,F-35 autonomic logistics,MANUAL
Logan,EPA MAINES,EPA MAINES,EPA Mainframe/IT Maintenance Services,Various,,,EPA,,,,,,Established,EPA IT maintenance,MANUAL
Logan,EPA WI CRD GLO,EPA WICRD,EPA Water Infrastructure & Cyber Resilience Division,Various,,,EPA,,,,,,Established,EPA water infrastructure IT,MANUAL
Hoppe,Palantir,MSS,MSS Smart Systems (Palantir),Palantir,W911QX24F0113,"$70,668,314.50",Army,TS/SCI,Classified CONUS/OCONUS,Data engineers; Palantir platform engineers; intel analysts; field support,541715.0,2026-03-31,Established,Palantir Army data platform,MASTER
Hoppe,DC3,DC3,DC3 – Defense Cyber Crime Center,Peraton,47QFCA19F0033,nan,DoD,TS/SCI,Linthicum MD,Forensics; malware; cyber intel,541330,2024-02-11,Established,Cyber crime center support,TANGO
Hoppe,CDC,CDC,CDC NATIONAL TOBACCO EDUCATION CAMPAIGN,"PLOWSHARE GROUP, INC",75D30120F09371,497824293.12,Centers for Disease Control and Prevention,,"ATLANTA, GEORGIA",,541810.0,2026-03-30,New Add,CDC IT & data analytics,DISCOVERY
Trevor,BAE ISC,BAE ISC,BAE Systems Intelligence & Security Corp,BAE Systems,,,IC / DoD,,,,,,Established,BAE intel & security programs,MANUAL
Trevor,DRT GRASP,GRASP,GRASP (Raytheon/Peraton),Peraton,80GSFC19C0063,nan,DoD,Secret,Secret,“GRASP”,517919,2026-03-31,Established,Geospatial reconnaissance & analysis,TANGO
Trevor,OCIO,OCIO,Office of the CIO IT Support,Various,,,DoD / Agency,,,,,,Established,CIO office IT modernization,MANUAL
Trevor,SENSE,SENSE,NASA SENSE (Space Comms & Tracking),Peraton,80GSFC19C0063,$1.8B,NASA,Secret,Near-Earth network (TDRS),Network ops; RF; sustainment,517919,2026-03-31,Established,Space communications network,TANGO
Trevor,First Responder,FIRST RESPONDER,"FIRST DDT AND E, ARES I-X, AND FLIGHT TESTS.  FIRST STAGE WILL BE A FIVE SEGMENT, SOLID ROCKET BOOST",ATK LAUNCH SYSTEMS INC.,NNM07AA75C,4474452013.0,DHS / DOJ,,"CORINNE, UTAH",,336415.0,2026-06-30,Established,First responder communications,DISCOVERY
Trevor,Arc Field,ARCFIELD,Arcfield (formerly Perspecta/DXC) Programs,Arcfield,,,IC / DoD,,,,,,Established,Arcfield intel & engineering,MANUAL
Trevor,FAA BNIACTS,FAA BNIACTS,"FAA Base Nav, Info & Comm Technical Services",Various,,,FAA,,,,,,New Add,FAA nav/comms technical services,MANUAL
IDK,JUSTIFIED,Justified,Justified (SAP Security),SAIC (inferred),FA877319FA023,nan,Air Force,TS/SCI,Hanscom AFB; JBAB DC,SAP admins; ISSO; SAP security leads,541330,2026-07-27,Established,SAP security program,TANGO
IDK,NTT NNIS,NTT NNIS,NTT DATA National Network & IT Services,NTT DATA,,,DoD,,,,,,Established,NTT DATA enterprise IT/BPS,MANUAL
IDK,Peraton DCLO,PERATON DCLO,Peraton DCLO Program,Peraton,,,DoD,,,,,,Established,Peraton data center/lifecycle ops,MANUAL
Emma,Dell,DELL,Dell Federal Hardware/Services Contract,Dell Technologies,,,DoD,,,,,,Established,Dell federal hardware programs,MANUAL
Emma,THD,THD,Technology Help Desk / Threat & Hazard Detection,Various,,,DoD / DHS,,,,,,Established,Technology help desk,MANUAL
Emma,HPE,HPE,Hewlett Packard Enterprise Federal IT,HPE,,,DoD,,,,,,Established,HPE federal IT infrastructure,MANUAL
Emma,UPS Cap,UPS CAP,UPS Capital / Logistics Support,UPS,,,DoD,,,,,,Established,UPS logistics/capital services,MANUAL
Emma,GSMO TNIS,GSMO TNIS,Global Service Mgmt-Ops II - TNIS Task Order,Leidos,89243318CFE000003,,DISA,,,,,,Established,GSMO II task order TNIS,MANUAL
Emma,GSMO TNO1,GSMO TNO1,Global Service Mgmt-Ops II - TNO1 Task Order,Leidos,89243318CFE000003,,DISA,,,,,,Established,GSMO II task order TNO1,MANUAL
Emma,Emory Uni,EMORY UNI,GSMO Task - Emory University Healthcare IT Support,Leidos,89243318CFE000003,,DISA / VA,,,,,,Established,GSMO Emory Univ healthcare IT,MANUAL
Emma,RTX TEE,RTX TEE,Raytheon (RTX) TEE Program,Raytheon (RTX),,,DoD,,,,,,New Add,RTX tactical electronics/engineering,MANUAL
Emma,AFS RITS,AFS RITS,Air Force Space RITS (Range IT Services),Various,,,Space Force,,,,,,New Add,AF Space range IT services,MANUAL
Trevor W,SSC,SSC,NORAD/NORTHCOM IT Infrastructure Support (NISSC II),Jacobs,NNK13MA14C,$455M,Air Force,TS/SCI w/ Poly,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support,541712,2023-04-30,Established,Space Systems Command IT/eng,TANGO
Trevor W,SCITLS,SCITEILS,Space Cyber IT Enterprise Infrastructure & Logistics,Various,,,Space Force,,,,,,Established,Space Force cyber/IT enterprise,MANUAL
Trevor W,NISST,NISST,NISST Program,Various,,,DoD,,,,,,New Add,New program addition,MANUAL
Trevor W,F-35 Cyber,F-35 CYBER,"F-35 DEVELOPMENTAL FOUNDATION CONTRACT 3 - THIS CONTRACT PROVIDES A FOUNDATION, IN SUPPORT OF F-35 D",LOCKHEED MARTIN CORPORATION,N0001922C0041,2354413124.08,Department of the Navy,,"FORT WORTH, TEXAS",,541715.0,2027-03-31,New Add,F-35 cyber sustainment,DISCOVERY
Trevor W,DLA JETS,DLA JETS,DLA J6 Enterprise Technology Services,CACI; Deloitte; SAIC; GDIT,SAQMMA12C0130,$6B,DoD,"Public Trust, Secret",Fort Belvoir; Columbus OH; Philadelphia PA,Sysadmin; help desk; cyber; engineering,541614.0,2019-09-07,Established,DLA enterprise tech IDIQ,MASTER
Trevor W,DTRA DSMS,DTRA DSMS,DTRA IMAX DA,"CACI NSS, LLC",47QFCA21F0057,516540859.0,Federal Acquisition Service,,"RESTON, VIRGINIA",,541330.0,2023-06-29,Established,DTRA decision support,DISCOVERY
Trevor W,NTIA FSBS,NTIA FSBS,NTIA First Responder / Broadband Support,Various,,,NTIA / Commerce,,,,,,Established,NTIA broadband/spectrum,MANUAL
Clay,Boeing ESS,BOEING ESS,Boeing Enterprise Support Services,Boeing,,,DoD,,,,,,Established,Boeing enterprise support services,MANUAL
Clay,ARCYBER,ARCYBER,Army Cyber Command Info Advantage Support,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),47QFCA19F0033,$889M,Army,"Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret","Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders",Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/p,541330.0,2024-02-11,Established,Army cyber command support,MASTER
Clay,NGC LAX,NGC LAX,Northrop Grumman Los Angeles (Space/Classified),Northrop Grumman,,,Space Force / NRO,,,,,,Established,NGC LA space & classified,MANUAL
George,ISEE,GDIT ISEE,GDIT Info Systems Engineering & Enhancement,GDIT,,,DoD,,,,,,Established,GDIT systems engineering & IT,MANUAL
George,NARSIL,NARSIL,NARSIL,Peraton (indicative),47QFCA19F0033,nan,DoD,Secret,TS/SCI,“High-value IDIQ… Peraton NARSIL”,541330,2024-02-11,Established,Classified IC program - Peraton,TANGO
George,TITAN X,TITAN-X,Air Force Space TITAN-X Ground System,AFS / Various,,,Space Force,,,,,,Established,Next-gen GEOINT ground system,MANUAL
George,Rattler,RATTLER,GDIT Rattler Program,GDIT,,,DoD,,,,,,New Add,GDIT classified/tactical program,MANUAL
George,IRONHIDE,IRONHIDE,IRON FIST B-KIT OTB FOR A QTY OF 163,"General Dynamics-Ots, Inc.",SPRRA224C0029,191191997.67,Defense Logistics Agency,,"WILLISTON, VERMONT",,336419.0,2027-09-30,Established,GDIT classified program,DISCOVERY
Matt Cat.,EITaaS,EITaaS,EITaaS (Pilot – USAF),CACI (pilot),FA882316C0004,$50M,Air Force,"Public Trust, Secret",Multiple bases,Base IT; service desk; help desk; end-user services,517410,2025-12-09,Established,AF enterprise IT as a service,TANGO
Matt Cat.,DOS DJP,DOS DJP,Dept of State Diplomatic Joint Program,GDIT,,,State Dept,,,,,,Established,GDIT State Dept diplomatic IT,MANUAL
Matt Cat.,CITS,GDIT CITS,GDIT Communications & IT Services,GDIT,,,Army / DoD,,,,,,New Add,GDIT comms & IT services,MANUAL
Matt Cat.,AGUN,AGUN,IGF::OT::IGF GUN MISSION MODULES (GMM),NORTHROP GRUMMAN SYSTEMS CORPORATION,N0002417C6311,1587082671.31,Department of the Navy,,"BETHPAGE, NEW YORK",,334511.0,2026-03-15,New Add,Leidos classified/agile program,DISCOVERY
Matt Cat.,Anduril,NGC2,Army Next-Gen C2 Prototype (Anduril),Anduril,FA882024FB003,$100M,Army,Secret,Fort Irwin test sites,Data mesh engineers; edge app developers; AI/ML integration engineers,541715.0,2026-03-26,New Add,Anduril next-gen command & control,MASTER
Matt Cat.,GPI,NGC GPI,NGC Ground-Based Precision Integration,Northrop Grumman,,,MDA,,,,,,Established,NGC ground-based interceptor,MANUAL
Matt Cat.,JGLASS II,JGLASS II,JGLASS II – Shared Services,Peraton / SAIC (indicative),GST0011AJ0025,nan,DHS,Public Trust,NCR,Enterprise shared services; IT admin,541512,2018-05-02,Established,Joint global logistics services,TANGO
Matt Cat.,TASD,NGC TASD,Northrop Grumman TASD - Classified Task,Northrop Grumman,,,DoD / IC,,,,,,New Add,NGC classified task order,MANUAL
Andy,Navy QA,RTX NAVY QA,NAVY ENTERPRISE RESOURCE PLANNING (ERP) TECHNICAL SUPPORT SERVICES (NETSS).,INTERNATIONAL BUSINESS MACHINES CORPORATION,N0003921F3007,849037834.8,Department of the Navy,,"WASHINGTON NAVY YARD, DISTRICT OF COLUMBIA",,541330.0,2026-04-22,New Add,RTX Navy QA engineering,DISCOVERY
Andy,AFS,LMCO AFS,Lockheed Martin Air Force Space Programs,Lockheed Martin,,,Space Force,,,,,,Established,LMCO space programs,MANUAL
Andy,Golden Dome,GOLDEN DOME,RTX Golden Dome - Missile Defense,Raytheon (RTX),,,MDA,,,,,,New Add,RTX missile defense initiative,MANUAL
Andy,FORGE,FORGE,Future Operationally Resilient Ground Evolution,Raytheon (Mission Data Apps); BAE (C2),N0001918C1021,$600M,Space Force,"Secret, TS/SCI",Buckley SFB; Peterson SFB; Aurora CO,Agile SW; data scientists; systems integrators,336412,2024-12-30,Established,Next-gen satellite ground control,TANGO
Andy,M2C2,M2C2,Multi-Mission Command & Control,Lockheed Martin / Raytheon,N0001902C3002,nan,MDA,"Secret, TS/SCI",Aurora CO; Huntsville AL; Colorado Springs CO,C2 SW dev; embedded SW; Linux; systems engineering,336411,2022-12-16,Established,Multi-mission C2 system,TANGO
Andy,Secreps,SECREPS,Security Representatives / Personnel Security,Various,,,DoD,,,,,,Established,Security representatives program,MANUAL
Andy,CYBERDYNE,CYBERDYNE,Cyberdyne / Cyber Defense Program,Various,,,DoD,,,,,,Established,Cyber defense operations,MANUAL
Andy,V-22,V-22,V-22 NACELLE IMPROVEMENTS STEP 2,BELL BOEING JOINT PROJECT OFFICE,N0001921F0030,344513306.79,Department of the Navy,,"AMARILLO, TEXAS",,336413.0,2027-06-30,Established,V-22 Osprey tiltrotor program,DISCOVERY
Andy,GPS-OCX,GPS OCX,GPS Next-Gen Operational Control System,Raytheon Intelligence & Space,FA880710C0001,$7.6B,Space Force,"Secret, Top Secret",Colorado Springs CO (Schriever SFB),Software engineers; cyber analysts; helpdesk,541712.0,2026-03-31,Established,GPS ground control system,MASTER
Drew,IBCS,IBCS,Integrated Battle Command System (SAIC support),Northrop Grumman,HQ085621C0003,$2.7B,Army,"Secret, Top Secret",Huntsville AL; Fort Sill OK; distributed test ranges,Systems engineers; radar engineers; C2 software developers; missile integration engineers,541715.0,2028-12-31,Established,Army integrated battle command,MASTER
Drew,MRTID,SAIC MRTID,SAIC MRTID Program,SAIC,,,DoD,,,,,,Established,SAIC mission readiness/training,MANUAL
Drew,SLEE,SAIC SLEE,SAIC Systems Lifecycle Engineering & Enhancement,SAIC,,,DoD,,,,,,Established,SAIC systems lifecycle engineering,MANUAL
Drew,HMSD,SAIC HMSD,SAIC HMSD Program,SAIC,,,DoD,,,,,,New Add,SAIC headquarters mission support,MANUAL
Drew,IS3,BAH IS3,Booz Allen Hamilton IS3 Program,Booz Allen Hamilton,,,IC / DoD,,,,,,Established,BAH intel & security solutions,MANUAL
Drew,GMASS,SAIC GMASS,GMASS,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,FA872323F9010,248814122.89,Department of the Air Force,,"RESTON, VIRGINIA",,541512.0,2026-12-01,New Add,SAIC global mission analytics,DISCOVERY
Drew,N2Noms,SAIC N2NOMS,SAIC N2Noms Program,SAIC,,,DoD,,,,,,New Add,SAIC network/nominations system,MANUAL
Drew,BMC3,SAIC BMC3,"SAIC Battle Management Command, Control & Comms",SAIC,,,DoD,,,,,,New Add,SAIC battle mgmt C3 systems,MANUAL
Dial,BIM,BIM TO3,Army Backbone Infrastructure Modernization – Task Order 3,CACI,W15QKN15C0049,$3M,Army,Secret,TS/SCI,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,541511,2025-06-02,Established,Army BIM - GDIT task order,TANGO
Dial,DARC,NGC DARC,NGC Deep-space Advanced Radar Capability,Northrop Grumman,,,Space Force / MDA,,,,,,Established,NGC deep space radar,MANUAL
Dial,ADCS,GDIT ADCS,GDIT Advanced Data Center Services,GDIT,,,DoD,,,,,,New Add,GDIT advanced data center ops,MANUAL
Dial,NGG,NGG,NextGen GEO (GDIT support to NGC),Northrop Grumman,FA881018C0006,"$3,084,107,116.60",Space Force,"Secret, TS/SCI",Boulder CO,Network Eng; SysAdmin; Field Tech,541715.0,2031-04-11,New Add,NextGen GEO ops - GDIT support,MASTER
Chavez,GSMO TN07,GSMO TN07,Global Service Mgmt-Ops II - TN07,Leidos,89243318CFE000003,,DISA,,,,,,Established,GSMO II task order TN07,MANUAL
Chavez,GSMO TN14,GSMO TN14,Global Service Mgmt-Ops II - TN14,Leidos,89243318CFE000003,,DISA,,,,,,Established,GSMO II task order TN14,MANUAL
Chavez,GSMO TN13,GSMO TN13,Global Service Mgmt-Ops II - TN13,Leidos,89243318CFE000003,,DISA,,,,,,Established,GSMO II task order TN13,MANUAL
Chavez,GSMO MISC,GSMO MISC,Global Service Mgmt-Ops II - Misc TOs,Leidos,89243318CFE000003,,DISA,,,,,,Established,GSMO II misc task orders,MANUAL
Jesse,CPS,CPS,Conventional Prompt Strike,Lockheed Martin,N0001917C0001,Multi-$B,Army,"Secret, Top Secret",Fleet & Army strategic sites,Hypersonic engineers; test engineers; flight test support,336411,2031-03-31,Established,Hypersonic weapons program,TANGO
Jesse,NCG,NCG,NCG Program,Various,,,DoD,,,,,,Established,Next-gen capability program,MANUAL
Jesse,NG-I,NGI,Next Generation Interceptor,Northrop Grumman & Boeing,HQ085621C0003,$13B,MDA,"Secret, TS/SCI",Huntsville AL; Promontory UT; test ranges,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC,541715,2028-12-31,Established,Next-gen missile interceptor,TANGO
Jesse,GWS,GWS,"GWS SOFTWARE DEVELOPMENT (GFC, IDT, GSS,",Northrop Grumman Systems Corporation,HQ085622F0001,644241033.06,Missile Defense Agency,,"HUNTSVILLE, ALABAMA",,541715.0,2027-09-30,Established,Ground C2 software development,DISCOVERY
Jesse,EREBUS,EREBUS,EREBUS - Classified IC/DoD Program,Various,,,IC / DoD,,,,,,Established,Classified intelligence program,MANUAL
Jesse,NGA Classified,NGA CLASSIFIED,NGA Classified Programs,Peraton / CACI,80GSFC19C0063,,NGA,,,,,,New Add,NGA classified intel programs,MANUAL
Will,NCEZID,NCEZID,CDC National Center for Emerging & Zoonotic Infectious Diseases,Various,,,CDC / HHS,,,,,,Established,CDC NCEZID IT support,MANUAL
Will,STOL,STOL,Short Takeoff & Landing / STOL Program,Various,,,DoD,,,,,,Established,STOL aircraft/ops support,MANUAL
Will,CDC,CDC,CDC NATIONAL TOBACCO EDUCATION CAMPAIGN,"PLOWSHARE GROUP, INC",75D30120F09371,497824293.12,Centers for Disease Control and Prevention,,"ATLANTA, GEORGIA",,541810.0,2026-03-30,Established,CDC IT & data analytics,DISCOVERY
Will,SSA ITSSC,SSA ITSSC,SSA IT Systems & Services Contract,Leidos,28321322FDS030130,$1.06B,SSA,,,,,,New Add,Social Security Admin IT services,MANUAL
Will,Leidos SES,LEIDOS SES,Leidos Senior Executive / Sustainment Services,Leidos,,,DoD,,,,,,New Add,Leidos enterprise sustainment,MANUAL
