Rank,Acronym,Program Name,Prime Contractor,Agency,Contract Value,Obligated Amount,Contract Number,PoP Start,PoP End,Ultimate Completion,Recompete Date,Clearance,Locations,Typical Roles,BD Score,BD Priority,Greenfield Type,Bullhorn Placements,Bullhorn Mentions,Gap Status,NAICS,Set Aside,Vehicle Type,Subaward Total,Subaward Count,Data Source
18,SITE III,DIA SITE III,Leidos,DIA,$12.60B,$3.08B,NSFDACS1219442,2011-12-23,2026-09-30,2026-09-30,,TS/SCI w/ Poly,Worldwide CONUS/OCONUS,DevSecOps; cyber; AI/ML; big data,,High,,18,,,561210,,IDIQ,$1.08B,2094,master_db
19,ITES-3S,Army IT Enterprise Solutions – 3 Services,135 awardees,Army,$12.10B,,,,"January 1, 2018 → January 1, 2027",,,Secret,Army / DoD enterprise-wide,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,,High,,,,,,,IDIQ,,0,master_db
20,,Army Missile & Space R&D Support (Huntsville),Dynetics; Northrop teams,Army,$10.47B,$9.50B,F4261098C0001,1997-12-22,2025-11-30,2025-11-30,,Secret,Huntsville AL,SW engineers; electrical engineers; full-stack developers; test engineers,,Medium,,,,,541330,,Services,,0,master_db
21,PAC-3 / PAC-3 MSE,PAC-3 Missile Family (Consolidated),Lockheed Martin Missiles & Fire Control,Army,$10.00B,$10.45B,W31P4Q20C0023,2020-04-30,2033-09-30,2033-09-30,,"Secret, TS/SCI",Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service,,High,,,,,336414,,IDIQ,$5.13B,4183,master_db
22,PAC-3 MSE,PAC-3 Missile Segment Enhancement (Deep Detail Variant),Lockheed Martin,Army,$9.80B,$10.45B,W31P4Q20C0023,2020-04-30,2033-09-30,2033-09-30,,"Secret, TS/SCI",Camden AR; Grand Prairie TX; Huntsville AL,Manufacturing; missile eng; test; RF engineers; quality,,High,,,,CRITICAL_GAP,336414,,IDIQ,$5.13B,4183,master_db
23,JWCC,DISA JWCC – Joint Warfighting Cloud Capability,Amazon; Microsoft; Google; Oracle,DISA,$9.00B,$290.5M,W91CRB20F0448,2020-09-01,2024-05-31,2024-05-31,,TS/SCI,Global DoD; Crystal City VA,Cloud architects; cloud security engineers; multi-cloud administrators,,High,,61,,,541330,,IDIQ,$44.4M,83,master_db
24,DGFS,DGFS (RTX),Raytheon (RTX),DoD,$7.94B,$8.69B,N0001918C1021,2018-03-23,2024-12-30,2024-12-30,,Secret,Tucson AZ + other sites,Munitions engineers; missile specialists,,Medium,,,,,336412,,PROGRAM,$239.5M,53,master_db
25,NGEN-R,NGEN-R — Enterprise Network Program,Leidos,Navy,$7.70B,$4.81B,HHSN261200800001E,2008-09-26,2024-09-06,2024-09-06,,Secret,Norfolk; San Diego; global Navy/USMC,Help desk; field tech; network admin,,High,,,,,561210,,IDIQ,,0,master_db
26,,ITES,,,$7.34B,,,,,,,,,,,,,,,,,,,,0,master_db
27,PAC-3,PAC-3 (Consolidated),Lockheed Martin,Army,$6.76B,$10.45B,W31P4Q20C0023,2020-04-30,2033-09-30,2033-09-30,,Secret,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,Missile engineering; assembly; test; RF engineering,,High,,,,,336414,,IDIQ,$5.13B,4183,master_db
28,GSM-O II,DISA Global Service Mgmt – Ops II,Leidos,DISA,$6.52B,$960.3M,89243318CFE000003,2018-12-31,2028-12-30,2028-12-30,,"Secret, TS/SCI",Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,Network admin; boundary security; NOC; ServiceNow devs,,High,,46,,,541715,,IDIQ,$2.74B,2244,master_db
29,,DISA GSM-O II (Global Services Management - Operations),,DISA,$6.52B,,,,,,,,"Scott AFB IL, Fort Meade MD, OCONUS network nodes",,,High,,,,,,,,,0,master_db
30,JETS,DLA J6 Enterprise Tech Services,Multiple Awardees,DoD,$6.00B,,,,,,,Secret,DLA CONUS sites,Help desk; app support; network ops,,High,,,,,,,IDIQ,,0,master_db
31,PTW / Protected TWF,Protected Satcom & Tactical Waveform Communications,L3Harris,Space Force,$5.67B,$2.21B,F1962802C0010,2002-01-30,2024-09-29,2024-09-29,,Secret,Colorado Springs (indicative),RF Engineers; Crypto; SATCOM SMEs,,Medium,,,,,334511,,SPACE ACQUISITION,,0,master_db
32,PTW,Protected Tactical SatCom / Waveform,L3Harris,Space Force,$5.67B,$2.21B,F1962802C0010,2002-01-30,2024-09-29,2024-09-29,,Secret,CO (indicative),RF engineers; crypto; SATCOM specialists,,Medium,,,,,334511,,SPACE ACQUISITION,,0,master_db
33,MPE,Mission Partner Environment,GDIT,DoD,$5.60B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,"Secret, TS/SCI",Global coalition sites,Coalition network engineers; CDS admins; field support teams,,High,,,,,541614,,BPA,$4.52B,5952,master_db
34,C2BMC,"C2BMC (Command & Control, Battle Mgmt, Comms)",Lockheed Martin,MDA,$5.00B,$10.45B,W31P4Q20C0023,2020-04-30,2033-09-30,2033-09-30,,TS/SCI,Colorado Springs; Huntsville AL,Software engineers; missile defense integrators; C2 / BMC3 engineers,,Medium,,1,,MINIMAL,336414,,IDIQ,$5.13B,4183,master_db
35,MHS GENESIS,Defense Health Agency Modernization / MHS GENESIS,Leidos,DoD,$4.30B,$4.81B,HHSN261200800001E,2008-09-26,2024-09-06,2024-09-06,2022-07-28,"Public Trust, Secret",San Antonio TX; Falls Church VA,Healthcare IT engineers; systems analysts; clinical/tech integration roles,63,Medium,WARM,19,,,561210,,IDIQ,,0,master_db
36,D2D,Defense Health Agency Desktop to Datacenter,GDIT,DoD,$4.30B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,Secret,San Antonio TX; NCR; Hawaii,Desktop support; help desk; sysadmin; endpoint engineers,,Medium,,,,,541614,,IDIQ,$4.52B,5952,master_db
37,DHMSM,MHS GENESIS (DHMSM),Leidos,DoD,$4.30B,$4.81B,HHSN261200800001E,2008-09-26,2024-09-06,2024-09-06,,Secret,NCR; San Antonio; Remote,Clinical trainer; IT support; workflow analyst; EHR migration,,Medium,,,,,561210,,IDIQ,,0,master_db
38,NGG,NextGen GEO (Network/Ops),Northrop Grumman,Space Force,$3.96B,$3.08B,FA881018C0006,2018-06-25,2031-04-11,2031-04-11,,"Secret, TS/SCI",Boulder CO,Network Eng; SysAdmin; Field Tech,,High,,,,,541715,,OPS & SUSTAINMENT,$1.49B,595,master_db
39,Next-Gen OPIR,Next-Gen OPIR (Ground + Payload),Northrop Grumman,Space Force,$3.96B,$3.08B,FA881018C0006,2018-06-25,2031-04-11,2031-04-11,,TS/SCI,El Segundo CA; Colorado Springs CO,Payload SW/SE; Ground Ops; Data Exploitation,,Medium,,,,,541715,,Production,$1.49B,595,master_db
40,NG OPIR (classified),Next-Generation Overhead Persistent Infrared,Northrop Grumman,Space Force,$3.96B,$3.08B,FA881018C0006,2018-06-25,2031-04-11,2031-04-11,,TS/SCI,SSC / Los Angeles; Colorado Springs,Payload Eng; Ground Systems; Space Sensor Dev,,Medium,,,,,541715,,CLASSIFIED SPACE PROGRAM,$1.49B,595,master_db
41,GBI,Ground-Based Interceptor,Boeing (lead),MDA,$3.94B,$2.40B,HQ085621C0003,2021-03-25,2028-12-31,2028-12-31,,"Secret, Top Secret",Vandenberg; Ft Greely,Missile ops; missile engineers,,Medium,,13,,,541715,,SUSTAINMENT,$1.61B,234,master_db
42,GMD,Ground-Based Midcourse Defense,Boeing (prime); Northrop & Raytheon (NGI),MDA,$3.94B,$2.40B,HQ085621C0003,2021-03-25,2028-12-31,2028-12-31,,"Secret, Top Secret",Fort Greely; Vandenberg; Schriever,Missile defense engineers; radar techs; C2 analysts,,High,,13,,,541715,,MULTI-CONTRACT PROGRAM,$1.61B,234,master_db
43,,MDA Tactical Embedded Systems,Northrop Grumman,MDA,$3.94B,$2.40B,HQ085621C0003,2021-03-25,2028-12-31,2028-12-31,,Secret,"Redstone Arsenal, Huntsville AL",Embedded SW engineers; C++; tactical missile SW,,Medium,,,,,541715,,PROGRAM,$1.61B,234,master_db
44,DISA,DISA,,,$3.52B,,,,,,,,,,,,,,,,,,,,0,master_db
45,Mk-48,Mark 48 Heavyweight Torpedo,Raytheon (indicative),Navy,$3.27B,$3.27B,N0002422C5500,2022-03-31,2028-09-30,2028-09-30,,Secret,Middletown RI; Navy weapons centers,Systems/seeker engineering; test; manufacturing,,Low,,,,,334511,,PROGRAM,$1.43B,857,master_db
46,Mark-48,Mark-48 Torpedo (sub-program reference),RAYTHEON COMPANY,Navy,$3.27B,$3.27B,N0002422C5500,2022-03-31,2028-09-30,2028-09-30,,Secret,,Torpedo assembly; electronics,,Medium,,,,,334511,,PROGRAM,$1.43B,857,master_db
47,NGEN,NGEN (Legacy Reference),HP; Leidos (legacy primes),Navy,$3.00B,,,,,,,Secret,Quantico; Norfolk,Service desk; network ops,,Medium,,,,,,,IDIQ,,0,master_db
48,SITEC III,SITEC III – Enterprise Operations & Maintenance,Peraton,SOCOM,$2.80B,$621.3M,47QFCA24F0002,2023-10-31,2026-05-16,2031-10-30,,TS/SCI,MacDill AFB; Component Commands; OCONUS deployment,IT support; deployable techs; field comms; cyber/SOCs,,High,,,,CRITICAL_GAP,541512,,IDIQ,$2.05B,78,master_db
49,,CH-53K,,,$2.66B,,,,,,,,,,,,,,,,,,,,0,master_db
50,DCGS,Distributed Common Ground System (AF),BAE; multiple,Air Force,$2.56B,$2.12B,FA821413C0001,2013-08-01,2026-07-31,2027-07-31,,Secret,TS/SCI,“AF DCGS”,,Medium,,,,,541330,,ONGOING,$1.20B,1634,master_db
51,LRAAM,LRAAM (Long Range AAM),Raytheon (indicative),Air Force,$2.51B,$3.65B,FA861108C2896,2008-01-01,2022-05-31,2022-05-31,,Secret,Tucson AZ,AAM engineers; missile systems developers,,Medium,,,,,488190,,R&D,,0,master_db
52,NESD,Navy Enterprise Service Desk,Leidos,Navy,$2.50B,$960.3M,89243318CFE000003,2018-12-31,2028-12-30,2028-12-30,,Secret,Norfolk VA; San Diego CA; distributed Navy NOCs,Tier 1–3 service desk; Navy help desk; desktop support,,Medium,,,,,541715,,,$2.74B,2244,master_db
53,DSCM-GDIT,DISA Supply Chain Mgmt (GDIT),GDIT,DISA,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,Secret,Fort Meade MD,IT/cyber analysts; logistics IT support,,Medium,,,,,541614,,PROGRAM,$4.52B,5952,master_db
54,ASDR,HHS Advanced Secure Data Repository,GDIT / SAIC (indicative),DoD,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,Public Trust,NIH / HHS,Data engineering; cyber analysts; platform engineers,,Medium,,,,,541614,,DATA PLATFORM,$4.52B,5952,master_db
55,LANL VTC,LANL/NNSA VTC Engineering Support,GDIT,NSA,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,Top Secret,Los Alamos NM,VTC engineers; AV technicians; unified comms,,High,,,,,541614,,Services,$4.52B,5952,master_db
56,,LANL/NNSA VTC Support,GDIT,NSA,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,Top Secret,Los Alamos NM,VTC engineer; unified comms; AV/telepresence,,High,,,,,541614,,Services,$4.52B,5952,master_db
57,MPE / MPCO,Mission Partner Environment (Field Ops / MPCO),GDIT,Air Force,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,Secret,Secret → TS/SCI,“Global coalition network mission (MPE)”,,Medium,,,,,541614,,MULTI-YEAR,$4.52B,5952,master_db
58,SCITLS,SCITLS,GDIT,DoD,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,Secret,CONUS,Logistics IT technicians,,Medium,,,,,541614,,AWARD / LOGISTICS-IT,$4.52B,5952,master_db
59,—,SOCOM Digital Applications Data Science Support,Iron Eagle X (now GDIT),CIA,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,TS/SCI,Tampa FL (MacDill AFB),Data scientists; data integrators; cloud/DevOps; AI/ML engineers,,High,,,,,541614,,IDIQ,$4.52B,5952,master_db
60,—,SOCOM Enterprise IT Support,GDIT,SOCOM,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,TS/SCI,Tampa FL; Remote,Cyber; Network Ops; LVC Trainer,,Medium,,,,,541614,,,$4.52B,5952,master_db
61,—,SOCOM Software Solutions IDIQ,Iron Eagle X (now GDIT),SOCOM,$2.45B,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,TS/SCI,Tampa FL + SOF sites,Software dev; cloud; DevSecOps; AI/ML; cyber,,High,,,,,541614,,IDIQ,$4.52B,5952,master_db
62,AMRAAM,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,Raytheon,Air Force,$2.44B,$5.61B,W31P4Q15C0022,2014-12-19,2025-05-31,2025-05-31,,"Secret, Top Secret",Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,,High,,,,CRITICAL_GAP,336414,,Production,$14.05B,29981,master_db
63,MOJAVE / ACADIA,MOJAVE / ACADIA,CACI (indicative),NGA,$2.29B,$824.3M,47QFCA20F0010,2019-11-05,2024-09-29,2024-09-29,,TS/SCI w/ Poly,Springfield VA; St. Louis MO,Cloud engineer; data pipeline; GEOINT analyst,,Medium,,1,,,541512,,ENTERPRISE IT / DATA,$517.8M,80,master_db
64,KSC BOSS,Kennedy Space Center BOSS,Jacobs / Amentum (past),NASA,$2.11B,$2.10B,NNK13MA14C,2013-03-01,2023-04-30,2023-04-30,,"Public Trust, Secret",Kennedy Space Center FL,Facility operations; IT ops,,Medium,,1,,,541712,,BOS,$12.34B,1368,master_db
65,NAVAIR Flight Ops,NAVAIR Flight Operations Support,Vertex Aerospace,Navy,$2.11B,$2.10B,NNK13MA14C,2013-03-01,2023-04-30,2023-04-30,,Secret,Pax River MD,Flight ops analysts; schedulers; IT support,,Medium,,,,,541712,,Services,$12.34B,1368,master_db
66,Leidos PMO,TASK ORDER TO PROVIDE PROJECT MANAGEMENT,"LEIDOS, INC.",,$2.09B,$2.09B,SAQMMA11F0233,,,,,TS/SCI w/ Poly,"WASHINGTON, DISTRICT OF COLUMBIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,68,,WARM,,,,,,,,,warm_greenfield
67,EITSI (BPA),DHA Enterprise IT Transformation,Peraton (Perspecta),DoD,$2.00B,,,,,,,"Public Trust, Secret",DHA sites,Health IT desk; modernization engineers; cyber,,High,,12,,,,,BPA,,0,master_db
68,EITSI,DHA Enterprise IT Services BPA,Peraton (Perspecta heritage),DoD,$2.00B,$39.9M,FA877319FA023,2019-04-28,2025-10-27,2026-07-27,,"Public Trust, Secret",DHA sites,Service desk; modernization; health IT,,Medium,,,,,541330,,BPA,,0,master_db
69,,EAGLE,,,$1.90B,,,,,,,,,,,,,,,,,,,,0,master_db
70,SDA Tranche-0,SDA Tranche-0 Constellation Support,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",DoD,$1.83B,$1.83B,DOCDG133E09CN0094,2009-05-27,2024-01-31,2024-01-31,,TS/SCI,SDA Ops Center (likely),Satellite operators; network engineers; ground-system integrators,,Medium,,,,,541512,,MULTI-CONTRACT (TRANSPORT + TRACKING LAYER),,0,master_db
71,EMERALD,DIA EMERALD,Peraton (Perspecta heritage),NGA,$1.80B,$1.41B,80GSFC19C0063,2019-10-01,2026-03-31,2026-03-31,,Secret,TS/SCI,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,,Medium,,,,,517919,,ONGOING,$637.9M,1514,master_db
72,GRASP,GRASP (Raytheon/Peraton),Peraton,DoD,$1.80B,$1.41B,80GSFC19C0063,2019-10-01,2026-03-31,2026-03-31,,Secret,Secret,“GRASP”,,Medium,,,,,517919,,PROGRAM,$637.9M,1514,master_db
73,PRISM,OUSD(P&R) PRISM (Consolidated),"11 primes (CTC, SAIC, Booz Allen, ManTech…)",DoD,$1.80B,$1.38B,47QFCA21F0018,2021-03-09,2025-02-15,2025-05-15,,"Public Trust, Secret",Pentagon / NCR / CONUS,Analysts; trainers; HR support; admin,,High,,,,,541512,,IDIQ,$993.3M,1460,master_db
74,NCI,NCI OPERATIONAL TASK ORDER,LEIDOS BIOMEDICAL RESEARC,National Institutes,$1.78B,$1.78B,75N91020F00003,,,,,TS/SCI w/ Poly,"FREDERICK, MARYLAND",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,65,,WARM,,,,,,,,,warm_greenfield
75,,System,,,$1.69B,,,,,,,,,,,,,,,,,,,,0,master_db
76,CAAC,CAAC (Peraton),Peraton,DoD,$1.59B,$487.8M,47QFCA19F0033,2019-02-11,2024-02-11,2024-02-11,,Secret,Secret,“CAAC-PERATON”,,🟡 Medium,,51,,,541330,,PROGRAM,$712.5M,100,master_db
77,DOD365,Defense Enterprise Office 365 Migration / DoD365,Microsoft,DISA,$1.53B,$998.9M,47QFCA22F0047,2022-09-06,2026-09-05,2027-09-05,,Secret,Crystal City VA; remote,O365 admins; migration leads; help desk; Teams/Exchange engineers,,High,,61,,,541330,,BLANKET PURCHASE AGREEMENT,$8.7M,4,master_db
78,NESST,NASA Enterprise Service Support Technology,SAIC / Leidos (indicative),NASA,$1.46B,$1.31B,NNJ09HD46C,2008-11-07,2018-02-28,2018-02-28,,"Public Trust, Secret",NASA centers,EUS support; deskside; enterprise IT,,Low,,,,,541712,,Services,,0,master_db
79,NGA,National Geospatial-Intelligence Agency,,,$1.43B,,,,,,,,,,,,,,,,,,,,0,master_db
80,EUCOM/AFRICOM IT,EUCOM / AFRICOM IT & Communications Support,CACI,Air Force,$1.30B,$600.7M,FA882316C0004,2016-06-13,2025-12-09,2025-12-09,,"Secret, TS/SCI",Stuttgart DE; Italy; Djibouti; other OCONUS,Network ops; field comms; sysadmin; SATCOM support,,Medium,,,,CRITICAL_GAP,517410,,Task Order,$11.6M,68,master_db
81,DCWAS (ref name),EUCOM/AFRICOM Enterprise IT & Comms Support,CACI,DoD,$1.30B,$708.3M,47QFRA19F0011,2019-05-08,2024-04-30,2024-04-30,,"Secret, Top Secret",Stuttgart DE + 60+ sites across Europe/Africa,Help desk; network ops; field comms; cloud support,,High,,,,,541512,,Single Award,$10.0M,2,master_db
82,,EUCOM/AFRICOM IT & Comms,CACI,DoD,$1.30B,$960.0M,GSQ0017AJ0006,2016-10-28,2022-02-28,2022-02-28,,TS/SCI,Stuttgart + 60 EUCOM/AFRICOM sites,Field service techs; network ops; help desk; secure comms,,High,,,,,541712,,Task Order,$214.2M,92,master_db
83,,EUCOM/AFRICOM IT & Comms Support,CACI,Air Force,$1.30B,$600.7M,FA882316C0004,2016-06-13,2025-12-09,2025-12-09,,"Secret, Top Secret",Europe & Africa – 60+ sites,Field comms; network ops; help desk,,High,,,,,517410,,Single Award,$11.6M,68,master_db
84,ITSSC,SSA IT Support Services Contract,Leidos / Accenture Federal (indicative),CIA,$1.20B,$1.06B,28321322FDS030130,2022-06-30,2026-09-28,2028-03-31,,Public Trust,SSA HQ,"Service desk, ops",62,Medium,WARM,,,,541519,,Services,$276.7M,85,master_db
85,CBP-Peraton,CBP Enterprise IT Support,Peraton,DHS,$1.11B,$609.1M,GST0011AJ0025,2011-02-02,2018-05-02,2018-05-02,,"Public Trust, Secret",CBP sites nationwide,IT/cyber support staff; network engineers; help desk,,Medium,,65,,,541512,,Services,$535.1M,315,master_db
86,DC2,DHS Data Center 2,GDIT / Peraton (indicative),DHS,$1.11B,$609.1M,GST0011AJ0025,2011-02-02,2018-05-02,2018-05-02,,"Public Trust, Secret",DC2 sites,DC engineers; ops; cloud,,Medium,,3,,,541512,,DC HOSTING,$535.1M,315,master_db
87,DCCO,Data Center & Cloud Optimization,Peraton / Leidos (indicative),DHS,$1.11B,$609.1M,GST0011AJ0025,2011-02-02,2018-05-02,2018-05-02,,"Public Trust, Secret",NCR,Cloud ops; DC ops,,Medium,,,,,541512,,ENTERPRISE IT,$535.1M,315,master_db
88,CISA-CACI,CISA Enterprise Support (CACI),CACI,DHS,$1.03B,$708.3M,47QFRA19F0011,2019-05-08,2024-04-30,2024-04-30,,Secret,NCR,Cybersecurity; IT ops support,,Medium,,,,,541512,,Services,$10.0M,2,master_db
89,DSCM (Satellite),Defense Satellite Communications Modernization,CACI,Space Force,$1.03B,$708.3M,47QFRA19F0011,2019-05-08,2024-04-30,2024-04-30,,Secret,Colorado Springs; Fort Meade,SATCOM RF engineers; network engineers,,Medium,,,,,541512,,SATCOM MODERNIZATION,$10.0M,2,master_db
90,IBDS,Integrated Base Defense Security System,Leidos,Army,$1.01B,$862.6M,70T04019C9DAP3006,2019-10-01,2025-03-31,2025-03-31,,Secret,Fort Meade; Aberdeen MD,Network security engineers; SOC analysts,,Medium,,,,,811219,,Task Order,$556.9M,222,master_db
91,Platform One / Cyber Portfolio,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Air Force,$1.00B,$600.7M,FA882316C0004,2016-06-13,2025-12-09,2025-12-09,,"Secret, TS/SCI",San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel,,Medium,,36,,,517410,,Services,$11.6M,68,master_db
92,IAMD,Integrated Air & Missile Defense,Raytheon,Army,$1.00B,$5.61B,W31P4Q15C0022,2014-12-19,2025-05-31,2025-05-31,,Secret,Huntsville AL,Systems engineers; radar analysts; MLU support,,Medium,,,,,336414,,IDIQ,$14.05B,29981,master_db
93,,SOCOM,,,$966.1M,,,,,,,,,,,,,,,,,,,,0,master_db
