Prime,Program,Contract_Value,Placements,Revenue_Est,Call_Mentions,Gap_Status,ZoomInfo_Priority,Key_Locations,Recommended_Titles,Notes
Northrop Grumman,SMORS/STRATCOM,$Multi-B,0,$0,3,CRITICAL_GAP,2,Colorado Springs CO; Offutt AFB NE,Sustainment PM; RMF Lead; ILS Manager,Nuclear C3
Northrop Grumman,GMD Weapon System,$3.3B,0,$0,0,CRITICAL_GAP,2,Huntsville AL; Schriever SFB; Ft Greely,Missile Defense PM; BMC3 Lead; Test Lead,Ground C2
Northrop Grumman,Army IBCS,Unknown,3,$500K,0,MINIMAL,3,Huntsville AL; Fort Sill OK,Systems Integration Lead; Test Lead,Battle command
Raytheon/RTX,GPS OCX,$7.7B,0,$0,349,CRITICAL_GAP,1,Colorado Springs CO; Schriever SFB,GPS PM; Software Director; Staffing Manager,349 calls zero placements
Raytheon/RTX,FORGE,$600M,0,$0,0,CRITICAL_GAP,2,Buckley SFB; Peterson SFB; Aurora CO,Agile SW Lead; Data Science Lead; PM,Future ground evolution
Raytheon/RTX,AMRAAM,Unknown,0,$0,0,CRITICAL_GAP,2,Tucson AZ,Missile PM; GNC Engineer Lead,Air-to-air missile
Raytheon/RTX,Integrated AMD,Unknown,0,$0,0,CRITICAL_GAP,2,Huntsville AL,Systems Engineer Lead; Radar Lead,Air and missile defense
SAIC,Cloud One,$727M,0,$0,327,CRITICAL_GAP,1,Hanscom AFB; Remote,Cloud PM; DevSecOps Lead; Staffing,327 calls zero placements
SAIC,Army AESD,$757M,0,$0,0,CRITICAL_GAP,1,Fort Liberty NC; Fort Sam Houston TX,Enterprise PM; Helpdesk Lead; Staffing,Enterprise service desk
SAIC,EDIS/HADES,$655M,0,$0,0,CRITICAL_GAP,1,Los Angeles AFB; Colorado Springs,SE&I Lead; ISR PM; Systems Engineer Lead,Space-ground integration
SAIC,USTRANSCOM Managed IT,$150M,0,$0,0,HIGH_GAP,2,Scott AFB IL,Service Desk PM; Cyber Lead,Transport command IT
BAE Systems,SMORS (Joint with NG),Unknown,0,$0,20,CRITICAL_GAP,2,Offutt AFB NE; Colorado Springs CO,Intel Analyst Lead; Systems Engineer Lead,STRATCOM support
BAE Systems,FORGE (Joint with RTX),$600M,0,$0,0,HIGH_GAP,2,Buckley SFB; Peterson SFB,C2 Lead; Systems Integrator,Future ground evolution
Peraton,SITEC III,$2.8B,0,$0,124,CRITICAL_GAP,1,Tampa FL; MacDill AFB; OCONUS,SITEC PM; Deployment Manager; Site Lead,SOCOM enterprise ops
Peraton,ARCYBER,$Multi-B,71,$1.1M,0,ACTIVE,4,Fort Eisenhower GA; Fort Meade MD,Continue current approach,Good performance
Peraton,NARSIL,$Multi-B,5,$750K,0,EXPANDING,3,Reston VA; Fort Meade MD,ML/AI Lead; DevOps Lead,Advanced research
GDIT,INSCOM I2TS,$300M+,0,$0,0,CRITICAL_GAP,1,Fort Liberty NC; Fort Meade MD; Fort Sam Houston,INSCOM PM; Helpdesk Lead; DevOps Lead,Intel command IT
GDIT,BICES/MPE,$Multi-B,0,$0,0,HIGH_GAP,2,Norfolk VA; Tampa FL; EU sites,Coalition Network Lead; ServiceNow Architect,Mission partner environment
GDIT,DCGS (Gap Program),Unknown,0,$0,71,GAP_LOW_TRACTION,1,San Diego CA; Langley AFB,Escalate to Division Director,Needs different approach
Leidos,DTRA I3TS,$Multi-B,315,$4.9M,931,ACTIVE,5,Fort Belvoir; Kirtland AFB,Continue current approach,Top performer
Leidos,53rd Air Wing IT/EW,$Multi-B,156,$2.4M,0,ACTIVE,5,Eglin AFB FL; Nellis AFB NV,Continue current approach,Strong presence
Leidos,BICES DIA,$Multi-B,94,$1.5M,0,ACTIVE,5,Offutt AFB; RAF Molesworth,Continue current approach,Good performance
Leidos,DISA GSM-O II,$Multi-B,60,$930K,0,ACTIVE,5,Scott AFB; Fort Meade,Continue current approach,NOC operations
Palantir,MSS Smart Systems,Unknown,0,$0,441,EMERGING,2,Classified sites,Data Engineer Lead; Platform Lead,441 mentions emerging
Boeing,GMD/GBI,$Multi-B,13,$200K,0,ACTIVE,4,Huntsville AL; Vandenberg SFB,Continue current approach,Good relationship
Microsoft,DISA JWCC,$Multi-B,61,$950K,108,ACTIVE,4,Crystal City VA; DoD sites,Continue current approach,Cloud capability
L3Harris,Protected SatCom,Unknown,0,$0,76,HIGH_GAP,2,Colorado Springs CO,RF Engineer Lead; Crypto Lead,Carl Ellinger can intro
ManTech,16th AF Mission IT,$Multi-B,0,$0,77,HIGH_GAP,2,Lackland TX; Eglin FL; Nellis NV,Mission Helpdesk Lead; Cyber Ops Lead,Air Force mission support
Anduril,Army NGC2 Prototype,Unknown,0,$0,53,EMERGING,3,Fort Irwin test sites,Data Mesh Lead; Edge App Lead,Emerging defense tech
